date,policy,t,issue_slot,price_yuan_per_kwh,load_kw,pv_kw,committed_grid_kwh,baseline_grid_kwh,adjustment_grid_kwh,charge_exec_kwh,discharge_exec_kwh,emergency_kwh,surplus_kwh,E_start_kwh,E_end_kwh,emergency_cost_yuan
2025-02-01,H24,0,0,0.4248,2532.1822,0.0,1429.6629744091028,1429.6629744091028,0.0,833.3333333333333,0.0,0.0,174.29927440910296,6000.0,6750.0,0.0
2025-02-01,H24,1,0,0.4245,2492.4439,0.0,1423.8129536072975,1423.8129536072975,0.0,833.3333333333333,0.0,0.0,175.0723036072975,6750.0,7500.0,0.0
2025-02-01,H24,2,0,0.4269,2464.3,0.0,531.9921945564138,531.9921945564138,0.0,0.0,0.0,0.0,121.27552788974708,7500.0,7500.0,0.0
2025-02-01,H24,3,0,0.4272,2581.7688,0.0,561.5767591110375,561.5767591110375,0.0,0.0,0.0,0.0,131.28195911103757,7500.0,7500.0,0.0
2025-02-01,H24,4,0,0.4271,2546.4635,0.0,572.9580659918356,572.9580659918356,0.0,0.0,0.0,0.0,148.5474826585023,7500.0,7500.0,0.0
2025-02-01,H24,5,0,0.4285,2436.31,0.0,544.3014711135654,544.3014711135654,0.0,0.0,0.0,0.0,138.2498044468988,7500.0,7500.0,0.0
2025-02-01,H24,6,0,0.4311,2620.5011,0.0,551.1261752061374,551.1261752061374,0.0,0.0,0.0,0.0,114.3759918728041,7500.0,7500.0,0.0
2025-02-01,H24,7,0,0.4302,2710.7861,0.0,556.5339355705588,556.5339355705588,0.0,0.0,0.0,0.0,104.73625223722553,7500.0,7500.0,0.0
2025-02-01,H24,8,0,0.4279,2676.48,0.0,1442.7634854419362,1442.7634854419362,0.0,833.3333333333333,0.0,0.0,163.35015210860297,7500.0,8250.0,0.0
2025-02-01,H24,9,0,0.4312,2830.598,0.0,1447.3933487031372,1447.3933487031372,0.0,833.3333333333333,0.0,0.0,142.29368203647073,8250.0,9000.0,0.0
2025-02-01,H24,10,0,0.4333,2688.1558,0.0,577.5611345803859,577.5611345803859,0.0,0.0,0.0,0.0,129.53516791371925,9000.0,9000.0,0.0
2025-02-01,H24,11,0,0.4311,2384.42,0.0,560.3660147497944,560.3660147497944,0.0,0.0,0.0,0.0,162.96268141646112,9000.0,9000.0,0.0
2025-02-01,H24,12,0,0.4293,2604.5438,0.0,567.3734061075806,567.3734061075806,0.0,0.0,0.0,0.0,133.28277277424735,9000.0,9000.0,0.0
2025-02-01,H24,13,0,0.4324,2943.3655,0.0,588.7635447833748,588.7635447833748,0.0,0.0,0.0,0.0,98.20262811670813,9000.0,9000.0,0.0
2025-02-01,H24,14,0,0.4367,3019.32,0.0,579.1188367177608,579.1188367177608,0.0,0.0,0.0,0.0,75.89883671776079,9000.0,9000.0,0.0
2025-02-01,H24,15,0,0.4348,2844.4369,0.0,605.3344047042758,605.3344047042758,0.0,0.0,0.0,0.0,131.26158803760916,9000.0,9000.0,0.0
2025-02-01,H24,16,0,0.4335,2768.3064,0.0,563.0560840403411,563.0560840403411,0.0,0.0,0.0,0.0,101.67168404034118,9000.0,9000.0,0.0
2025-02-01,H24,17,0,0.4357,2861.65,0.0,593.6610899548931,593.6610899548931,0.0,0.0,0.0,0.0,116.71942328822644,9000.0,9000.0,0.0
2025-02-01,H24,18,0,0.4374,2900.3973,0.0,580.3072707200397,580.3072707200397,0.0,0.0,0.0,0.0,96.90772072003972,9000.0,9000.0,0.0
2025-02-01,H24,19,0,0.4371,2919.6115,0.0,595.6517232686656,595.6517232686656,0.0,0.0,0.0,0.0,109.04980660199897,9000.0,9000.0,0.0
2025-02-01,H24,20,0,0.4356,2993.09,0.0,628.7120682427858,628.7120682427858,0.0,0.0,0.0,0.0,129.86373490945243,9000.0,9000.0,0.0
2025-02-01,H24,21,0,0.4353,3109.8584,0.0,614.5674897421065,614.5674897421065,0.0,0.0,0.0,0.0,96.25775640877328,9000.0,9000.0,0.0
2025-02-01,H24,22,0,0.436,3054.8008,0.0,598.9950368167349,598.9950368167349,0.0,0.0,0.0,0.0,89.86157015006825,9000.0,9000.0,0.0
2025-02-01,H24,23,0,0.4378,2901.7,0.0,611.5726055364703,611.5726055364703,0.0,0.0,0.0,0.0,127.95593886980367,9000.0,9000.0,0.0
2025-02-01,H24,24,0,0.4401,2947.1208,0.0,636.6961927814746,636.6961927814746,0.0,0.0,0.0,0.0,145.50939278147456,9000.0,9000.0,0.0
2025-02-01,H24,25,0,0.4389,3027.8717,0.0,628.9162508025602,628.9162508025602,0.0,0.0,0.0,0.0,124.27096746922683,9000.0,9000.0,0.0
2025-02-01,H24,26,0,0.4364,3033.47,0.0,630.7558093486632,630.7558093486632,0.0,0.0,0.0,0.0,125.17747601532994,9000.0,9000.0,0.0
2025-02-01,H24,27,0,0.4393,3019.3858,0.0,638.6087206224702,638.6087206224702,0.0,0.0,0.0,0.0,135.37775395580354,9000.0,9000.0,0.0
