policy,days,total_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,mean_end_storage_kwh,min_end_storage_kwh,solver_time_s
H24,334,15464289.44674009,14367086.55064443,360721.6622784797,736481.2338171819,187401.25820352614,6498,10561.376570252962,7688.432366265128,389.6621805999898
H48,334,15358936.78368967,14246007.208436342,387387.28476785606,725542.290485473,184302.6295039582,6430,7469.00203732413,2816.8180552220047,2901.4285371999904
