date,H24,H48,H24_minus_H48_yuan
2025-02-01,37087.305890657386,37097.81345921685,-10.507568559463834
2025-02-02,60934.910012045264,61872.51173978909,-937.6017277438295
2025-02-03,62963.373010607946,62027.259990296676,936.1130203112698
2025-02-04,63785.69745123529,64302.62006148804,-516.9226102527537
2025-02-05,65994.08252827267,65108.88088466789,885.2016436047852
2025-02-06,60239.362518378344,59492.84518693148,746.517331446863
2025-02-07,34844.08357834721,35425.02727566663,-580.9436973194242
2025-02-08,28929.779905767136,28415.96848989891,513.8114158682256
2025-02-09,64360.03077086014,63355.08232755571,1004.9484433044272
2025-02-10,55933.043654145746,55478.30097324572,454.7426809000244
2025-02-11,58856.14210663687,56631.94055984478,2224.2015467920937
2025-02-12,60734.44750493598,62427.53777692554,-1693.0902719895603
2025-02-13,54468.824444504906,54440.609391719605,28.21505278530094
2025-02-14,27616.54602860209,27013.433732002522,603.1122965995673
2025-02-15,28792.036204016782,28234.900452337773,557.1357516790085
2025-02-16,66690.25113873558,66448.26285724822,241.9882814873563
2025-02-17,54719.957264446086,54032.585651943475,687.3716125026112
2025-02-18,59902.911045293746,58171.30881965259,1731.6022256411525
2025-02-19,57474.276897080534,58817.776473197526,-1343.499576116992
2025-02-20,56241.38446472447,56304.43730382453,-63.052839100062556
2025-02-21,30656.214186466303,27874.13853686036,2782.075649605944
2025-02-22,26816.43472455996,28098.226093942052,-1281.791369382092
2025-02-23,56579.575033652945,57564.218219460694,-984.6431858077485
2025-02-24,53562.1793134495,52464.36585655273,1097.8134568967725
2025-02-25,52854.724387040114,51076.91664459191,1777.8077424482035
2025-02-26,51884.714228622266,51540.99803978449,343.7161888377741
2025-02-27,50614.17845656667,50969.09439384294,-354.9159372762733
2025-02-28,25495.948686418353,25412.157089413166,83.79159700518721
2025-03-01,24486.817276898873,21986.158040409533,2500.6592364893404
2025-03-02,57323.51458871753,56524.65852941552,798.8560593020084
2025-03-03,55350.08882790469,57953.04188679753,-2602.953058892839
2025-03-04,51989.12925736166,51579.00046679212,410.1287905695426
2025-03-05,54691.587569612224,54566.78754396834,124.80002564388269
2025-03-06,51413.68576999111,52172.48745893423,-758.8016889431165
2025-03-07,27564.26911433721,26287.299967033006,1276.969147304204
2025-03-08,23052.807058593713,22894.570837213894,158.23622137981874
2025-03-09,52197.67656466275,51784.91225680673,412.76430785601406
2025-03-10,50564.18028281264,50425.50035148424,138.6799313283991
2025-03-11,49537.85744031387,49965.886416759386,-428.0289764455156
2025-03-12,47334.777102363325,46515.297760989706,819.4793413736188
2025-03-13,48366.32505227155,47681.43379095121,684.8912613203429
2025-03-14,21575.16254763429,21498.398873621154,76.76367401313473
2025-03-15,22641.785708424293,20137.4732598467,2504.3124485775916
2025-03-16,49669.07211902787,50085.95278725041,-416.8806682225404
2025-03-17,46793.72804287618,47892.552671864185,-1098.8246289880044
2025-03-18,47413.646898306186,46653.01517068927,760.6317276169138
2025-03-19,45430.25479403765,45528.14154070639,-97.88674666873703
2025-03-20,49058.050248474014,48374.92125001301,683.1289984610048
2025-03-21,20780.328771119926,19392.044835708355,1388.2839354115713
2025-03-22,20290.207998471742,20174.40164874482,115.80634972692133
2025-03-23,48448.216935223514,48048.17363592409,400.0432992994247
2025-03-24,44208.5458507979,44609.13966043509,-400.59380963719013
2025-03-25,47548.65102407032,47697.32895892492,-148.67793485459697
2025-03-26,42526.91360999453,41678.68546452454,848.2281454699914
2025-03-27,44509.85232090401,44412.27967178354,97.57264912046958
2025-03-28,21749.717553853057,20421.267026236164,1328.450527616893
2025-03-29,18512.44939163635,19128.21534099501,-615.7659493586616
2025-03-30,44865.811613250335,44006.51018459989,859.3014286504476
2025-03-31,46817.46926843129,45976.26440492382,841.204863507468
2025-04-01,46686.44376694756,46542.55192316153,143.89184378602658
2025-04-02,45347.37965615273,45816.870966870316,-469.49131071758893
2025-04-03,44180.593233859974,41709.50123850652,2471.091995353454
2025-04-04,20099.628264014904,20105.928305984264,-6.3000419693598815
2025-04-05,18438.92300975592,18987.587927451546,-548.6649176956271
2025-04-06,44909.24230224465,45268.88040818165,-359.638105936996
2025-04-07,40524.69226532101,39419.26579163869,1105.4264736823243
2025-04-08,44612.593965340566,44651.32455495056,-38.73058960999333
2025-04-09,45925.65939012013,45610.41489924095,315.2444908791804
2025-04-10,43788.37149444895,42406.934761609285,1381.436732839662
2025-04-11,20221.756787430786,19444.399495192272,777.3572922385138
2025-04-12,19218.81271410199,20678.955656487517,-1460.142942385526
2025-04-13,44082.34162859497,42505.01412953887,1577.327499056104
2025-04-14,44429.65442506362,44739.3226114699,-309.6681864062775
2025-04-15,40066.4809270897,40220.99547941738,-154.51455232768058
2025-04-16,42508.72698241881,42249.57795825107,259.1490241677384
2025-04-17,41759.532724155935,39838.72442907339,1920.8082950825483
2025-04-18,19980.869343512688,19122.65254559435,858.2167979183396
2025-04-19,17225.735140317447,18139.107677846114,-913.3725375286667
2025-04-20,40858.617054391696,41141.385542801414,-282.768488409718
2025-04-21,40481.7303372866,40279.779947270545,201.9503900160562
2025-04-22,42207.73271001398,41203.00485731524,1004.7278526987429
2025-04-23,40825.27717748317,40849.27539307803,-23.998215594860085
2025-04-24,37440.113653170694,36008.05546251084,1432.0581906598527
2025-04-25,17554.101618228553,16638.399370438718,915.7022477898354
2025-04-26,16045.113146935193,16394.648978947505,-349.5358320123123
2025-04-27,47445.13405684824,47635.71963348155,-190.58557663331158
2025-04-28,42355.36091455831,41999.473195339655,355.88771921865555
2025-04-29,38211.397625709506,38029.80545661647,181.5921690930336
2025-04-30,35036.06220087714,35332.34121778514,-296.27901690800354
2025-05-01,45267.0745263961,43167.75828997057,2099.316236425533
2025-05-02,24223.048862557687,24347.841873114572,-124.79301055688484
2025-05-03,19570.98092012123,20700.69451122794,-1129.713591106709
2025-05-04,46457.24011388903,45585.19614702015,872.0439668688778
2025-05-05,47007.9192347728,47295.04250939497,-287.1232746221649
2025-05-06,43987.912709815544,44960.89511917417,-972.9824093586285
2025-05-07,45361.59637933414,43949.543301147554,1412.0530781865891
2025-05-08,44712.80615770407,44300.18734675589,412.6188109481809
2025-05-09,23088.296230900414,22467.317910176873,620.9783207235414
2025-05-10,20218.34385655152,21206.0135571859,-987.6697006343784
2025-05-11,45291.05409074906,45230.52731301232,60.52677773674077
2025-05-12,41679.32934683513,41124.41540571211,554.9139411230208
2025-05-13,42998.37728058226,42738.969927184466,259.4073533977935
2025-05-14,42966.67874657391,42214.00735756234,752.6713890115716
2025-05-15,43888.27385485129,42387.603942135975,1500.6699127153188
2025-05-16,21036.98716615335,20328.22689392711,708.7602722262418
2025-05-17,18830.11698308928,19041.775592407754,-211.6586093184742
2025-05-18,42124.8961671642,41722.5262759012,402.36989126300614
2025-05-19,39439.69924281982,38674.073190780255,765.6260520395663
2025-05-20,44866.05756683445,45150.86495795855,-284.80739112409356
2025-05-21,42203.91416657308,41740.089484690594,463.8246818824846
2025-05-22,40533.043590246714,38254.71801624848,2278.325573998234
2025-05-23,21432.077328918018,20500.97021375572,931.1071151622964
2025-05-24,18098.772919425166,19692.116526322334,-1593.3436068971678
2025-05-25,43780.02648653208,43519.76492578754,260.2615607445405
2025-05-26,42428.25611086212,42356.909804383984,71.34630647813901
2025-05-27,40544.098099416704,39662.89411003698,881.2039893797264
2025-05-28,42594.48603555699,41491.13041349677,1103.3556220602186
2025-05-29,45359.119447783174,43654.62297411614,1704.4964736670372
2025-05-30,21684.397680224854,20812.653752398768,871.7439278260863
2025-05-31,19041.827348202285,19686.663694804753,-644.8363466024675
2025-06-01,63206.151177182095,63000.95398983607,205.19718734602793
2025-06-02,57961.86643935495,58396.385029048295,-434.51858969334717
2025-06-03,59532.761334454444,58630.50770320442,902.2536312500233
2025-06-04,60803.32917475724,61770.23909807339,-966.9099233161542
2025-06-05,60588.69693183044,58534.424014430384,2054.272917400056
2025-06-06,33380.64040105279,33264.12304147208,116.51735958071367
2025-06-07,29101.62681104309,30951.900058394516,-1850.273247351426
2025-06-08,55547.18341730002,56817.274348116625,-1270.0909308166083
2025-06-09,58959.612410565875,57398.95040525075,1560.6620053151273
2025-06-10,55627.25391352682,56196.5842265729,-569.3303130460772
2025-06-11,60743.91716305222,60316.29821375858,427.61894929363916
2025-06-12,57224.33075341244,56268.41281005149,955.9179433609461
2025-06-13,35595.206588178124,36033.247815273106,-438.0412270949819
2025-06-14,34339.27489275689,35168.60492755976,-829.3300348028715
2025-06-15,57886.79595653378,57729.775343806345,157.02061272743595
2025-06-16,63321.13579262108,61207.43530073465,2113.700491886426
2025-06-17,57468.93030753665,56551.02686557066,917.9034419659874
2025-06-18,57668.6038572209,58126.08941629147,-457.48555907057016
2025-06-19,57752.2083908476,57433.28632835367,318.9220624939262
2025-06-20,32075.05298958286,31602.707351896308,472.3456376865506
2025-06-21,26821.35772429838,26158.672972246673,662.6847520517076
2025-06-22,52892.723960683936,52422.14212117612,470.58183950781677
2025-06-23,53173.21605214492,53118.75926457333,54.45678757158748
2025-06-24,60979.75235207773,59842.269721469886,1137.4826306078467
2025-06-25,56445.02345370513,56349.81867163597,95.20478206915868
2025-06-26,54104.34778759037,53544.310276879085,560.037510711285
2025-06-27,31559.069627717145,31565.718150855715,-6.648523138570454
2025-06-28,26613.47979306198,25955.350568018082,658.1292250438964
2025-06-29,57337.37072860459,56393.27806129423,944.0926673103604
2025-06-30,56765.200727791664,57185.58110872632,-420.3803809346573
2025-07-01,67798.29139249171,68134.1355205329,-335.84412804119347
2025-07-02,65294.31127251204,66076.31536502676,-782.0040925147259
2025-07-03,68846.90641231746,67571.81790205682,1275.0885102606408
2025-07-04,35115.85483786981,35717.852577694954,-601.9977398251431
2025-07-05,30599.192203029826,31106.40237780365,-507.2101747738234
2025-07-06,70384.23917184773,70665.10060110096,-280.8614292532293
2025-07-07,57945.12212782293,57897.33049578577,47.791632037158706
2025-07-08,59673.241351229924,59501.47302725891,171.7683239710168
2025-07-09,59194.637491553825,58892.84242083278,301.7950707210475
2025-07-10,58927.68888824807,59463.352872423646,-535.663984175575
