date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,tolerance_retry,status,terminal_soc
2025-02-15,6,9960.545636224457,0.09865849999187049,0,23,0,0,144,1,0,0,1200.0
2025-02-15,12,23320.14146212712,0.20680240000365302,0,40,0,0,144,1,0,0,1200.0
2025-02-15,18,33289.483445164515,0.5122599000023911,0,53,0,0,144,1,0,0,1200.0
2025-02-16,0,63032.951328725045,0.6121654000016861,0,30,0,0,144,1,0,0,1200.0
2025-02-16,6,10109.18341133419,0.21027759999560658,0,29,0,0,144,1,0,0,1200.0
2025-02-16,12,21025.771310993,0.1625528000004124,0,42,0,0,144,1,0,0,1200.0
2025-02-16,18,32459.918829896415,0.31395850000262726,0,56,0,0,144,1,0,0,1200.0
2025-02-17,0,53737.48375200799,0.20144219999201596,0,27,0,0,144,1,0,0,1200.0
2025-02-17,6,10118.916901138924,0.2504693000082625,0,65,0,0,144,1,0,0,1200.0
2025-02-17,12,18698.940237138362,0.11870679999992717,0,57,0,0,144,1,0,0,1200.0
2025-02-17,18,28678.851784906325,0.4473963000054937,0,41,0,0,144,1,0,0,1200.0
2025-02-18,0,48414.8604259885,0.14952389999234583,0,35,0,0,144,1,0,0,1200.0
2025-02-18,6,14318.166945797098,0.3990739000000758,0,106,0,0,144,1,0,0,1200.0
2025-02-18,12,26442.679782361978,1.4127412999951048,0,72,0,0,144,1,0,0,1200.0
2025-02-18,18,32114.795210676988,0.25282619999779854,0,41,0,0,144,1,0,0,1200.0
2025-02-19,0,49704.74039422743,0.38140759999805596,0,35,0,0,144,1,0,0,1200.0
2025-02-19,6,11900.8816085767,0.3054167999944184,0,63,0,0,144,1,0,0,1200.0
2025-02-19,12,21640.947899045776,0.23423319999710657,0,40,0,0,144,1,0,0,1200.0
2025-02-19,18,28402.20346890424,1.5584963000001153,0,52,0,0,144,1,0,0,1200.0
2025-02-20,0,51618.75394887663,0.28987740000593476,0,30,0,0,144,1,0,0,1200.0
2025-02-20,6,12597.060090964946,0.09306310000829399,0,67,0,0,144,1,0,0,1200.0
2025-02-20,12,12296.301301760579,0.5580246000026818,0,49,0,0,144,1,0,0,1200.0
2025-02-20,18,13483.732788902875,0.6989983999956166,0,30,0,0,144,1,0,0,1200.0
2025-02-21,0,24413.298181123107,0.7065490000095451,0,36,0,0,144,1,0,0,1200.0
2025-02-21,6,8710.77303223702,0.4374833000038052,0,46,0,0,144,1,0,0,1200.0
2025-02-21,12,14002.751555457044,0.7555257000058191,0,41,0,0,144,1,0,0,1200.0
2025-02-21,18,12204.752118846778,0.5098066000064136,0,57,0,0,144,1,0,0,1200.0
2025-02-22,0,28968.678496265613,1.1289084000018192,0,32,0,0,144,1,0,0,1200.0
2025-02-22,6,11753.519210261395,0.17503719999513123,0,35,0,0,144,1,0,0,1200.0
2025-02-22,12,20412.577873434064,0.4539752000127919,0,42,0,0,144,1,0,0,1200.0
2025-02-22,18,35333.59545893242,0.7966786999895703,0,55,0,0,144,1,0,0,1200.0
2025-02-23,0,54816.268406401,0.43298549999599345,0,31,0,0,144,1,0,0,1200.0
2025-02-23,6,14273.473135926743,0.19502210000064224,0,51,0,0,144,1,0,0,1200.0
2025-02-23,12,22635.7777649266,0.18735739999101497,0,47,0,0,144,1,0,0,1200.0
2025-02-23,18,33626.39884727577,0.2586332000064431,0,48,0,0,144,1,0,0,1200.0
2025-02-24,0,49738.050158347825,0.49736559999291785,0,37,0,0,144,1,0,0,1200.0
2025-02-24,6,11933.762754650052,0.3846639999974286,0,83,0,0,144,1,0,0,1200.0
2025-02-24,12,18668.444478786783,0.11649629999010358,0,44,0,0,144,1,0,0,1200.0
2025-02-24,18,29585.516122489025,0.30279470000823494,0,41,0,0,144,1,0,0,1200.0
2025-02-25,0,51066.31425504763,0.426945600003819,0,29,0,0,144,1,0,0,1200.0
2025-02-25,6,10985.975915596375,0.17499540001153946,0,59,0,0,144,1,0,0,1200.0
2025-02-25,12,19046.522351372914,0.09434729999338742,0,43,0,0,144,1,0,0,1200.0
2025-02-25,18,29446.329110227856,0.21816289999696892,0,47,0,0,144,1,0,0,1200.0
2025-02-26,0,46350.93935198355,0.19627899999613874,0,39,0,0,144,1,0,0,1200.0
2025-02-26,6,13357.221700198814,0.15942999999970198,0,74,0,0,144,1,0,0,1200.0
2025-02-26,12,28897.369222747784,0.33557460000156425,0,48,0,0,144,1,0,0,1200.0
2025-02-26,18,36473.04074859312,0.3037393999984488,0,46,0,0,144,1,0,0,1200.0
2025-02-27,0,47819.12705513324,0.18445400000200607,0,36,0,0,144,1,0,0,1200.0
2025-02-27,6,9229.344350341744,0.11386319999292027,0,53,0,0,144,1,0,0,1200.0
2025-02-27,12,11626.836212386203,0.6677270000072895,0,54,0,0,144,1,0,0,1200.0
2025-02-27,18,13222.434872707907,0.26670480000029784,0,35,0,0,144,1,0,0,1200.0
2025-02-28,0,22712.387126285823,0.7985224000003655,0,18,0,0,144,1,0,0,1200.0
2025-02-28,6,8378.701259920366,0.09144980000564829,0,25,0,0,144,1,0,0,1200.0
2025-02-28,12,10135.909560201984,0.2310596000024816,0,35,0,0,144,1,0,0,1200.0
2025-02-28,18,13550.973389117462,0.4155559000064386,0,57,0,0,144,1,0,0,1200.0
2025-03-01,0,25909.709338652294,0.31203180000011344,0,33,0,0,144,1,0,0,1200.0
2025-03-01,6,9930.68417956324,0.4141743999934988,0,26,0,0,144,1,0,0,1200.0
2025-03-01,12,15906.717875543625,0.18466530001023784,0,40,0,0,144,1,0,0,1200.0
2025-03-01,18,28771.231275910297,0.9399249000125565,0,57,0,0,144,1,0,0,1200.0
2025-03-02,0,51369.18459569848,0.14378309999301564,0,31,0,0,144,1,0,0,1200.0
2025-03-02,6,11552.835135741207,0.4293388999940362,0,74,0,0,144,1,0,0,1200.0
2025-03-02,12,25917.798995441346,0.8789249999972526,0,45,0,0,144,1,0,0,1200.0
2025-03-02,18,37895.08985991322,0.20382149999204557,0,37,0,0,144,1,0,0,1200.0
2025-03-03,0,55018.852921800615,0.667705499989097,0,30,0,0,144,1,0,0,1200.0
2025-03-03,6,10051.946544346982,0.6798753999901237,0,48,0,0,144,1,0,0,1200.0
2025-03-03,12,22344.517757851445,0.11352080000506248,0,53,0,0,144,1,0,0,1200.0
2025-03-03,18,30343.7807903406,0.29249169999093283,0,59,0,0,144,1,0,0,1200.0
2025-03-04,0,49141.795790773955,0.1941794000013033,0,38,0,0,144,1,0,0,1200.0
2025-03-04,6,11543.451191964068,0.4363710000034189,0,54,0,0,144,1,0,0,1200.0
2025-03-04,12,17312.2421578328,0.11022279999451712,0,43,0,0,144,1,0,0,1200.0
2025-03-04,18,32546.5093805515,0.13551690000167582,0,52,0,0,144,1,0,0,1200.0
2025-03-05,0,51215.772513332646,0.1738253000075929,0,33,0,0,144,1,0,0,1200.0
2025-03-05,6,9510.166467218967,0.41033700000843965,0,41,0,0,144,1,0,0,1200.0
2025-03-05,12,18427.66055873223,0.13020040000264999,0,50,0,0,144,1,0,0,1200.0
2025-03-05,18,30610.201676238354,0.6458677999908105,0,59,0,0,144,1,0,0,1200.0
2025-03-06,0,47570.03356568591,0.7815411999908974,0,36,0,0,144,1,0,0,1200.0
2025-03-06,6,8418.876521197222,0.1843150000058813,0,36,0,0,144,1,0,0,1200.0
2025-03-06,12,9814.219380747561,0.11470580000604969,0,38,0,0,144,1,0,0,1200.0
2025-03-06,18,12524.148992699482,0.46235950000118464,0,17,0,0,144,1,0,0,1200.0
2025-03-07,0,25383.290675000542,0.20852250000461936,0,29,0,0,144,1,0,0,1200.0
2025-03-07,6,7468.048217596093,0.1019215999986045,0,24,0,0,144,1,0,0,1200.0
2025-03-07,12,8673.121041282406,0.22162339999340475,0,35,0,0,144,1,0,0,1200.0
2025-03-07,18,8627.901506326538,0.23387389999697916,0,33,0,0,144,1,0,0,1200.0
2025-03-08,0,20241.41884384602,0.603128699993249,0,7,0,0,144,1,0,0,1200.0
2025-03-08,6,10052.17899131656,0.21468569998978637,0,30,0,0,144,1,0,0,1200.0
2025-03-08,12,18659.8681092932,0.48607369999808725,0,39,0,0,144,1,0,0,1200.0
2025-03-08,18,22500.972206036702,1.0315359999949578,0,65,0,0,144,1,0,0,1200.0
2025-03-09,0,46086.870829235,0.2608693999936804,0,30,0,0,144,1,0,0,1200.0
2025-03-09,6,9016.141864241958,0.18265580000297632,0,31,0,0,144,1,0,0,1200.0
2025-03-09,12,23569.53949419977,0.30245709999871906,0,80,0,0,144,1,0,0,1200.0
2025-03-09,18,44727.0879161109,0.18844260000332724,0,47,0,0,144,1,0,0,1200.0
2025-03-10,0,46692.98221165532,1.0404092999960994,0,33,0,0,144,1,0,0,1200.0
2025-03-10,6,11420.071760847039,0.32024190000083763,0,24,0,0,144,1,0,0,1200.0
2025-03-10,12,16436.977108839386,0.3080474000016693,0,53,0,0,144,1,0,0,1200.0
2025-03-10,18,37176.15713057306,0.234049499995308,0,46,0,0,144,1,0,0,1200.0
2025-03-11,0,42226.908236494586,0.1737793999927817,0,38,0,0,144,1,0,0,1200.0
2025-03-11,6,17970.27182898846,0.404916300001787,0,134,0,0,144,1,0,0,1200.0
2025-03-11,12,15113.552082556209,1.238234199990984,0,45,0,0,144,1,0,0,1200.0
2025-03-11,18,25315.9612316132,0.23674310000205878,0,57,0,0,144,1,0,0,1200.0
2025-03-12,0,49530.1088279576,0.7456754000013461,0,30,0,0,144,1,0,0,1200.0
2025-03-12,6,7848.6921794666505,0.6019071000046097,0,20,0,0,144,1,0,0,1200.0
2025-03-12,12,16287.39238875365,0.41687900001124945,0,80,0,0,144,1,0,0,1200.0
2025-03-12,18,34905.50232333305,0.1673465999920154,0,45,0,0,144,1,0,0,1200.0
2025-03-13,0,49016.28979199405,1.40245340000547,0,37,0,0,144,1,0,0,1200.0
2025-03-13,6,8812.904308157747,0.08107360001304187,0,54,0,0,144,1,0,0,1200.0
2025-03-13,12,12319.235034204903,0.33808240000507794,0,46,0,0,144,1,0,0,1200.0
2025-03-13,18,10181.877133830425,0.2846415999956662,0,36,0,0,144,1,0,0,1200.0
2025-03-14,0,20895.511775292158,0.19849959999555722,0,8,0,0,144,1,0,0,1200.0
2025-03-14,6,9057.51153930199,0.22079520000261255,0,42,0,0,144,1,0,0,1200.0
2025-03-14,12,9530.236811771903,0.8293096000124933,0,40,0,0,144,1,0,0,1200.0
2025-03-14,18,8927.74124821162,0.3234631000086665,0,33,0,0,144,1,0,0,1200.0
2025-03-15,0,19796.136526341244,1.0007075000030454,0,23,0,0,144,1,0,0,1200.0
2025-03-15,6,13458.884344202517,0.3118328999989899,0,100,0,0,144,1,0,0,1200.0
2025-03-15,12,16137.786530439696,0.2687321000121301,0,46,0,0,144,1,0,0,1200.0
2025-03-15,18,24859.431102549293,1.4427481000020634,0,59,0,0,144,1,0,0,1200.0
2025-03-16,0,43712.712426981605,0.14006170000357088,0,38,0,0,144,1,0,0,1200.0
2025-03-16,6,14891.422837545984,0.9415554000006523,0,96,0,0,144,1,0,0,1200.0
2025-03-16,12,16829.977515216724,0.18703280000772793,0,56,0,0,144,1,0,0,1200.0
2025-03-16,18,27741.749073929874,0.15377849999640603,0,45,0,0,144,1,0,0,1200.0
2025-03-17,0,44124.91952141629,0.7202813000039896,0,33,0,0,144,1,0,0,1200.0
2025-03-17,6,8472.523293342665,0.38012620000517927,0,27,0,0,144,1,0,0,1200.0
2025-03-17,12,23488.229665563045,0.35343900001316797,0,64,0,0,144,1,0,0,1200.0
2025-03-17,18,21806.88151021171,0.5217520000005607,0,65,0,0,144,1,0,0,1200.0
2025-03-18,0,50681.437822426815,0.7360665000014706,0,29,0,0,144,1,0,0,1200.0
2025-03-18,6,9654.61554399452,0.32680969999637455,0,57,0,0,144,1,0,0,1200.0
2025-03-18,12,16204.672582427322,0.13361970000551082,0,50,0,0,144,1,0,0,1200.0
2025-03-18,18,20602.242579785026,0.22989159999997355,0,59,0,0,144,1,0,0,1200.0
2025-03-19,0,42003.387525831386,0.5012373000063235,0,36,0,0,144,1,0,0,1200.0
2025-03-19,6,16246.321747483662,0.20830100000603124,0,87,0,0,144,1,0,0,1200.0
2025-03-19,12,17803.544879343317,0.25037029999657534,0,60,0,0,144,1,0,0,1200.0
2025-03-19,18,22983.636767485234,0.21267229999648407,0,63,0,0,144,1,0,0,1200.0
2025-03-20,0,47757.18978277334,0.3312869000073988,0,35,0,0,144,1,0,0,1200.0
2025-03-20,6,6584.798627449338,0.08166060000075959,0,30,0,0,144,1,0,0,1200.0
2025-03-20,12,10210.796558338867,0.13438880001194775,0,51,0,0,144,1,0,0,1200.0
2025-03-20,18,10455.637188760978,0.7660260999982711,0,33,0,0,144,1,0,0,1200.0
