date,cost_plan,cost_adjust_up,cost_adjust_down,cost_emergency,cost_total,energy_g0,energy_final_commitment,energy_up,energy_down,adjustment_churn,energy_emergency,energy_waste,charge_energy,discharge_energy,soc_0000,soc_0600,soc_1200,soc_1800,soc_2400,terminal_proxy_soc_0000,terminal_proxy_soc_0600,terminal_proxy_soc_1200,terminal_proxy_soc_1800
2025-02-01,39428.679374543965,0.0,-1404.7863198530463,0.0,38023.89305469092,65671.5475334008,60211.02119754085,0.0,5460.526335859932,0.0,0.0,25867.17139922746,9941.52560515824,9975.851740178176,6000.0,10232.24074074074,10800.0,10800.0,3863.093333333336,1200.0,1200.0,1200.0,1200.0
2025-02-02,67725.01902421581,2.9294540127011718e-12,-1353.8672548115342,2.885553002208969,66374.0373224065,102559.23106761785,97535.39882905877,2.4442670110147446e-12,5023.832238559082,0.0,1.3245595603438005,17373.074987304804,16520.227738835034,14712.857287520717,3863.093333333336,10799.999999999969,9659.410840406179,10800.0,2383.679089928512,1200.0,1200.0,1200.0,1200.0
2025-02-03,60919.754628498646,0.0,-2404.3964781572186,1095.4136856790249,59610.77183602045,95528.96313662658,88639.59055062171,0.0,6889.372586004876,0.0,260.09079731739877,5321.408058176927,21686.219150581208,18324.862360819017,2383.679089928512,10794.732357355679,6480.083792729854,10800.0,1540.3181467638026,1200.0,1200.0,1200.0,1200.0
2025-02-04,62859.54921681113,0.0,-2255.2081420682225,479.3199778239983,61083.66105256691,98336.31502530299,91414.8307332534,0.0,6921.4842920496085,0.0,177.76942658160684,6010.086815575334,22588.073346890815,18200.423952631147,1540.3181467638026,10799.999999999565,6005.652216104907,10800.0,1646.8908782642598,1200.0,1200.0,1200.0,1200.0
2025-02-05,58215.60306221001,0.0,-882.1639681761546,1143.6197612296583,58477.05885526351,92025.99236448464,89738.94246729603,0.0,2287.0498971886145,0.0,249.78297569982155,5142.645456913035,22787.933016361054,18690.280013611566,1646.8908782642598,10781.234174903891,6745.553615255111,10800.0,1389.0528000874683,1200.0,1200.0,1200.0,1200.0
2025-02-06,62748.30900513772,0.0,-3039.6873024409406,578.7867339831272,60287.40843667991,98292.99608571603,88925.16185786703,0.0,9367.834227849005,0.0,149.02279762961302,4383.760872572384,22318.350036616932,17898.983470359326,1389.0528000874683,10800.0,5031.348926981806,10800.0,1587.8084215323474,1200.0,1200.0,1200.0,1200.0
2025-02-07,31415.211037407986,0.0,-2147.0789958902446,0.0,29268.13204151774,56971.552430218435,49076.272573665985,0.0,7895.279856552446,0.0,0.0,13158.64277974636,17363.525251795327,13251.575124542369,1587.8084215323474,10250.770370370368,7513.243068620453,10546.280602360332,2491.008787545515,1200.0,1200.0,1200.0,1200.0
2025-02-08,33595.86104034135,397.4890799127677,-535.2927129761592,0.0,33458.05740727796,58777.94147877983,56895.13283063958,534.0705824522623,2416.8792305925053,0.0,0.0,21504.37760379073,15059.140590197856,11245.54808001567,2491.008787545515,10238.80555555452,10800.0,10800.0,3549.18189648395,1200.0,1200.0,1200.0,1200.0
2025-02-09,66511.79052101239,0.0,-1030.3021749672362,118.4130599566723,65599.90140600182,100968.58885970767,97213.64085854802,0.0,3754.9480011596493,0.0,28.818948393796177,15534.584228249236,17087.916382499294,14935.456770473373,3549.18189648395,10800.0,9785.903335873034,10800.0,2333.354673540681,1200.0,1200.0,1200.0,1200.0
2025-02-10,54432.575388718746,1780.4775703155524,-2070.6623555554243,1590.317605242258,55732.70820872113,86329.79755444583,80322.57891337691,1479.1391416973763,7486.3577827663,0.0,476.91967858924176,3243.4687497536124,20998.47047682426,17769.078217945054,2333.354673540681,9882.935753399308,3727.557655174981,10800.0,1488.557860521344,1200.0,1200.0,1200.0,1200.0
