date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,tolerance_retry,status,terminal_soc
2025-02-01,0,43757.21873730563,0.34493469999870285,0,30,0,0,144,1,0,0,1200.0
2025-02-01,6,14167.412087623377,0.2148064999928465,0,27,0,0,144,1,0,0,1200.0
2025-02-01,12,35005.73866163702,0.16393170000810642,0,40,0,0,144,1,0,0,1200.0
2025-02-01,18,43907.74860165602,0.3099142999999458,0,54,0,0,144,1,0,0,1200.0
2025-02-02,0,71951.91163828182,0.33950950000144076,0,28,0,0,144,1,0,0,1200.0
2025-02-02,6,14909.955774497208,0.4965584999881685,0,36,0,0,144,1,0,0,1200.0
2025-02-02,12,33481.92892146353,0.1359026999998605,0,42,0,0,144,1,0,0,1200.0
2025-02-02,18,46584.51022325769,0.8790563999937149,0,55,0,0,144,1,0,0,1200.0
2025-02-03,0,62098.6689890343,0.41707989999849815,0,32,0,0,144,1,0,0,1200.0
2025-02-03,6,9967.847874304402,0.4374083000002429,0,24,0,0,144,1,0,0,1200.0
2025-02-03,12,26871.74660715165,0.1260130000009667,0,43,0,0,144,1,0,0,1200.0
2025-02-03,18,43864.87708269215,0.4564872000046307,0,55,0,0,144,1,0,0,1200.0
2025-02-04,0,64328.21214400951,0.5125888000038685,0,31,0,0,144,1,0,0,1200.0
2025-02-04,6,10647.340118609694,0.5981075000017881,0,27,0,0,144,1,0,0,1200.0
2025-02-04,12,22842.478466188193,0.0615276000025915,0,44,0,0,144,1,0,0,1200.0
2025-02-04,18,45455.181376315995,0.1773622000036994,0,55,0,0,144,1,0,0,1200.0
2025-02-05,0,59690.05836019193,0.7511429000005592,0,31,0,0,144,1,0,0,1200.0
2025-02-05,6,11500.981011663096,0.24608250000164844,0,42,0,0,144,1,0,0,1200.0
2025-02-05,12,28663.279255013367,0.15339150000363588,0,43,0,0,144,1,0,0,1200.0
2025-02-05,18,42746.67204252338,0.4498246000002837,0,54,0,0,144,1,0,0,1200.0
2025-02-06,0,64080.58206084479,0.6816915000090376,0,32,0,0,144,1,0,0,1200.0
2025-02-06,6,7826.049287576436,0.06886660000600386,0,24,0,0,144,1,0,0,1200.0
2025-02-06,12,17402.729380529338,0.18463850000989623,0,46,0,0,144,1,0,0,1200.0
2025-02-06,18,16721.28922019555,0.29332879999128636,0,57,0,0,144,1,0,0,1200.0
2025-02-07,0,32250.69584285706,0.6179058999987319,0,41,0,0,144,1,0,0,1200.0
2025-02-07,6,7596.675909953882,0.06766469999274705,0,21,0,0,144,1,0,0,1200.0
2025-02-07,12,10782.428446108002,0.3731147999933455,0,36,0,0,144,1,0,0,1200.0
2025-02-07,18,16819.120144168777,0.38308990000223275,0,59,0,0,144,1,0,0,1200.0
2025-02-08,0,37638.72833438005,0.4698744000052102,0,37,0,0,144,1,0,0,1200.0
2025-02-08,6,16582.83151494894,0.17068490000383463,0,52,0,0,144,1,0,0,1200.0
2025-02-08,12,31428.287436805298,0.2092352000036044,0,44,0,0,144,1,0,0,1200.0
2025-02-08,18,49969.51301790363,0.22779400000581518,0,54,0,0,144,1,0,0,1200.0
2025-02-09,0,71076.5251827314,0.2874745000008261,0,28,0,0,144,1,0,0,1200.0
2025-02-09,6,15767.50329295195,0.5937189999967813,0,42,0,0,144,1,0,0,1200.0
2025-02-09,12,30974.146901478325,0.205325000002631,0,47,0,0,144,1,0,0,1200.0
2025-02-09,18,43854.01607277169,0.4671643000037875,0,54,0,0,144,1,0,0,1200.0
2025-02-10,0,55424.30045729818,0.655688699989696,0,30,0,0,144,1,0,0,1200.0
2025-02-10,6,8677.686358434561,0.16359350000857376,0,24,0,0,144,1,0,0,1200.0
2025-02-10,12,23810.47790173983,0.229815900005633,0,83,0,0,144,1,0,0,1200.0
2025-02-10,18,31663.802777127414,0.2984843999875011,0,53,0,0,144,1,0,0,1200.0
2025-02-11,0,55860.73671278931,0.20098609999695327,0,30,0,0,144,1,0,0,1200.0
2025-02-11,6,9988.86440447909,0.1283910000056494,0,25,0,0,144,1,0,0,1200.0
2025-02-11,12,18350.873502995488,0.19094819999008905,0,43,0,0,144,1,0,0,1200.0
2025-02-11,18,40128.55830013321,0.33175450000271667,0,52,0,0,144,1,0,0,1200.0
2025-02-12,0,55964.07598266843,0.501230800000485,0,31,0,0,144,1,0,0,1200.0
2025-02-12,6,9554.028284119462,0.21738609999010805,0,25,0,0,144,1,0,0,1200.0
2025-02-12,12,20414.804706970703,0.12919120000151452,0,43,0,0,144,1,0,0,1200.0
2025-02-12,18,38649.427056479704,0.2733944000065094,0,54,0,0,144,1,0,0,1200.0
2025-02-13,0,51153.703441239515,0.4863189000025159,0,28,0,0,144,1,0,0,1200.0
2025-02-13,6,8817.083998449358,0.09205710000242107,0,43,0,0,144,1,0,0,1200.0
2025-02-13,12,14852.609780071494,0.0834480000048643,0,41,0,0,144,1,0,0,1200.0
2025-02-13,18,15912.54526723203,0.107168599992292,0,57,0,0,144,1,0,0,1200.0
2025-02-14,0,25225.323910226653,0.19115839998994488,0,36,0,0,144,1,0,0,1200.0
2025-02-14,6,10589.668063634514,0.0684558999928413,0,38,0,0,144,1,0,0,1200.0
2025-02-14,12,12179.023863838876,0.5121815999882529,0,36,0,0,144,1,0,0,1200.0
2025-02-14,18,11557.338447608434,0.1651611999986926,0,35,0,0,144,1,0,0,1200.0
2025-02-15,0,32986.8217818015,1.336297599991667,0,43,0,0,144,1,0,0,1200.0
2025-02-15,6,10525.982591204367,0.09988999999768566,0,21,0,0,144,1,0,0,1200.0
2025-02-15,12,24903.13643624203,0.1815234999958193,0,38,0,0,144,1,0,0,1200.0
2025-02-15,18,34636.06418534301,0.3611654999986058,0,52,0,0,144,1,0,0,1200.0
2025-02-16,0,62688.24902486416,0.3249719000014011,0,28,0,0,144,1,0,0,1200.0
2025-02-16,6,10497.452944662195,0.11437769999611191,0,26,0,0,144,1,0,0,1200.0
2025-02-16,12,22385.15482350282,0.18169479999050964,0,42,0,0,144,1,0,0,1200.0
2025-02-16,18,32041.37972269878,0.6062944000004791,0,58,0,0,144,1,0,0,1200.0
2025-02-17,0,53765.29341423408,0.5138569999980973,0,27,0,0,144,1,0,0,1200.0
2025-02-17,6,10156.683970808106,0.22501339999143966,0,60,0,0,144,1,0,0,1200.0
2025-02-17,12,18513.34823326503,0.6974028999975417,0,57,0,0,144,1,0,0,1200.0
2025-02-17,18,27726.81448833899,0.4759314000111772,0,60,0,0,144,1,0,0,1200.0
2025-02-18,0,48461.06867656302,0.25780659999873023,0,35,0,0,144,1,0,0,1200.0
2025-02-18,6,14121.044915779466,0.5390625,0,105,0,0,144,1,0,0,1200.0
2025-02-18,12,26079.107639430367,0.3401416999986395,0,75,0,0,144,1,0,0,1200.0
2025-02-18,18,30581.819566437825,0.523669999995036,0,57,0,0,144,1,0,0,1200.0
2025-02-19,0,49833.069298071765,0.15315879999252502,0,35,0,0,144,1,0,0,1200.0
2025-02-19,6,12111.531769449966,0.2916192999982741,0,57,0,0,144,1,0,0,1200.0
2025-02-19,12,21123.13448532575,0.4353854000073625,0,49,0,0,144,1,0,0,1200.0
2025-02-19,18,27974.74562654789,0.3811557000008179,0,59,0,0,144,1,0,0,1200.0
2025-02-20,0,51646.53633752281,0.30962759999965783,0,30,0,0,144,1,0,0,1200.0
2025-02-20,6,12472.239980367054,0.10707669999101199,0,57,0,0,144,1,0,0,1200.0
2025-02-20,12,12152.201421345824,0.8089917000033893,0,45,0,0,144,1,0,0,1200.0
2025-02-20,18,12804.162764661914,0.1516935999970883,0,37,0,0,144,1,0,0,1200.0
2025-02-21,0,24497.105204740496,0.24464370000350755,0,36,0,0,144,1,0,0,1200.0
2025-02-21,6,9412.2311522408,0.060174099999130704,0,71,0,0,144,1,0,0,1200.0
2025-02-21,12,15035.028906042202,0.14650380000239238,0,49,0,0,144,1,0,0,1200.0
2025-02-21,18,13634.050858365143,0.18237389999558218,0,56,0,0,144,1,0,0,1200.0
2025-02-22,0,28822.82433894751,0.39547719999973197,0,31,0,0,144,1,0,0,1200.0
2025-02-22,6,12687.96961322435,0.07785330001206603,0,36,0,0,144,1,0,0,1200.0
2025-02-22,12,21730.869241413387,0.1752338999940548,0,49,0,0,144,1,0,0,1200.0
2025-02-22,18,36485.82429222056,0.21236340000177734,0,53,0,0,144,1,0,0,1200.0
2025-02-23,0,54651.67101145791,0.17396259999077301,0,30,0,0,144,1,0,0,1200.0
2025-02-23,6,14530.83853543189,0.2854631999944104,0,43,0,0,144,1,0,0,1200.0
2025-02-23,12,23291.75467689904,0.667039099993417,0,43,0,0,144,1,0,0,1200.0
2025-02-23,18,32853.21535666652,0.40342959998815786,0,57,0,0,144,1,0,0,1200.0
2025-02-24,0,49772.10790817044,0.5034372999944026,0,37,0,0,144,1,0,0,1200.0
2025-02-24,6,12580.339009335787,0.12532830001146067,0,77,0,0,144,1,0,0,1200.0
2025-02-24,12,18522.94524901542,0.13674630000605248,0,42,0,0,144,1,0,0,1200.0
2025-02-24,18,28729.069052253395,0.2647341999982018,0,59,0,0,144,1,0,0,1200.0
2025-02-25,0,51105.2309469185,0.1721661000046879,0,29,0,0,144,1,0,0,1200.0
2025-02-25,6,11101.747887159994,0.18494179999106564,0,56,0,0,144,1,0,0,1200.0
2025-02-25,12,18864.386204676295,0.0891706999973394,0,49,0,0,144,1,0,0,1200.0
2025-02-25,18,29136.67730312682,0.20781710000301246,0,57,0,0,144,1,0,0,1200.0
2025-02-26,0,46339.96972926528,0.18574790000275243,0,39,0,0,144,1,0,0,1200.0
2025-02-26,6,13071.496792383054,0.21370849999948405,0,79,0,0,144,1,0,0,1200.0
2025-02-26,12,28835.02007880387,0.1841265000111889,0,46,0,0,144,1,0,0,1200.0
2025-02-26,18,36067.092292213696,0.269460399998934,0,53,0,0,144,1,0,0,1200.0
2025-02-27,0,47826.87361598423,0.17615749999822583,0,36,0,0,144,1,0,0,1200.0
2025-02-27,6,9512.145789976714,0.18671039999753702,0,52,0,0,144,1,0,0,1200.0
2025-02-27,12,11753.886628449764,0.6949977000040235,0,48,0,0,144,1,0,0,1200.0
2025-02-27,18,13137.41699145294,0.27442230000451673,0,37,0,0,144,1,0,0,1200.0
2025-02-28,0,22728.956465116327,0.3802819999982603,0,18,0,0,144,1,0,0,1200.0
2025-02-28,6,8909.84499513302,0.08480699999199715,0,30,0,0,144,1,0,0,1200.0
