date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,status,terminal_soc
2025-02-01,0,43757.21873730562,0.3013358000025619,0,30,0,0,144,1,0,1200.0
2025-02-01,6,14161.700366397901,0.29924609999579843,0,28,0,0,144,1,0,1200.0
2025-02-01,12,35018.94316987602,0.3184378000005381,0,41,0,0,144,1,0,1200.0
2025-02-01,18,43907.74860165602,0.5859463000087999,0,54,0,0,144,1,0,1200.0
2025-02-02,0,71951.91163828176,0.9335983000055421,0,28,0,0,144,1,0,1200.0
2025-02-02,6,15393.451860422849,0.18771149999520276,0,46,0,0,144,1,0,1200.0
2025-02-02,12,33867.221485611495,0.20099979999940842,0,42,0,0,144,1,0,1200.0
2025-02-02,18,46667.004086287365,0.3340353000094183,0,55,0,0,144,1,0,1200.0
2025-02-03,0,62098.668989034304,0.45775319999665953,0,32,0,0,144,1,0,1200.0
2025-02-03,6,9955.184881746043,0.278012700000545,0,24,0,0,144,1,0,1200.0
2025-02-03,12,26864.117648394014,0.14504249999299645,0,43,0,0,144,1,0,1200.0
2025-02-03,18,43864.87708269215,0.16869669999869075,0,55,0,0,144,1,0,1200.0
2025-02-04,0,64328.212144009696,0.6690976999962004,0,31,0,0,144,1,0,1200.0
2025-02-04,6,10623.821184672637,1.3435849999950733,0,25,0,0,144,1,0,1200.0
2025-02-04,12,22833.019108036682,0.1468618999933824,0,44,0,0,144,1,0,1200.0
2025-02-04,18,45448.634247694725,0.28039329999592155,0,55,0,0,144,1,0,1200.0
2025-02-05,0,59690.05836019297,0.8379875999962678,0,31,0,0,144,1,0,1200.0
2025-02-05,6,11464.317439856839,1.1008347000024514,0,42,0,0,144,1,0,1200.0
2025-02-05,12,28650.706456152595,0.15605380000488367,0,43,0,0,144,1,0,1200.0
2025-02-05,18,42734.07046475815,0.3563223000091966,0,54,0,0,144,1,0,1200.0
2025-02-06,0,64080.58206084479,0.4428332999959821,0,32,0,0,144,1,0,1200.0
2025-02-06,6,7826.95386768293,0.08601679999264888,0,24,0,0,144,1,0,1200.0
2025-02-06,12,17394.090987309428,0.21375139999145176,0,44,0,0,144,1,0,1200.0
2025-02-06,18,16708.30087928569,0.28274559999408666,0,55,0,0,144,1,0,1200.0
2025-02-07,0,32250.695842857065,1.0982250999950338,0,41,0,0,144,1,0,1200.0
2025-02-07,6,7605.779103745483,0.12786600000981707,0,22,0,0,144,1,0,1200.0
2025-02-07,12,10789.646377075143,0.8113125999952899,0,36,0,0,144,1,0,1200.0
2025-02-07,18,16819.120144168777,0.3618509000079939,0,59,0,0,144,1,0,1200.0
2025-02-08,0,37638.72833438005,0.8393734999990556,0,37,0,0,144,1,0,1200.0
2025-02-08,6,16674.64660637607,0.3646017999999458,0,52,0,0,144,1,0,1200.0
2025-02-08,12,31517.58085383166,0.32141000000410713,0,44,0,0,144,1,0,1200.0
2025-02-08,18,49969.5130179036,0.2274870999972336,0,54,0,0,144,1,0,1200.0
2025-02-09,0,71076.52518273036,0.7912420999928145,0,28,0,0,144,1,0,1200.0
2025-02-09,6,15580.395845728533,0.49729700000898447,0,44,0,0,144,1,0,1200.0
2025-02-09,12,30867.682668848796,0.39076130000466947,0,46,0,0,144,1,0,1200.0
2025-02-09,18,43863.19883211081,0.5800232000037795,0,54,0,0,144,1,0,1200.0
2025-02-10,0,55424.30045729818,0.7855373000056716,0,30,0,0,144,1,0,1200.0
2025-02-10,6,8687.966920380002,0.43320659999153577,0,24,0,0,144,1,0,1200.0
2025-02-10,12,23840.446455779245,0.264359400011017,0,83,0,0,144,1,0,1200.0
2025-02-10,18,31663.802777127385,0.5449957999953767,0,53,0,0,144,1,0,1200.0
2025-02-11,0,55860.736712789316,0.2824045000015758,0,30,0,0,144,1,0,1200.0
2025-02-11,6,9975.995325680105,0.23986129999684636,0,25,0,0,144,1,0,1200.0
2025-02-11,12,18337.777595194297,0.27140199999848846,0,43,0,0,144,1,0,1200.0
2025-02-11,18,40121.91194176253,0.302654099999927,0,52,0,0,144,1,0,1200.0
2025-02-12,0,55964.075982668786,0.6159636000083992,0,31,0,0,144,1,0,1200.0
2025-02-12,6,9506.951644467783,0.24008590000448748,0,24,0,0,144,1,0,1200.0
2025-02-12,12,20396.188144960164,0.15364899999985937,0,43,0,0,144,1,0,1200.0
2025-02-12,18,38630.98624192691,0.3445436000038171,0,54,0,0,144,1,0,1200.0
2025-02-13,0,51153.703441240534,0.2589843000023393,0,28,0,0,144,1,0,1200.0
2025-02-13,6,8769.505506646206,0.08152449999761302,0,41,0,0,144,1,0,1200.0
2025-02-13,12,14744.932054654313,0.1597018000029493,0,43,0,0,144,1,0,1200.0
2025-02-13,18,15912.545267232032,0.14685439999448135,0,57,0,0,144,1,0,1200.0
2025-02-14,0,25225.323910226787,0.2042386999964947,0,36,0,0,144,1,0,1200.0
2025-02-14,6,10588.016193977845,0.15419699999620207,0,38,0,0,144,1,0,1200.0
2025-02-14,12,12177.371994183117,0.42024659999879077,0,36,0,0,144,1,0,1200.0
2025-02-14,18,11556.109837673108,0.4927211000031093,0,35,0,0,144,1,0,1200.0
2025-02-15,0,32986.82178180132,1.1437698999943677,0,43,0,0,144,1,0,1200.0
2025-02-15,6,10547.179066086657,0.26149740000255406,0,21,0,0,144,1,0,1200.0
2025-02-15,12,24920.149572273396,0.8839063999912469,0,39,0,0,144,1,0,1200.0
2025-02-15,18,34660.2042454889,0.19473839999409392,0,52,0,0,144,1,0,1200.0
2025-02-16,0,62688.24902486408,0.7098912999936147,0,28,0,0,144,1,0,1200.0
2025-02-16,6,10596.021918798548,0.1630773000069894,0,26,0,0,144,1,0,1200.0
2025-02-16,12,22428.61616006675,0.33179440000094473,0,42,0,0,144,1,0,1200.0
2025-02-16,18,32084.841059262773,0.39392979998956434,0,58,0,0,144,1,0,1200.0
2025-02-17,0,53765.2934142341,0.13623469999583904,0,27,0,0,144,1,0,1200.0
2025-02-17,6,10188.240962726468,0.4222677000070689,0,60,0,0,144,1,0,1200.0
2025-02-17,12,18517.592453205496,0.13315619999775663,0,57,0,0,144,1,0,1200.0
2025-02-17,18,27726.81448833903,0.4901781999942614,0,60,0,0,144,1,0,1200.0
2025-02-18,0,48461.06867656302,0.19986089998565149,0,35,0,0,144,1,0,1200.0
2025-02-18,6,14110.296061737656,0.7404647999937879,0,105,0,0,144,1,0,1200.0
2025-02-18,12,26078.198781624164,1.1517437999864342,0,75,0,0,144,1,0,1200.0
2025-02-18,18,30580.91070863178,0.26065720000769943,0,57,0,0,144,1,0,1200.0
2025-02-19,0,49833.069298071765,0.2686634999990929,0,35,0,0,144,1,0,1200.0
2025-02-19,6,12108.234611148218,0.27414939999289345,0,58,0,0,144,1,0,1200.0
2025-02-19,12,21134.259198860444,0.40618289999838453,0,47,0,0,144,1,0,1200.0
2025-02-19,18,27969.110939536193,1.4516288000013446,0,59,0,0,144,1,0,1200.0
2025-02-20,0,51645.11263736762,0.233347400004277,0,30,0,0,144,1,0,1200.0
2025-02-20,6,12613.92401303689,0.1296545000077458,0,63,0,0,144,1,0,1200.0
2025-02-20,12,12216.5844344949,1.319204899991746,0,43,0,0,144,1,0,1200.0
2025-02-20,18,12804.162764661913,0.199324200002593,0,37,0,0,144,1,0,1200.0
2025-02-21,0,24497.105204740496,0.3393066999997245,0,36,0,0,144,1,0,1200.0
2025-02-21,6,9410.186732763488,0.11139720000210218,0,71,0,0,144,1,0,1200.0
2025-02-21,12,15032.984486564892,0.20430799998575822,0,49,0,0,144,1,0,1200.0
2025-02-21,18,13632.579338850226,0.1551519000058761,0,56,0,0,144,1,0,1200.0
2025-02-22,0,28822.824338947506,0.6591992000030586,0,31,0,0,144,1,0,1200.0
2025-02-22,6,12655.972578420058,0.224201399993035,0,36,0,0,144,1,0,1200.0
2025-02-22,12,21708.28774553149,0.30562330000975635,0,49,0,0,144,1,0,1200.0
2025-02-22,18,36485.82429222055,0.4719136000057915,0,53,0,0,144,1,0,1200.0
2025-02-23,0,54651.67101145791,0.24685570001020096,0,30,0,0,144,1,0,1200.0
2025-02-23,6,14554.655532229206,0.20454109999991488,0,43,0,0,144,1,0,1200.0
2025-02-23,12,23314.843017269603,0.19025990000227466,0,43,0,0,144,1,0,1200.0
2025-02-23,18,32880.456752535574,0.9292778999952134,0,57,0,0,144,1,0,1200.0
2025-02-24,0,49772.107908170445,0.7753047000005608,0,37,0,0,144,1,0,1200.0
2025-02-24,6,12579.842556497832,0.21553050000511575,0,77,0,0,144,1,0,1200.0
2025-02-24,12,18493.084670655404,0.21937390000675805,0,42,0,0,144,1,0,1200.0
2025-02-24,18,28694.527182794805,1.0991155999945477,0,59,0,0,144,1,0,1200.0
2025-02-25,0,51105.2309469185,0.24171770000248216,0,29,0,0,144,1,0,1200.0
2025-02-25,6,11040.794025920783,0.1447733000095468,0,53,0,0,144,1,0,1200.0
2025-02-25,12,18835.32576988504,0.10712260000582319,0,49,0,0,144,1,0,1200.0
2025-02-25,18,29125.097242297656,0.254467199993087,0,57,0,0,144,1,0,1200.0
2025-02-26,0,46339.96972926528,0.3044320999906631,0,39,0,0,144,1,0,1200.0
2025-02-26,6,13080.762669928568,0.44673619999957737,0,81,0,0,144,1,0,1200.0
2025-02-26,12,28836.408376602394,0.23797070000728127,0,46,0,0,144,1,0,1200.0
2025-02-26,18,36097.46965253846,0.30249940000067,0,53,0,0,144,1,0,1200.0
2025-02-27,0,47826.873615984216,0.41278940001211595,0,36,0,0,144,1,0,1200.0
2025-02-27,6,9506.28360795585,0.14091560000088066,0,53,0,0,144,1,0,1200.0
2025-02-27,12,11743.567669263257,0.5849950999981957,0,48,0,0,144,1,0,1200.0
2025-02-27,18,13142.060144775014,0.1919932000018889,0,37,0,0,144,1,0,1200.0
2025-02-28,0,22730.807636893525,0.5692350000026636,0,18,0,0,144,1,0,1200.0
2025-02-28,6,8916.587161554207,0.2293253999960143,0,30,0,0,144,1,0,1200.0
2025-02-28,12,10809.61325085734,0.3156567999976687,0,37,0,0,144,1,0,1200.0
2025-02-28,18,15079.751794484635,0.17042900000524241,0,55,0,0,144,1,0,1200.0
