issue_hour,n,daylight_n,MAE_all_kW,MAE_daylight_kW,RMSE_daylight_kW,bias_daylight_kW
0,8760,4255,181.31329696347032,373.2067601175088,531.7104104891904,-52.68239753231492
6,8754,4255,97.48382746173178,200.48562366627496,296.5325485019888,-15.365038754406584
12,8748,4250,207.86550900777323,427.7966733647059,804.8625186302078,-75.03534437647059
18,8742,4246,259.8928429878746,534.9635084550164,752.1567623094778,-110.32023685821952
