cost_plan,cost_adjust_up,cost_adjust_down,cost_emergency,cost_total,energy_up,energy_down,energy_emergency,energy_waste,adjustment_churn,label,variant,policy,days,interpolation,correction,mode,final_soc,elapsed_s,session_wall_s,solver_s,tolerance_retries,lp_simultaneous_cd,lp_emergency_charge,binaries,directory,marginal_saving
14187786.244649846,0.0,0.0,849694.6094776731,15037480.854127519,0.0,0.0,196401.88793722668,4199444.165600082,0.0,BLOCK_K0_linear_bias0_physical_v3_334d,BLOCK,K0,334,linear,False,physical,1495.5996125538131,162.6739906998846,164.73657810001168,162.6739906998846,2,0,9677,48096,C:\Users\wu\mm\experiments\q3_rolling24\results\BLOCK_K0_linear_bias0_physical_v3_334d,
14188198.706636751,120728.60283412134,-137316.66409611242,740190.9146063455,14911801.559981106,134710.03614592747,489040.81413443375,172377.3467303098,3806984.635990697,0.0,BLOCK_K06_linear_bias0_physical_v3_334d,BLOCK,K06,334,linear,False,physical,1495.5996125538131,235.47189099954267,237.33526890000212,235.47189099954267,1,0,23987,96192,C:\Users\wu\mm\experiments\q3_rolling24\results\BLOCK_K06_linear_bias0_physical_v3_334d,125679.29414641298
14187684.704520158,202151.46585559833,-359411.0649212458,649825.371310262,14680250.476764772,206191.01403791684,1221610.717943532,153962.0311918741,3122895.057812964,0.0,BLOCK_K0612_linear_bias0_physical_v3_334d,BLOCK,K0612,334,linear,False,physical,1495.5996125538131,330.09674419988005,332.7131737000018,330.09674419988005,0,0,38977,144288,C:\Users\wu\mm\experiments\q3_rolling24\results\BLOCK_K0612_linear_bias0_physical_v3_334d,231551.08321633376
14187625.069218155,206079.06352301393,-360918.46456292184,633389.0476235058,14666174.715801753,208186.45601323404,1224051.1126560024,151538.0186712428,3119972.329602628,0.0,BLOCK_Kall_linear_bias0_physical_v3_334d,BLOCK,Kall,334,linear,False,physical,1495.5996125538131,451.7591392000759,454.5743808999978,451.7591392000759,2,0,56126,192384,C:\Users\wu\mm\experiments\q3_rolling24\results\BLOCK_Kall_linear_bias0_physical_v3_334d,14075.760963018984
