scope,interpolation,issue_hour,signal,count,mae_kw,rmse_kw
paired_all4,linear,0,load,12024,192.7608385639995,255.32667278790493
paired_all4,linear,0,pv,12024,15.835008470558883,62.741066063480076
paired_all4,linear,0,net,12024,198.09743837448585,262.82110176514607
paired_all4,linear,6,load,12024,192.7608385639995,255.32667278790493
paired_all4,linear,6,pv,12024,15.703174496839654,60.78755504339355
paired_all4,linear,6,net,12024,197.8804868383553,262.15791143960644
paired_all4,linear,12,load,12024,192.7608385639995,255.32667278790493
paired_all4,linear,12,pv,12024,15.918963115435794,60.557304434378885
paired_all4,linear,12,net,12024,197.7701737551669,262.2847743775624
paired_all4,linear,18,load,12024,192.7608385639995,255.32667278790493
paired_all4,linear,18,pv,12024,15.873996141051233,60.072594079487075
paired_all4,linear,18,net,12024,197.6714848535337,261.9964731906638
paired_0_6_12,linear,0,load,24048,223.84867299900876,295.0482369068864
paired_0_6_12,linear,0,pv,24048,230.80845986429915,421.4708504024308
paired_0_6_12,linear,0,net,24048,366.880516993153,523.7197707965814
paired_0_6_12,linear,6,load,24048,223.84867299900876,295.0482369068864
paired_0_6_12,linear,6,pv,24048,160.27755347568754,283.59882002931124
paired_0_6_12,linear,6,net,24048,299.2101844076714,401.19645777537914
paired_0_6_12,linear,12,load,24048,223.84867299900876,295.0482369068864
paired_0_6_12,linear,12,pv,24048,98.60043487954647,166.1576716209982
paired_0_6_12,linear,12,net,24048,260.24697374165066,339.66825791375203
full_available,linear,0,load,48096,211.50196013444452,279.60799724878103
full_available,linear,0,pv,48096,206.64540654662898,388.77827246629363
full_available,linear,0,net,48096,333.05325273218233,480.65724473769717
full_available,linear,6,load,48060,213.42268005539955,282.2072594256811
full_available,linear,6,pv,48060,137.69584672249965,249.66153860559217
full_available,linear,6,net,48060,270.913869897245,368.01701403240446
full_available,linear,12,load,48024,217.070921587215,285.1318303523943
full_available,linear,12,pv,48024,220.1903424398912,523.8532386285584
full_available,linear,12,net,48024,358.7803643311031,596.9823706957083
full_available,linear,18,load,47988,220.87177301168214,289.1027393895852
full_available,linear,18,pv,47988,277.72775552082464,532.1075830662493
full_available,linear,18,net,47988,402.18256877358357,606.629958998799
january_calibration,linear,0,load,4320,433.2603464711461,673.9136683547903
january_calibration,linear,0,pv,4320,144.15729277006173,284.87134912889485
january_calibration,linear,0,net,4320,497.2179649239589,749.7743360240378
january_calibration,linear,6,load,4320,444.822771698616,681.0412950198929
january_calibration,linear,6,pv,4320,100.71739521219136,190.97228769343684
january_calibration,linear,6,net,4320,464.34305762104276,692.9861865535466
january_calibration,linear,12,load,4320,480.0410000108776,726.2249580075093
january_calibration,linear,12,pv,4320,141.22670032407407,332.92620482428225
january_calibration,linear,12,net,4320,547.1195293625237,835.1523725887287
january_calibration,linear,18,load,4320,518.1170544472923,773.1087692988558
january_calibration,linear,18,pv,4320,211.29664155092593,426.9225835921396
january_calibration,linear,18,net,4320,593.2781099859976,913.6165415855614
paired_all4,pchip,0,load,12024,192.7608385639995,255.32667278790493
paired_all4,pchip,0,pv,12024,9.097782004251949,40.96664868387757
paired_all4,pchip,0,net,12024,194.9659371315906,258.1070019893012
paired_all4,pchip,6,load,12024,192.7608385639995,255.32667278790493
paired_all4,pchip,6,pv,12024,8.658137234883556,38.399040396288115
paired_all4,pchip,6,net,12024,194.8359982879574,257.64286394402745
paired_all4,pchip,12,load,12024,192.7608385639995,255.32667278790493
paired_all4,pchip,12,pv,12024,8.66348716560154,37.52658805332474
paired_all4,pchip,12,net,12024,194.72305049976438,257.6757773514397
paired_all4,pchip,18,load,12024,192.7608385639995,255.32667278790493
paired_all4,pchip,18,pv,12024,7.722158348200921,34.136628754858634
paired_all4,pchip,18,net,12024,194.17814239844296,256.74270273301795
paired_0_6_12,pchip,0,load,24048,223.84867299900876,295.0482369068864
paired_0_6_12,pchip,0,pv,24048,227.56883982401962,427.01656208078214
paired_0_6_12,pchip,0,net,24048,367.6014026943613,528.4623325349933
paired_0_6_12,pchip,6,load,24048,223.84867299900876,295.0482369068864
paired_0_6_12,pchip,6,pv,24048,154.7694074098162,286.0478275954095
paired_0_6_12,pchip,6,net,24048,298.3128063095714,403.12525921349703
paired_0_6_12,pchip,12,load,24048,223.84867299900876,295.0482369068864
paired_0_6_12,pchip,12,pv,24048,92.23367925722377,164.42047543348414
paired_0_6_12,pchip,12,net,24048,258.7617946137339,338.9756349596692
full_available,pchip,0,load,48096,211.50196013444452,279.60799724878103
full_available,pchip,0,pv,48096,207.66902342133176,393.4780180178347
full_available,pchip,0,net,48096,335.17227084352425,485.03181199943316
full_available,pchip,6,load,48060,213.42268005539955,282.2072594256811
full_available,pchip,6,pv,48060,134.71033231496787,250.44295547151705
full_available,pchip,6,net,48060,270.8195970539823,369.23226786749893
full_available,pchip,12,load,48024,217.070921587215,285.1318303523943
full_available,pchip,12,pv,48024,219.25076015441232,524.7823093758053
full_available,pchip,12,net,48024,360.0786761611335,598.5960686803057
full_available,pchip,18,load,47988,220.87177301168214,289.1027393895852
full_available,pchip,18,pv,47988,280.7531627964698,539.9474954166977
full_available,pchip,18,net,47988,406.13111139178335,614.1268861883017
january_calibration,pchip,0,load,4320,433.2603464711461,673.9136683547903
january_calibration,pchip,0,pv,4320,146.84697344765004,292.3793731027798
january_calibration,pchip,0,net,4320,498.6553728235017,752.7386816745211
january_calibration,pchip,6,load,4320,444.822771698616,681.0412950198929
january_calibration,pchip,6,pv,4320,100.52319326630848,193.78137719870088
january_calibration,pchip,6,net,4320,464.9473677794379,693.6913641559366
january_calibration,pchip,12,load,4320,480.0410000108776,726.2249580075093
january_calibration,pchip,12,pv,4320,143.1884495068709,336.4688556829254
january_calibration,pchip,12,net,4320,548.5432156605161,838.6595197345433
january_calibration,pchip,18,load,4320,518.1170544472923,773.1087692988558
