cost_plan,cost_adjust_up,cost_adjust_down,cost_emergency,cost_total,energy_up,energy_down,energy_emergency,energy_waste,adjustment_churn,label,variant,policy,days,interpolation,correction,mode,final_soc,elapsed_s,solver_s,lp_simultaneous_cd,lp_emergency_charge,binaries,directory,session_wall_s,tolerance_retries
14188083.924006525,291922.0030012047,-412552.5981156644,638021.7073848764,14705475.036276942,298845.87026587897,1347369.4443333503,152232.80459524333,3084507.85896667,216518.92745294288,ALL_Kall_linear_bias0_physical_v3_334d,ALL,Kall,334,linear,False,physical,1495.5996125538131,427.525705299995,588.5280492001184,0,55186,192384,C:\Users\wu\mm\experiments\q3_rolling24\results\ALL_Kall_linear_bias0_physical_v3_334d,,
14187625.069218155,206079.06352301393,-360918.46456292184,633389.0476235058,14666174.715801753,208186.45601323404,1224051.1126560024,151538.0186712428,3119972.329602628,0.0,BLOCK_Kall_linear_bias0_physical_v3_334d,BLOCK,Kall,334,linear,False,physical,1495.5996125538131,451.7591392000759,451.7591392000759,0,56126,192384,C:\Users\wu\mm\experiments\q3_rolling24\results\BLOCK_Kall_linear_bias0_physical_v3_334d,454.5743808999978,2.0
