cost_plan,cost_adjust_up,cost_adjust_down,cost_emergency,cost_total,energy_up,energy_down,energy_emergency,energy_waste,adjustment_churn,label,variant,policy,days,interpolation,correction,mode,final_soc,elapsed_s,session_wall_s,solver_s,tolerance_retries,lp_simultaneous_cd,lp_emergency_charge,binaries,directory,marginal_saving
14187625.069218155,206079.06352301393,-360918.46456292184,633389.0476235058,14666174.715801753,208186.45601323404,1224051.1126560024,151538.0186712428,3119972.329602628,0.0,BLOCK_Kall_linear_bias0_physical_v3_334d,BLOCK,Kall,334,linear,False,physical,1495.5996125538131,451.7591392000759,454.5743808999978,451.7591392000759,2,0,56126,192384,C:\Users\wu\mm\experiments\q3_rolling24\results\BLOCK_Kall_linear_bias0_physical_v3_334d,14075.760963018984
14196329.05179879,306038.63499183865,-462192.9713388576,521621.3146610351,14561796.030112807,269493.35555835336,1423538.1940539186,127996.64758763027,2965211.2407509247,0.0,BLOCK_Kall_linear_bias1_physical_v3_334d,BLOCK,Kall,334,linear,True,physical,1478.5374064916693,544.8522096000088,110.47435810000752,544.8522096000088,1,0,55946,192384,C:\Users\wu\mm\experiments\q3_rolling24\results\BLOCK_Kall_linear_bias1_physical_v3_334d,
