mode,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,solver_time_s,days,mean_terminal_value,E_end_minus_v0_kwh,cost_delta_vs_fixed_v0_yuan,emergency_cost_delta_vs_fixed_v0_yuan,inventory_adjusted_delta_at_0.45_yuan,break_even_salvage_yuan_per_kwh,days_end_at_lower_bound,days_end_at_upper_bound,max_residual_kwh
dynamic_v,2515309.4312494425,2330402.737583113,184906.69366632903,42337.834818716176,647616.3214795834,986552.8177668257,810556.013385512,23.730841100157704,56,0.4619147796244358,5986.323426833787,-385.4867479978129,-1985.5216921384272,-3079.3322900730172,-0.06439457418385759,1,1,2.0321522242738865e-11
fixed_v_0,2515694.9179974403,2328802.7026389726,186892.21535846745,43215.191915698924,645924.1669032396,972258.733837208,804365.4964866722,32.97562080001808,56,0.0,0.0,0.0,0.0,0.0,,4,0,1.4551915228366852e-10
fixed_v_0.3,2515808.6814555293,2328909.9888337962,186898.69262173327,43221.48937234538,646091.3319858564,972258.733837208,804365.4964866722,33.002243800030556,56,0.3,-4.092726157978177e-12,113.76345808897167,6.477263265813235,113.76345808897352,,4,0,3.2105162972584367e-10
fixed_v_0.5,2546067.2437306195,2366354.6599077154,179712.58382290424,40072.84599969514,690808.5520586217,1052825.7952987559,838374.0558198484,16.39798390000942,56,0.5,34723.06716741954,30372.325733179227,-7179.6315355632105,14746.945507840433,0.8747016957556506,0,37,2.97859514830634e-11
fixed_v_0.8,2550945.010120233,2371491.9016688736,179453.1084513595,40017.7401087876,701610.1528067864,1053429.025560857,838659.4313297172,15.953890699980548,56,0.8,34948.89050345642,35250.09212279273,-7439.106907107955,19523.09139623734,1.0086183456755664,0,49,6.849631972727366e-12
fixed_v_1,2550992.4556645136,2371495.813684295,179496.6419802182,40026.690786534404,701624.9469916095,1053429.025560857,838659.4313297172,15.949892299977364,56,1.0,34948.89050345642,35297.53766707331,-7395.573378249246,19570.53694051792,1.0099759150746832,0,49,6.849631972727366e-12
