date,t,price,load_kw,pv_kw,g0,g_final,up,down,c_plan,d_plan,c_exec,d_exec,h_real,w_real,soc_start,soc_end
2025-05-08,36,0.9368,4869.4194,1124.0977,0.0,0.0,0.0,0.0,0.0,654.0925070985362,0.0,624.2202833333333,0.0,0.0,10043.629393561492,9350.0513009689
2025-05-08,37,0.8758,4631.0325,1416.2905,0.0,0.0,0.0,0.0,0.0,595.99745721508,0.0,535.7903333333334,0.0,0.0,9350.0513009689,8754.728708376308
2025-05-08,38,0.8759,4578.96,1737.225,0.0,0.0,0.0,0.0,0.0,562.5656750492253,0.0,473.6225,0.0,0.0,8754.728708376308,8228.481486154085
2025-05-08,39,0.8601,4828.8809,2046.3148,0.0,0.0,0.0,0.0,0.0,510.27920497638183,0.0,463.76101666666665,0.0,0.0,8228.481486154085,7713.191467635566
2025-05-08,40,0.8442,4904.801,2256.3211,0.0,0.0,0.0,0.0,0.0,462.24234834846766,0.0,441.41331666666673,0.0,0.0,7713.191467635566,7222.7322268948255
2025-05-08,41,0.8334,4713.99,2453.5125,0.0,0.0,0.0,0.0,0.0,408.1443536201072,0.0,376.74625,0.0,0.0,7222.7322268948255,6804.125282450381
2025-05-08,42,0.8092,4636.6107,2825.7725,0.0,0.0,0.0,0.0,0.0,359.47277992946255,0.0,301.8063666666667,0.0,0.0,6804.125282450381,6468.784875042973
2025-05-08,43,0.7972,4812.5695,3232.1432,0.0,0.0,0.0,0.0,0.0,295.95404306657264,0.0,263.40438333333327,0.0,0.0,6468.784875042973,6176.113338005936
2025-05-08,44,0.7644,4907.89,3559.05,66.23009904731381,0.0,0.0,66.23009904731381,0.0,213.6103268073232,0.0,213.6103268073232,11.196339859343425,0.0,6176.113338005936,5938.768530442244
2025-05-08,45,0.6899,4621.2437,3834.373,234.72695642223252,0.0,0.0,234.72695642223252,0.0,181.65496636994908,0.0,131.14511666666658,0.0,0.0,5938.768530442244,5793.051734145948
2025-05-08,46,0.86,5319.4287,4195.8634,0.0,0.0,0.0,0.0,0.0,234.61353377156547,0.0,187.26088333333337,0.0,0.0,5793.051734145948,5584.9840859978
