date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,status,terminal_soc,tolerance_retry
2025-02-01,0,43757.21873730563,0.32803050000802614,0,30,0,0,144,1,0,1200.0,
2025-02-01,6,13857.61770336733,0.2498234000086086,0,34,0,0,144,1,0,1200.0,
2025-02-01,12,35851.94496189846,0.2569281000032788,0,48,0,0,144,1,0,1200.0,
2025-02-01,18,43907.74860165602,0.3015261999971699,0,54,0,0,144,1,0,1200.0,
2025-02-02,0,71951.91163828182,0.34402079999563284,0,28,0,0,144,1,0,1200.0,
2025-02-02,6,14767.04774195143,0.3982488000037847,0,39,0,0,144,1,0,1200.0,
2025-02-02,12,33790.99839891997,0.3401446999923792,0,44,0,0,144,1,0,1200.0,
2025-02-02,18,46584.51022325769,0.853697500002454,0,55,0,0,144,1,0,1200.0,
2025-02-03,0,62098.6689890343,0.41195029999653343,0,32,0,0,144,1,0,1200.0,
2025-02-03,6,9593.998273787292,0.29456170000776183,0,32,0,0,144,1,0,1200.0,
2025-02-03,12,27307.061189643595,0.4435029000014765,0,55,0,0,144,1,0,1200.0,
2025-02-03,18,43864.87708269215,0.44220979999226984,0,55,0,0,144,1,0,1200.0,
2025-02-04,0,64328.21214400951,0.5035470000002533,0,31,0,0,144,1,0,1200.0,
2025-02-04,6,9925.181328652725,1.058923099990352,0,35,0,0,144,1,0,1200.0,
2025-02-04,12,23508.838375244984,0.0815602999937255,0,46,0,0,144,1,0,1200.0,
2025-02-04,18,45462.41049148419,0.2806559000018751,0,55,0,0,144,1,0,1200.0,
2025-02-05,0,59692.97728363153,0.5651244000036968,0,31,0,0,144,1,0,1200.0,
2025-02-05,6,11362.529472110282,0.3721227999922121,0,51,0,0,144,1,0,1200.0,
2025-02-05,12,28997.446726768147,0.23077189999457914,0,46,0,0,144,1,0,1200.0,
2025-02-05,18,42735.57393273756,0.2778470000048401,0,54,0,0,144,1,0,1200.0,
2025-02-06,0,64080.58206084479,0.6690483999991557,0,32,0,0,144,1,0,1200.0,
2025-02-06,6,6890.446080508493,0.11321990001306403,0,30,0,0,144,1,0,1200.0,
2025-02-06,12,18272.294242253585,0.2667585000017425,0,46,0,0,144,1,0,1200.0,
2025-02-06,18,16721.28922019555,0.2856448999955319,0,57,0,0,144,1,0,1200.0,
2025-02-07,0,32250.69584285706,0.6098377000016626,0,41,0,0,144,1,0,1200.0,
2025-02-07,6,7278.166468640062,0.17385730000387412,0,27,0,0,144,1,0,1200.0,
2025-02-07,12,11498.023712155336,1.0321323999960441,0,37,0,0,144,1,0,1200.0,
2025-02-07,18,16819.120144168777,0.3810512999916682,0,59,0,0,144,1,0,1200.0,
2025-02-08,0,37638.72833438005,0.452511700001196,0,37,0,0,144,1,0,1200.0,
2025-02-08,6,16559.205706796904,0.382468499999959,0,52,0,0,144,1,0,1200.0,
2025-02-08,12,31168.936348258976,0.2818810000026133,0,45,0,0,144,1,0,1200.0,
2025-02-08,18,49969.51301790363,0.22443879999627825,0,54,0,0,144,1,0,1200.0,
2025-02-09,0,71076.5251827314,0.28178859999752603,0,28,0,0,144,1,0,1200.0,
2025-02-09,6,15767.503292951946,0.6463981999986572,0,42,0,0,144,1,0,1200.0,
2025-02-09,12,30908.84196060117,0.37624500000674743,0,48,0,0,144,1,0,1200.0,
2025-02-09,18,43854.01607277169,0.4665597999992315,0,54,0,0,144,1,0,1200.0,
2025-02-10,0,55424.30045729818,0.6618457000004128,0,30,0,0,144,1,0,1200.0,
2025-02-10,6,7523.035367529323,0.34685080000781454,0,28,0,0,144,1,0,1200.0,
2025-02-10,12,25042.42686366652,0.28552079999644775,0,66,0,0,144,1,0,1200.0,
2025-02-10,18,31668.989636311926,0.2530624000064563,0,53,0,0,144,1,0,1200.0,
2025-02-11,0,55862.61625442592,0.19787849999556784,0,30,0,0,144,1,0,1200.0,
2025-02-11,6,9501.253653420874,0.11011490000237245,0,28,0,0,144,1,0,1200.0,
2025-02-11,12,18729.59314095127,0.2647352000058163,0,43,0,0,144,1,0,1200.0,
2025-02-11,18,40128.55830013321,0.3327897999988636,0,52,0,0,144,1,0,1200.0,
2025-02-12,0,55964.07598266843,0.5202174000005471,0,31,0,0,144,1,0,1200.0,
2025-02-12,6,9247.919613212085,0.3477609000110533,0,31,0,0,144,1,0,1200.0,
2025-02-12,12,20834.95144043443,0.2793180000007851,0,51,0,0,144,1,0,1200.0,
2025-02-12,18,38649.427056479704,0.2762749999965308,0,54,0,0,144,1,0,1200.0,
2025-02-13,0,51153.703441239515,0.495827000006102,0,28,0,0,144,1,0,1200.0,
2025-02-13,6,8683.323500670738,0.18875899999693502,0,39,0,0,144,1,0,1200.0,
2025-02-13,12,14758.650164737403,0.1453487000107998,0,43,0,0,144,1,0,1200.0,
2025-02-13,18,15912.54526723203,0.10419480000564363,0,57,0,0,144,1,0,1200.0,
2025-02-14,0,25225.323910226653,0.1891983999958029,0,36,0,0,144,1,0,1200.0,
2025-02-14,6,9914.349477512525,0.16040459999931045,0,34,0,0,144,1,0,1200.0,
2025-02-14,12,11224.42035617682,0.468178999988595,0,40,0,0,144,1,0,1200.0,
2025-02-14,18,11557.338447608434,0.16673560001072474,0,35,0,0,144,1,0,1200.0,
2025-02-15,0,32986.8217818015,1.3938171999907354,0,43,0,0,144,1,0,1200.0,
2025-02-15,6,10271.37667590595,0.15965810000489,0,25,0,0,144,1,0,1200.0,
2025-02-15,12,25342.207246495924,0.9910717000020668,0,44,0,0,144,1,0,1200.0,
2025-02-15,18,34636.06418534301,0.35218129999702796,0,52,0,0,144,1,0,1200.0,
2025-02-16,0,62688.24902486208,0.3329758000036236,0,28,0,0,144,1,0,1200.0,
2025-02-16,6,9875.063314696778,0.23918499999854248,0,32,0,0,144,1,0,1200.0,
2025-02-16,12,23335.334066145395,0.30402380001032725,0,45,0,0,144,1,0,1200.0,
2025-02-16,18,32041.37972269878,0.5746866999979829,0,58,0,0,144,1,0,1200.0,
2025-02-17,0,53765.29341423408,0.5066175999963889,0,27,0,0,144,1,0,1200.0,
2025-02-17,6,9693.423422334135,0.9301725000113947,0,38,0,0,144,1,0,1200.0,
2025-02-17,12,18760.32041656918,0.15136770000390243,0,47,0,0,144,1,0,1200.0,
2025-02-17,18,27726.81448833899,0.49254340000334196,0,60,0,0,144,1,0,1200.0,
2025-02-18,0,48461.06867656302,0.24947789999714587,0,35,0,0,144,1,0,1200.0,
2025-02-18,6,13773.130486378357,1.8379681000078563,0,96,0,0,144,1,0,1200.0,
2025-02-18,12,25733.124885808378,0.8439747000084026,0,72,0,0,144,1,0,1200.0,
2025-02-18,18,30580.91070863178,0.7764384000038262,0,57,0,0,144,1,0,1200.0,
2025-02-19,0,49833.069298071765,0.15541469999880064,0,35,0,0,144,1,0,1200.0,
2025-02-19,6,12003.585267613227,0.30432870000367984,0,58,0,0,144,1,0,1200.0,
2025-02-19,12,21093.860529443522,0.6590781999984756,0,50,0,0,144,1,0,1200.0,
2025-02-19,18,27974.74562654789,0.36573229999339674,0,59,0,0,144,1,0,1200.0,
2025-02-20,0,51646.53633752281,0.31020779999380466,0,30,0,0,144,1,0,1200.0,
2025-02-20,6,10721.815309369496,0.14528329999302514,0,30,0,0,144,1,0,1200.0,
2025-02-20,12,11503.465238635914,0.6974857000022894,0,43,0,0,144,1,0,1200.0,
2025-02-20,18,12750.50717915897,0.14884239999810234,0,37,0,0,144,1,0,1200.0,
2025-02-21,0,24478.286439815638,0.22988400000031106,0,36,0,0,144,1,0,1200.0,
2025-02-21,6,9360.253115421196,0.1307177000126103,0,69,0,0,144,1,0,1200.0,
2025-02-21,12,14807.709411033667,0.16692480001074728,0,49,0,0,144,1,0,1200.0,
2025-02-21,18,13632.579338850215,0.18112430001201574,0,56,0,0,144,1,0,1200.0,
2025-02-22,0,28822.82433894751,0.39054540000506677,0,31,0,0,144,1,0,1200.0,
2025-02-22,6,12645.360586606974,0.14090509999368805,0,36,0,0,144,1,0,1200.0,
2025-02-22,12,21604.638466585526,0.316884999992908,0,43,0,0,144,1,0,1200.0,
2025-02-22,18,36485.82429222056,0.20459789999586064,0,53,0,0,144,1,0,1200.0,
2025-02-23,0,54651.67101145791,0.16970569999830332,0,30,0,0,144,1,0,1200.0,
2025-02-23,6,14348.796620126752,0.34258979999867734,0,47,0,0,144,1,0,1200.0,
2025-02-23,12,23492.232470314233,0.2863309999956982,0,43,0,0,144,1,0,1200.0,
2025-02-23,18,32853.21535666652,0.3923083999980008,0,57,0,0,144,1,0,1200.0,
2025-02-24,0,49772.10790817044,0.48407740000402555,0,37,0,0,144,1,0,1200.0,
2025-02-24,6,12401.398638033514,0.16351840000425,0,73,0,0,144,1,0,1200.0,
2025-02-24,12,18416.77378913654,0.15433540000231005,0,46,0,0,144,1,0,1200.0,
2025-02-24,18,28729.069052253395,0.2698748999973759,0,59,0,0,144,1,0,1200.0,
2025-02-25,0,51105.2309469185,0.1836296000110451,0,29,0,0,144,1,0,1200.0,
2025-02-25,6,10925.83205584655,0.7182693000067957,0,45,0,0,144,1,0,1200.0,
2025-02-25,12,18781.732527958407,0.20209570000588428,0,48,0,0,144,1,0,1200.0,
2025-02-25,18,29136.67730312682,0.20875260001048446,0,57,0,0,144,1,0,1200.0,
2025-02-26,0,46339.96972926528,0.18630909999774303,0,39,0,0,144,1,0,1200.0,
2025-02-26,6,12988.67897518939,0.7754099000012502,0,72,0,0,144,1,0,1200.0,
2025-02-26,12,28771.331701872223,0.37099619999935385,0,46,0,0,144,1,0,1200.0,
2025-02-26,18,36067.092292213696,0.28615679999347776,0,53,0,0,144,1,0,1200.0,
2025-02-27,0,47826.87361598423,0.18567069999699015,0,36,0,0,144,1,0,1200.0,
2025-02-27,6,9339.325158591953,0.10985979999531992,0,53,0,0,144,1,0,1200.0,
2025-02-27,12,11836.583890092885,0.527461299992865,0,50,0,0,144,1,0,1200.0,
2025-02-27,18,13139.271170300035,0.26899380001123063,0,37,0,0,144,1,0,1200.0,
2025-02-28,0,22729.69700918323,0.3815191000030609,0,18,0,0,144,1,0,1200.0,
2025-02-28,6,8906.443014396447,0.2524570999958087,0,46,0,0,144,1,0,1200.0,
2025-02-28,12,10745.15814774676,0.14945570001145825,0,37,0,0,144,1,0,1200.0,
2025-02-28,18,15074.446731140966,0.12091850000433624,0,55,0,0,144,1,0,1200.0,
2025-03-01,0,25816.324076377332,0.39434280000568833,0,33,0,0,144,1,0,1200.0,
2025-03-01,6,9604.641466775181,0.12296680000144988,0,23,0,0,144,1,0,1200.0,
2025-03-01,12,17635.611197658396,0.13845949999813456,0,49,0,0,144,1,0,1200.0,
2025-03-01,18,29290.655474500978,0.23584480000135954,0,57,0,0,144,1,0,1200.0,
2025-03-02,0,51182.40679083472,0.5460653000045568,0,31,0,0,144,1,0,1200.0,
2025-03-02,6,12771.72884096872,0.24073259999568108,0,64,0,0,144,1,0,1200.0,
2025-03-02,12,26683.035190031278,0.21185170000535436,0,49,0,0,144,1,0,1200.0,
2025-03-02,18,35793.70435083345,0.21829030000662897,0,57,0,0,144,1,0,1200.0,
2025-03-03,0,55135.91165453878,0.8139845999976387,0,30,0,0,144,1,0,1200.0,
2025-03-03,6,9588.654411937947,0.31897209999442566,0,26,0,0,144,1,0,1200.0,
2025-03-03,12,22744.59921684557,0.1910440999927232,0,51,0,0,144,1,0,1200.0,
2025-03-03,18,29939.145242084083,0.251782599996659,0,58,0,0,144,1,0,1200.0,
2025-03-04,0,49130.58722065823,0.174992200001725,0,38,0,0,144,1,0,1200.0,
2025-03-04,6,11662.506049890575,0.43459570000413805,0,51,0,0,144,1,0,1200.0,
2025-03-04,12,17673.266519598506,0.15928920000442304,0,41,0,0,144,1,0,1200.0,
2025-03-04,18,32506.08454767424,0.26139810000313446,0,52,0,0,144,1,0,1200.0,
2025-03-05,0,51199.856713141126,0.20454000000609085,0,33,0,0,144,1,0,1200.0,
2025-03-05,6,9277.732179162449,0.4076693999959389,0,32,0,0,144,1,0,1200.0,
2025-03-05,12,19051.008920304623,0.22899249999318272,0,46,0,0,144,1,0,1200.0,
2025-03-05,18,30299.089596579735,0.2553439999901457,0,56,0,0,144,1,0,1200.0,
2025-03-06,0,47574.6560121911,0.8410041000024648,0,36,0,0,144,1,0,1200.0,
2025-03-06,6,8219.747275617825,0.0933041999960551,0,37,0,0,144,1,0,1200.0,
2025-03-06,12,10419.294981254623,0.16813929998897947,0,43,0,0,144,1,0,1200.0,
2025-03-06,18,11334.404107793227,0.6495936999999685,0,35,0,0,144,1,0,1200.0,
2025-03-07,0,25505.441750415288,0.33367269999871496,0,30,0,0,144,1,0,1200.0,
2025-03-07,6,6655.878773851192,0.4432323000073666,0,20,0,0,144,1,0,1200.0,
2025-03-07,12,10669.337109483115,0.6752612999989651,0,33,0,0,144,1,0,1200.0,
2025-03-07,18,9652.470947378964,0.7502784000098472,0,30,0,0,144,1,0,1200.0,
2025-03-08,0,19994.168639527426,0.17955149999761488,0,6,0,0,144,1,0,1200.0,
2025-03-08,6,10138.573393689761,0.3278898999997182,0,25,0,0,144,1,0,1200.0,
2025-03-08,12,19291.478547436105,0.6853390999895055,0,49,0,0,144,1,0,1200.0,
2025-03-08,18,23301.40747997525,0.2729720999923302,0,63,0,0,144,1,0,1200.0,
2025-03-09,0,45884.11321458093,0.170967500002007,0,29,0,0,144,1,0,1200.0,
2025-03-09,6,8169.098528958288,0.22700189999886788,0,25,0,0,144,1,0,1200.0,
2025-03-09,12,23496.199785938,0.2007731000048807,0,54,0,0,144,1,0,1200.0,
2025-03-09,18,43839.55234424461,0.24626649999117944,0,54,0,0,144,1,0,1200.0,
2025-03-10,0,46723.32974194005,0.27346660000330303,0,33,0,0,144,1,0,1200.0,
2025-03-10,6,10320.018109664568,0.76814299999387,0,32,0,0,144,1,0,1200.0,
2025-03-10,12,16648.551770871458,0.40732470000511967,0,53,0,0,144,1,0,1200.0,
2025-03-10,18,36536.86009256927,0.551608199995826,0,53,0,0,144,1,0,1200.0,
2025-03-11,0,42267.17113327712,0.1121290000010049,0,38,0,0,144,1,0,1200.0,
2025-03-11,6,15923.64032256433,0.6989755999966292,0,68,0,0,144,1,0,1200.0,
2025-03-11,12,14115.945239066094,0.6292867000011029,0,44,0,0,144,1,0,1200.0,
2025-03-11,18,24676.88297396735,0.4803663000056986,0,63,0,0,144,1,0,1200.0,
2025-03-12,0,49570.77326608272,0.3370973999990383,0,30,0,0,144,1,0,1200.0,
2025-03-12,6,6683.273351641773,0.7129653999872971,0,27,0,0,144,1,0,1200.0,
2025-03-12,12,16676.767959682376,0.34923960000742227,0,41,0,0,144,1,0,1200.0,
2025-03-12,18,34147.81158637023,0.2000469000049634,0,49,0,0,144,1,0,1200.0,
2025-03-13,0,49081.82405692178,1.1565217000024859,0,37,0,0,144,1,0,1200.0,
2025-03-13,6,8488.99934913085,0.8858665000007022,0,37,0,0,144,1,0,1200.0,
2025-03-13,12,11187.343655771065,0.49399100001028273,0,44,0,0,144,1,0,1200.0,
2025-03-13,18,9995.301631867442,0.5724093000026187,0,33,0,0,144,1,0,1200.0,
2025-03-14,0,20904.939463204002,0.21362170000793412,0,8,0,0,144,1,0,1200.0,
2025-03-14,6,8952.896274385344,0.42277789999207016,0,22,0,0,144,1,0,1200.0,
2025-03-14,12,9975.105458498372,0.25882310001179576,0,31,0,0,144,1,0,1200.0,
2025-03-14,18,10141.593509125187,0.6429816000018036,0,33,0,0,144,1,0,1200.0,
2025-03-15,0,19695.183580868594,0.9401082999975188,0,23,0,0,144,1,0,1200.0,
2025-03-15,6,14259.8033194055,0.23339609999675304,0,80,0,0,144,1,0,1200.0,
2025-03-15,12,16343.132510645182,1.0280512000026647,0,45,0,0,144,1,0,1200.0,
2025-03-15,18,25652.382817588226,0.5285677000065334,0,59,0,0,144,1,0,1200.0,
2025-03-16,0,43557.96558376555,0.7585126000049058,0,39,0,0,144,1,0,1200.0,
2025-03-16,6,14176.696066473785,0.5263672000000952,0,77,0,0,144,1,0,1200.0,
2025-03-16,12,16134.787873254758,0.1661655000061728,0,47,0,0,144,1,0,1200.0,
