date,policy,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s
2025-02-01,H24,34390.397543426356,0.0,27.073288311471234,34417.470831737824,13.40925622163013,1,8663.266629629632,0.3790089000012813
2025-02-02,H24,63428.65177077696,0.0,2891.0522036647226,66319.70397444168,593.3375475888173,29,8954.73633899965,0.18298259999937727
2025-02-03,H24,68596.27270049031,0.0,1366.7648940477388,69963.03759453805,289.1729685066043,14,9375.05260550912,0.9489706999993359
2025-02-04,H24,71095.54796783623,0.0,355.24314254544817,71450.79111038167,61.31365958250031,7,9828.217214873453,0.3005345999990823
2025-02-05,H24,78060.64151498098,0.0,0.0,78060.64151498098,0.0,0,10800.0,0.2140183999999863
2025-02-06,H24,67355.82697189049,0.0,2889.608407891921,70245.43537978242,682.5294048337712,31,10800.0,0.23963149999872257
2025-02-07,H24,30083.80010376491,0.0,0.0,30083.80010376491,0.0,0,10800.0,3.896026200000051
2025-02-08,H24,24563.80723433839,0.0,0.0,24563.80723433839,0.0,0,10800.0,0.19620479999866802
2025-02-09,H24,59084.87490181854,0.0,14776.787388680572,73861.66229049911,3005.833200971078,72,10800.0,0.25860370000009425
2025-02-10,H24,58968.382527768306,0.0,2124.133313921742,61092.515841690045,500.1816388543307,28,10800.0,0.25557929999922635
2025-02-11,H24,65340.006837043664,0.0,1678.8929676917699,67018.89980473544,338.6952817802986,18,10800.0,0.3600354000009247
2025-02-12,H24,69604.03367496181,0.0,27.22695989512051,69631.26063485694,10.770158186360959,1,10800.0,0.26165360000049986
2025-02-13,H24,60941.4346414894,0.0,337.00450597485775,61278.43914746426,74.66568696877238,5,10800.0,0.2213950000004843
2025-02-14,H24,23153.346653677647,0.0,0.0,23153.346653677647,0.0,0,10800.0,0.3562560999998823
2025-02-15,H24,21613.001983839116,0.0,67.06617346903252,21680.06815730815,29.64644619486421,3,10800.0,0.32068660000004456
2025-02-16,H24,63072.87887918716,0.0,1070.5256959186715,64143.40457510584,286.07890793718354,19,10800.0,0.3765260000000126
2025-02-17,H24,59328.78386231794,0.0,2519.715587605974,61848.49944992392,543.3597067843064,27,10800.0,0.19581490000018675
2025-02-18,H24,47779.281737386766,0.0,21137.62436192776,68916.90609931452,4348.467960376145,81,10800.0,0.31870940000044357
2025-02-19,H24,58678.599774704715,0.0,799.1788801279595,59477.77865483268,239.94947105075664,10,10800.0,1.0081074000008812
2025-02-20,H24,51936.14756194968,0.0,7309.531412142756,59245.678974092436,1500.600391490836,46,10800.0,0.39461149999988265
2025-02-21,H24,25445.935350822758,0.0,0.0,25445.935350822758,0.0,0,10800.0,4.445609099999274
2025-02-22,H24,23683.98078313673,0.0,30.144130431135466,23714.124913567863,16.72034260282652,2,10800.0,0.2287001999993663
2025-02-23,H24,50529.06522920797,0.0,11652.512041710814,62181.57727091878,2487.90072527148,67,10800.0,0.2928252000001521
2025-02-24,H24,52872.427655378735,0.0,2156.4629376773987,55028.89059305613,425.88236657338734,22,10800.0,0.5005063999997219
2025-02-25,H24,53892.56303797719,0.0,3123.357141026476,57015.92017900367,697.0306323899274,33,10800.0,0.3614975000000413
2025-02-26,H24,52530.419004359675,0.0,4487.521164383975,57017.94016874365,997.1907967090287,28,10800.0,0.2875494999989314
2025-02-27,H24,48376.70952517176,0.0,5051.449692156697,53428.15921732846,1047.10742913788,33,10800.0,0.31244750000041677
2025-02-28,H24,21417.726473594485,0.0,0.0,21417.726473594485,0.0,0,10800.0,0.26324749999912456
2025-03-01,H24,21485.716756781294,0.0,52.32487567379543,21538.04163245509,19.570434769679594,2,10800.0,0.38503529999979946
2025-03-02,H24,56548.94504837742,0.0,3405.13267086482,59954.07771924224,635.943042133361,24,10800.0,0.2988543000010395
2025-03-03,H24,57395.94422618054,0.0,5666.708637917227,63062.65286409776,1178.3363575630588,29,10800.0,0.2715267000003223
2025-03-04,H24,52152.02852920031,0.0,3842.1245313594404,55994.15306055975,862.9812225981449,21,10800.0,0.2457195999995747
2025-03-05,H24,53071.773522528674,0.0,1901.2941216530692,54973.06764418174,359.8724265467142,14,10800.0,0.21247820000098727
2025-03-06,H24,50103.8796107725,0.0,2676.218483835494,52780.098094607994,555.8600211486597,19,10800.0,0.17912409999917145
2025-03-07,H24,24952.6618916876,0.0,0.0,24952.6618916876,0.0,0,10800.0,0.25552889999926265
2025-03-08,H24,19038.466291351207,0.0,7.911130627949622,19046.377421979156,4.742884069514162,1,10800.0,0.2083483000005799
2025-03-09,H24,44008.53930880115,0.0,11148.327741614465,55156.86705041561,2398.803097615445,67,10800.0,0.19422060000033525
2025-03-10,H24,49311.52847183963,0.0,4399.91664601357,53711.445117853196,974.0824786303688,36,10800.0,0.20725839999977325
2025-03-11,H24,43303.60465666824,0.0,10261.22700812192,53564.83166479016,1820.2599430571345,37,10798.588797441746,0.23096050000094692
2025-03-12,H24,46118.1819461664,0.0,2915.196213666021,49033.37815983242,740.039336876189,33,10800.0,0.22113100000024133
2025-03-13,H24,51655.13647128943,0.0,2157.1364904241627,53812.27296171359,466.8093352365105,28,10800.0,0.2685149000008096
2025-03-14,H24,17115.11830855928,0.0,28.693587719610584,17143.81189627889,15.078713350349915,3,10800.0,0.22099040000102832
2025-03-15,H24,19623.331496507573,0.0,163.9255774316272,19787.2570739392,61.65425282670006,3,10800.0,0.2881778999999369
2025-03-16,H24,46563.03775720419,0.0,4111.882074966941,50674.91983217113,950.0407222617373,43,10800.0,0.29800840000098106
2025-03-17,H24,45865.41213875194,0.0,2198.890385978934,48064.302524730876,490.8049351965094,21,10800.0,0.19955359999948996
2025-03-18,H24,48567.12650734726,0.0,1900.6490772536988,50467.77558460096,424.3854231273232,24,10800.0,0.8275286000007327
2025-03-19,H24,40490.51046019499,0.0,5555.310979790212,46045.82143998521,1304.9701318798277,35,10800.0,0.2497213999995438
2025-03-20,H24,48013.883592266,0.0,2153.092855015084,50166.976447281086,523.8735460931684,25,10800.0,0.2644767000001593
2025-03-21,H24,17062.313528142797,0.0,0.0,17062.313528142797,0.0,0,10800.0,0.19301090000044496
2025-03-22,H24,15932.721646501679,0.0,33.07160815778627,15965.793254659466,16.93654584198032,3,10800.0,0.2033833000004961
2025-03-23,H24,42423.87152633382,0.0,4878.380508822058,47302.25203515588,1113.1621472321926,38,10800.0,0.1639727000001585
2025-03-24,H24,42997.03445526144,0.0,3169.374769381138,46166.40922464258,737.5837349762543,34,10800.0,0.1859151999997266
2025-03-25,H24,47233.9988994687,0.0,3482.211442416061,50716.21034188476,836.0750558115689,37,10800.0,0.1720203999993828
2025-03-26,H24,42545.16146833173,0.0,1445.214725084429,43990.37619341616,354.0042408237879,16,10800.0,0.26671320000059495
2025-03-27,H24,44195.73938016848,0.0,3101.4750726540597,47297.21445282254,784.23928364191,31,10800.0,0.4909271999986231
2025-03-28,H24,17185.994453223466,0.0,0.0,17185.994453223466,0.0,0,10800.0,2.4431717000006756
