policy,days,total_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,mean_end_storage_kwh,min_end_storage_kwh,solver_time_s
H24,334,16548003.626531966,15066465.384383176,0.0,1481538.24214879,311791.1153821372,7963,10742.314665789352,8663.266629629632,111.45102529998985
H48,334,16338121.679188075,14851331.004049344,0.0,1486790.6751387303,315920.38944639213,8136,5407.911522046229,1200.0,735.9981951000082
