date,t,price,load_kw,pv_kw,g0,g_final,up,down,c_plan,d_plan,c_exec,d_exec,h_real,w_real,soc_start,soc_end
2025-02-06,19,0.4371,3694.4181,0.0,648.1104526149812,648.1104526149812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.37410261498121,8889.052800087511,8889.052800087511
2025-02-06,20,0.4356,3860.63,0.0,691.2563758151646,691.2563758151646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.818042481831185,8889.052800087511,8889.052800087511
2025-02-06,21,0.4353,3909.0565,0.0,658.6543998377286,658.6543998377286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.144983171061995,8889.052800087511,8889.052800087511
2025-02-06,22,0.436,4036.1819,0.0,669.2579110821871,669.2579110821871,0.0,0.0,0.0,0.0,0.0,0.0,3.4390722511462855,0.0,8889.052800087511,8889.052800087511
2025-02-06,23,0.4378,4167.96,0.0,709.2508829329448,709.2508829329448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.59088293294485,8889.052800087511,8889.052800087511
2025-02-06,24,0.4401,3967.0475,0.0,699.9018935089549,699.9018935089549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7273101756216,8889.052800087511,8889.052800087511
2025-02-06,25,0.4389,3731.5802,0.0,688.6525072181931,688.6525072181931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.72247388485982,8889.052800087511,8889.052800087511
2025-02-06,26,0.4364,3751.5,0.0,1172.8556788610022,1172.8556788610022,0.0,0.0,456.6079999029089,0.0,456.6079999029089,0.0,0.0,90.99767895809327,8889.052800087511,9300.00000000013
2025-02-06,27,0.4393,4016.3868,0.0,712.3737715948578,712.3737715948578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9759715948577,9300.00000000013,9300.00000000013
2025-02-06,28,0.4422,4030.6615,0.0,682.943439189416,682.943439189416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.166522522749347,9300.00000000013,9300.00000000013
2025-02-06,29,0.4395,3848.11,0.0,665.8716069954625,665.8716069954625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.51994032879577,9300.00000000013,9300.00000000013
2025-02-06,30,0.4333,3981.9707,0.0,664.4098429711928,664.4098429711928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7480596378594555,9300.00000000013,9300.00000000013
2025-02-06,31,0.4439,4119.6281,0.0,716.4719479046909,716.4719479046909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.86726457135751,9300.00000000013,9300.00000000013
2025-02-06,32,0.4301,3994.17,0.0,1545.7704372243663,1545.7704372243663,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,46.742103891033025,9300.00000000013,10050.00000000013
2025-02-06,33,0.3713,3775.815,0.0138,1519.4107138057632,1519.4107138057632,0.0,0.0,833.3333333333334,0.0,833.3333333331898,0.0,0.0,56.77718047257349,10050.00000000013,10800.0
2025-02-06,34,0.5708,4288.2664,0.0,787.0610603911264,787.0610603911264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.34999372445964,10800.0,10800.0
2025-02-06,35,0.9099,5219.6,0.0,916.4161365040187,916.4161365040187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.482803170685315,10800.0,10800.0
2025-02-06,36,0.9368,5384.5687,0.1918,238.64084731194032,148.79448517882463,0.0,89.84636213311569,0.0,768.2608429255816,0.0,748.6016648211753,0.0,0.0,10800.0,9968.220372420916
2025-02-06,37,0.8758,5265.3908,0.0,907.2513374047777,907.2513374047777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.68620407144431,9968.220372420916,9968.220372420916
2025-02-06,38,0.8759,5233.23,0.0,908.5509120019227,908.5509120019227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.345912001922784,9968.220372420916,9968.220372420916
2025-02-06,39,0.8601,5165.0204,26.0384,900.2420749677839,900.2420749677839,0.0,0.0,0.0,0.7990013888886551,0.0,0.0,0.0,43.74507496778381,9968.220372420916,9968.220372420916
2025-02-06,40,0.8442,5125.311,172.6182,860.4261199353291,860.4261199353291,0.0,0.0,0.0,1.027287499999943,0.0,0.0,0.0,34.977319935329206,9968.220372420916,9968.220372420916
2025-02-06,41,0.8334,5137.64,426.7125,815.5586421529189,812.4741657640299,0.0,3.0844763888890157,0.0,0.0,0.0,0.0,0.0,27.319582430696414,9968.220372420916,9968.220372420916
2025-02-06,42,0.8092,5156.1992,677.2558,795.4476121846616,791.3957635735507,0.0,4.051848611110927,0.0,0.0,0.0,0.0,0.0,44.90519690688393,9968.220372420916,9968.220372420916
2025-02-06,43,0.7972,5221.8023,923.6022,779.6972695755495,768.6788192201421,0.0,11.018450355407367,0.0,0.0,0.0,0.0,0.0,52.312135886808846,9968.220372420916,9968.220372420916
2025-02-06,44,0.7644,5136.75,1195.6125,691.5062369929869,679.4860303705306,0.0,12.020206622456385,0.0,0.0,0.0,0.0,0.0,22.62978037053051,9968.220372420916,9968.220372420916
2025-02-06,45,0.6899,4828.4213,1501.3435,1523.9328592309173,1514.4388915648688,0.0,9.493967666048547,833.3333333333334,0.0,833.3333333333333,0.0,0.0,126.59259156486871,9968.220372420916,10718.220372420916
2025-02-06,46,0.86,5671.6114,1760.4169,747.8064527852536,727.1919944519203,0.0,20.614458333333232,0.0,0.0,0.0,0.0,0.0,75.32624445192027,10718.220372420916,10718.220372420916
2025-02-06,47,1.1617,7183.26,1980.975,93.03479407875875,57.085667689869865,0.0,35.949126388888885,0.0,833.3333333333334,0.0,809.9618323101304,0.0,2.2737367544323206e-13,10718.220372420916,9818.262780965215
2025-02-06,48,1.1683,7370.8801,2244.5629,57.00502867812429,26.2109640595354,0.0,30.79406461858889,0.0,833.3333333333334,0.0,828.1752359404645,0.0,0.0,9818.262780965215,8898.068074364699
2025-02-06,49,1.0956,7059.1318,2489.9575,0.0,0.0,0.0,0.0,0.0,763.7837683141994,0.0,761.5290500000001,0.0,0.0,8898.068074364699,8051.92468547581
2025-02-06,50,1.0849,6994.56,2760.225,0.0,0.0,0.0,0.0,0.0,720.33868461578,0.0,705.7225000000001,0.0,0.0,8051.92468547581,7267.788574364699
2025-02-06,51,1.061,7074.7624,3174.0332,0.0,0.0,0.0,0.0,0.0,681.8993296909644,0.0,650.1215333333333,0.0,0.0,7267.788574364699,6545.43131510544
2025-02-06,52,1.043,7041.4353,3594.8527,0.0,0.0,0.0,0.0,0.0,610.8538011001051,0.0,574.4304333333334,0.0,0.0,6545.43131510544,5907.175278068403
2025-02-06,53,1.036,6892.45,3984.3375,0.0,0.0,0.0,0.0,0.0,558.2007763579134,0.0,484.6854166666666,0.0,0.0,5907.175278068403,5368.6359262165515
2025-02-06,54,1.0147,6834.3263,4392.8833,0.0,0.0,0.0,0.0,0.0,529.6427570126497,0.0,406.9071666666666,0.0,0.0,5368.6359262165515,4916.516852142478
2025-02-06,55,0.9922,6774.059,4588.1351,0.0,0.0,0.0,0.0,0.0,497.48522671091087,0.0,364.3206499999999,0.0,0.0,4916.516852142478,4511.716129920255
2025-02-06,56,0.97,6791.21,4638.7125,0.0,0.0,0.0,0.0,0.0,406.55015552244294,0.0,358.74958333333336,0.0,0.0,4511.716129920255,4113.105481772107
2025-02-06,57,0.9422,7042.6097,4877.6597,231.60058709123564,0.0,0.0,231.60058709123564,0.0,401.2949149405031,0.0,360.82499999999993,0.0,0.0,4113.105481772107,3712.1888151054404
2025-02-06,58,0.9569,7024.1427,5204.2186,0.0,0.0,0.0,0.0,0.0,362.068012063095,0.0,303.32068333333336,0.0,0.0,3712.1888151054404,3375.165833623959
2025-02-06,59,0.9977,6799.84,5458.3125,0.0,0.0,0.0,0.0,0.0,310.83239889869554,0.0,223.58791666666662,0.0,0.0,3375.165833623959,3126.7348151054402
2025-02-06,60,0.9919,6918.149,5556.3661,0.0,0.0,0.0,0.0,0.0,262.33102526465365,0.0,226.96381666666673,0.0,0.0,3126.7348151054402,2874.5527965869214
2025-02-06,61,0.9588,6945.9367,5516.1528,0.0,0.0,0.0,0.0,0.0,247.4224172996886,0.0,238.2973166666668,0.0,0.0,2874.5527965869214,2609.778000290625
2025-02-06,62,0.9549,6772.21,5568.7125,3.7470027081099023e-13,0.0,0.0,3.7470027081099023e-13,0.0,245.57912449587184,0.0,200.58291666666662,0.0,0.0,2609.778000290625,2386.9080928832177
2025-02-06,63,0.9839,6754.8012,5966.6607,0.0,0.0,0.0,0.0,0.0,273.11547403163223,0.0,131.3567499999998,0.0,0.0,2386.9080928832177,2240.9561484387737
2025-02-06,64,0.799,6829.7963,6308.8724,175.16255067848533,175.16255067848533,0.0,0.0,0.0,6.848335199759731,0.0,0.0,0.0,88.34190067848544,2240.9561484387737,2240.9561484387737
2025-02-06,65,0.5025,6945.51,6347.55,1081.6000150601167,143.807650655889,0.0,937.7923644042277,0.0,0.0,0.0,0.0,0.0,44.14765065588881,2240.9561484387737,2240.9561484387737
2025-02-06,66,0.4662,7088.9525,6192.9187,1141.4576680761238,1081.7375166872348,0.0,59.72015138888901,833.3333333333334,0.0,833.3333333333333,0.0,0.0,99.06521668723508,2240.9561484387737,2990.9561484387737
2025-02-06,67,0.5007,6932.1934,6102.7674,1174.9335310353508,179.41861730646463,0.0,995.5149137288862,0.0,0.0,0.0,0.0,0.0,41.18095063979786,2990.9561484387737,2990.9561484387737
2025-02-06,68,0.4827,6664.16,6159.225,1120.973163162558,210.57681244475089,0.0,910.3963507178071,0.0,0.0,0.0,0.0,0.0,126.42097911141764,2990.9561484387737,2990.9561484387737
2025-02-06,69,0.4785,6774.8271,6236.914,1172.5038375758306,838.2886651236435,0.0,334.2151724521872,600.4364206033682,0.0,600.4364206033682,0.0,0.0,148.20006118694175,2990.9561484387737,3531.348926981805
2025-02-06,70,0.4662,6614.9184,6224.422,1157.4724733864941,1042.288177553161,0.0,115.18429583333318,833.3333333333334,0.0,833.3333333333333,0.0,0.0,143.87211088649428,3531.348926981805,4281.348926981806
2025-02-06,71,0.4432,6253.43,6193.6875,1127.4807518563712,972.8306188779752,0.0,154.65013297839596,833.3333333333334,0.0,833.3333333333333,0.0,0.0,129.5402022113085,4281.348926981806,5031.348926981806
2025-02-06,72,0.4411,6430.7434,6291.1896,1168.972902839913,884.4551684520708,0.0,284.5177343878423,833.3333333333334,0.0,833.3333333333333,0.0,0.0,27.86286845207087,5031.348926981806,5781.348926981806
2025-02-06,73,0.4551,6562.3879,6267.1513,1183.4429088234033,919.8741546567368,0.0,263.5687541666665,833.3333333333334,0.0,833.3333333333333,0.0,0.0,37.334721323403755,5781.348926981806,6531.348926981806
2025-02-06,74,0.4463,6362.83,6130.95,1167.1327110639554,896.4836207861775,0.0,270.6490902777779,833.3333333333334,0.0,833.3333333333333,0.0,0.0,24.503620786177635,6531.348926981806,7281.348926981806
2025-02-06,75,0.4113,6187.2486,6174.696,1118.847288762954,861.6947056797773,0.0,257.15258308317664,833.3333333333334,0.0,833.3333333333333,0.0,0.0,26.269272346443813,7281.348926981806,8031.348926981806
2025-02-06,76,0.5682,6365.7413,6374.1462,1164.0453531505827,888.0168665665161,0.0,276.0284865840666,833.3333333333334,0.0,833.3333333333333,0.0,0.0,56.084349899849485,8031.348926981806,8781.348926981806
2025-02-06,77,0.8279,6692.99,6471.7125,309.37744820449234,48.05521677245514,0.0,261.3222314320372,0.0,0.0,0.0,0.0,0.0,11.175633439121839,8781.348926981806,8781.348926981806
2025-02-06,78,0.8636,6651.762,6238.4936,352.7438133764569,95.4567467049319,0.0,257.287066671525,0.0,0.0,0.0,0.0,0.0,26.578680038265247,8781.348926981806,8781.348926981806
2025-02-06,79,0.8416,6552.0172,6132.572,365.14980030155357,96.70923932191425,0.0,268.4405609796393,0.0,0.0,0.0,0.0,0.0,26.801705988580807,8781.348926981806,8781.348926981806
2025-02-06,80,0.8618,6608.06,6126.6375,387.2604433193522,136.75884647433472,0.0,250.50159684501747,0.0,0.0,0.0,0.0,0.0,56.5217631410012,8781.348926981806,8781.348926981806
2025-02-06,81,0.8623,6684.1086,5756.2187,419.9358947396997,155.5214596915933,0.0,264.4144350481064,0.0,0.0,0.0,0.0,0.0,0.873143024926776,8781.348926981806,8781.348926981806
2025-02-06,82,0.9026,6499.5032,5420.9953,478.0221248146481,155.2870475110135,0.0,322.7350773036346,0.0,0.0,0.0,0.0,24.464269155653255,0.0,8781.348926981806,8781.348926981806
2025-02-06,83,0.9754,6257.32,5235.1125,0.0,0.0,0.0,0.0,0.0,229.08037485645127,0.0,170.36791666666647,0.0,0.0,8781.348926981806,8592.05124179662
2025-02-06,84,1.0002,6400.755,4924.6795,0.0,0.0,0.0,0.0,0.0,260.6772309858317,0.0,246.01258333333328,0.0,0.0,8592.05124179662,8318.703926981805
2025-02-06,85,0.9978,6307.1531,4686.0166,0.0,0.0,0.0,0.0,0.0,296.9133264833769,0.0,270.1894166666667,0.0,0.0,8318.703926981805,8018.493464018842
2025-02-06,86,1.0271,5990.44,4545.3,0.0,0.0,0.0,0.0,0.0,361.99379014127686,0.0,240.85666666666657,0.0,0.0,8018.493464018842,7750.8749455003235
2025-02-06,87,1.0906,6113.5462,4298.8762,0.0,0.0,0.0,0.0,0.0,411.85910763870316,0.0,302.44500000000005,0.0,0.0,7750.8749455003235,7414.824945500323
2025-02-06,88,0.9376,6317.6375,3994.5908,646.2309661086409,396.7715626172499,0.0,249.45940349139101,0.0,0.0,0.0,0.0,0.0,9.597112617249877,7414.824945500323,7414.824945500323
2025-02-06,89,0.6694,6367.36,3693.3,1593.3906848892111,1301.9672862781,0.0,291.4233986111112,833.3333333333334,0.0,833.3333333333333,0.0,0.0,22.957286278100128,7414.824945500323,8164.824945500323
2025-02-06,90,0.66,6369.0472,3421.8913,1577.7896120984658,1333.2102334022497,0.0,244.57937869621605,833.3333333333334,0.0,833.3333333333333,0.0,0.0,8.684250068916526,8164.824945500323,8914.824945500324
2025-02-06,91,0.7217,6248.8631,3274.3927,1593.5712563907775,1366.9716111179869,0.0,226.59964527279067,833.3333333333334,0.0,833.3333333333333,0.0,0.0,37.89321111798699,8914.824945500324,9664.824945500324
2025-02-06,92,0.7308,6081.83,3149.8125,1627.4343787613386,1396.6353595321593,0.0,230.7990192291793,833.3333333333334,0.0,833.3333333333333,0.0,0.0,74.63244286549275,9664.824945500324,10414.824945500324
2025-02-06,93,0.7534,6072.5868,2839.1895,1678.965732599554,1444.1124021963478,0.0,234.8533304032062,833.3333333333334,0.0,427.9722827774175,0.0,0.0,477.24056941893025,10414.824945500324,10800.0
2025-02-06,94,0.7823,6153.6375,2539.608,853.1684029446682,658.2657495145504,0.0,194.90265343011777,2.8515997802646273,0.0,0.0,0.0,0.0,55.92749951455039,10800.0,10800.0
2025-02-06,95,0.8055,6234.95,2287.4625,869.778207353132,682.0549769313783,0.0,187.72323042175367,0.0,0.0,0.0,0.0,0.0,24.140393598044966,10800.0,10800.0
2025-02-06,96,0.8271,6274.8648,1926.0909,921.9206308327844,738.8417291311804,0.0,183.07890170160397,0.0,0.0,0.0,0.0,0.0,14.046079131180477,10800.0,10800.0
2025-02-06,97,0.8519,6237.8934,1578.2,918.6197763593999,792.4163758036226,0.0,126.2034005557773,0.0,0.0,0.0,0.0,0.0,15.800809136956104,10800.0,10800.0
2025-02-06,98,0.8791,6166.52,1290.3375,916.943874866769,826.937862366769,0.0,90.0060125,0.0,0.0,0.0,0.0,0.0,14.240779033435729,10800.0,10800.0
2025-02-06,99,0.9024,6149.214,988.9297,936.2099890643776,872.0919909907861,0.0,64.11799807359148,0.0,0.0,0.0,0.0,0.0,12.044607657452843,10800.0,10800.0
2025-02-06,100,0.9163,6152.7943,712.3699,971.6632058633172,924.2053433633173,0.0,47.45786249999992,0.0,0.0,0.0,0.0,0.0,17.467943363317318,10800.0,10800.0
2025-02-06,101,0.9264,6163.46,456.2625,1009.7793228053223,972.1134047497666,0.0,37.66591805555572,0.0,0.0,0.0,0.0,0.0,20.913821416433166,10800.0,10800.0
2025-02-06,102,0.9462,6194.6798,185.6699,1024.1915968825308,1007.9931891829655,0.0,16.198407699565337,0.0,0.0,0.0,0.0,0.0,6.491539182965653,10800.0,10800.0
2025-02-06,103,0.9742,6174.664,26.7105,1045.372354668821,1045.372354668821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.713438002154135,10800.0,10800.0
2025-02-06,104,0.9862,6196.74,0.0,1043.6027793998257,1043.5245308640997,0.0,0.07824853572606116,0.0,0.0,0.0,0.0,0.0,10.734530864099725,10800.0,10800.0
2025-02-06,105,0.976,6287.1803,0.0,1070.698648449494,1066.7534510391033,0.0,3.9451974103906196,0.0,0.0,0.0,0.0,0.0,18.89006770576998,10800.0,10800.0
2025-02-06,106,1.0742,5525.683,0.1372,944.2516932399285,938.6957182399286,0.0,5.555974999999876,0.0,0.0,0.0,0.0,0.0,17.771418239928607,10800.0,10800.0
2025-02-06,107,1.2313,4336.56,0.0,739.5089996339912,738.8872998652541,0.0,0.6216997687370167,0.0,0.0,0.0,0.0,0.0,16.12729986525403,10800.0,10800.0
2025-02-06,108,1.2561,4179.4467,0.0,716.1904577880165,716.1904577880165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.616007788016418,10800.0,10800.0
2025-02-06,109,1.2447,4352.2859,0.0098,758.9711248968609,758.9711248968609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5917748968609,10800.0,10800.0
