date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,status,terminal_soc
2025-02-01,0,43307.8950905017,0.020689600001787767,0,30,0,30,0,0,0,1200.0
2025-02-01,6,14546.417248677968,0.01591329999791924,0,37,0,28,0,0,0,1200.0
2025-02-01,12,35133.43499177826,0.015104799997061491,0,46,0,34,0,0,0,1200.0
2025-02-01,18,43645.11686667268,0.015773799997987226,0,54,0,41,0,0,0,1200.0
