date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,status,terminal_soc
2025-02-01,0,43757.21873730563,0.3320575999969151,0,30,0,0,144,1,0,1200.0
2025-02-01,6,13857.61770336733,0.24773889999778476,0,34,0,0,144,1,0,1200.0
2025-02-01,12,35851.94496189846,0.2574849000084214,0,48,0,0,144,1,0,1200.0
2025-02-01,18,43907.74860165602,0.30350860000180546,0,54,0,0,144,1,0,1200.0
2025-02-02,0,71951.91163828182,0.3470030000025872,0,28,0,0,144,1,0,1200.0
2025-02-02,6,14767.04774195143,0.3649314999929629,0,39,0,0,144,1,0,1200.0
2025-02-02,12,33790.99839891997,0.2985488999984227,0,44,0,0,144,1,0,1200.0
2025-02-02,18,46584.51022325769,0.8441309000045294,0,55,0,0,144,1,0,1200.0
2025-02-03,0,62098.6689890343,0.4114234000007855,0,32,0,0,144,1,0,1200.0
2025-02-03,6,9593.998273787292,0.3008999000012409,0,32,0,0,144,1,0,1200.0
2025-02-03,12,27307.061189643595,0.4444671999954153,0,55,0,0,144,1,0,1200.0
2025-02-03,18,43864.87708269215,0.46538939999300055,0,55,0,0,144,1,0,1200.0
2025-02-04,0,64328.21214400951,0.5151456000021426,0,31,0,0,144,1,0,1200.0
2025-02-04,6,9925.181328652725,1.025303200003691,0,35,0,0,144,1,0,1200.0
2025-02-04,12,23508.838375244984,0.08731410000473261,0,46,0,0,144,1,0,1200.0
2025-02-04,18,45462.41049148419,0.26721409999299794,0,55,0,0,144,1,0,1200.0
2025-02-05,0,59692.97728363153,0.5350650000036694,0,31,0,0,144,1,0,1200.0
2025-02-05,6,11362.529472110282,0.3621752000035485,0,51,0,0,144,1,0,1200.0
2025-02-05,12,28997.446726768147,0.22291270000278018,0,46,0,0,144,1,0,1200.0
2025-02-05,18,42735.57393273756,0.27198230000794865,0,54,0,0,144,1,0,1200.0
2025-02-06,0,64080.58206084479,0.6720906999980798,0,32,0,0,144,1,0,1200.0
2025-02-06,6,6890.446080508493,0.1144034000026295,0,30,0,0,144,1,0,1200.0
2025-02-06,12,18272.294242253585,0.2688766999926884,0,46,0,0,144,1,0,1200.0
2025-02-06,18,16721.28922019555,0.2830634999991162,0,57,0,0,144,1,0,1200.0
2025-02-07,0,32250.69584285706,0.6219867000036174,0,41,0,0,144,1,0,1200.0
2025-02-07,6,7278.166468640062,0.17256500000075903,0,27,0,0,144,1,0,1200.0
2025-02-07,12,11498.023712155336,1.0282107000093674,0,37,0,0,144,1,0,1200.0
2025-02-07,18,16819.120144168777,0.38598999999521766,0,59,0,0,144,1,0,1200.0
2025-02-08,0,37638.72833438005,0.4610493000072893,0,37,0,0,144,1,0,1200.0
2025-02-08,6,16559.205706796904,0.38281180000922177,0,52,0,0,144,1,0,1200.0
2025-02-08,12,31168.936348258976,0.28534420000505634,0,45,0,0,144,1,0,1200.0
2025-02-08,18,49969.51301790363,0.2234667000011541,0,54,0,0,144,1,0,1200.0
2025-02-09,0,71076.5251827314,0.2902200999960769,0,28,0,0,144,1,0,1200.0
2025-02-09,6,15767.503292951946,0.6436933000077261,0,42,0,0,144,1,0,1200.0
2025-02-09,12,30908.84196060117,0.37393539999902714,0,48,0,0,144,1,0,1200.0
2025-02-09,18,43854.01607277169,0.45877199999813456,0,54,0,0,144,1,0,1200.0
2025-02-10,0,55424.30045729818,0.668183300003875,0,30,0,0,144,1,0,1200.0
2025-02-10,6,7523.035367529323,0.3541964000032749,0,28,0,0,144,1,0,1200.0
2025-02-10,12,25042.42686366652,0.284104300008039,0,66,0,0,144,1,0,1200.0
2025-02-10,18,31668.989636311926,0.25225780000619125,0,53,0,0,144,1,0,1200.0
2025-02-11,0,55862.61625442592,0.19235070000286214,0,30,0,0,144,1,0,1200.0
2025-02-11,6,9501.253653420874,0.10230610000144225,0,28,0,0,144,1,0,1200.0
2025-02-11,12,18729.59314095127,0.2534925999934785,0,43,0,0,144,1,0,1200.0
2025-02-11,18,40128.55830013321,0.3216314000019338,0,52,0,0,144,1,0,1200.0
2025-02-12,0,55964.07598266843,0.4894901000079699,0,31,0,0,144,1,0,1200.0
2025-02-12,6,9247.919613212085,0.3321635000029346,0,31,0,0,144,1,0,1200.0
2025-02-12,12,20834.95144043443,0.27907270001014695,0,51,0,0,144,1,0,1200.0
2025-02-12,18,38649.427056479704,0.273697099997662,0,54,0,0,144,1,0,1200.0
2025-02-13,0,51153.703441239515,0.48539139999775216,0,28,0,0,144,1,0,1200.0
2025-02-13,6,8683.323500670738,0.18789560000004712,0,39,0,0,144,1,0,1200.0
2025-02-13,12,14758.650164737403,0.14374169999791775,0,43,0,0,144,1,0,1200.0
2025-02-13,18,15912.54526723203,0.11967289999302011,0,57,0,0,144,1,0,1200.0
2025-02-14,0,25225.323910226653,0.2062716999935219,0,36,0,0,144,1,0,1200.0
2025-02-14,6,9914.349477512525,0.1740051999950083,0,34,0,0,144,1,0,1200.0
2025-02-14,12,11224.42035617682,0.5416393999912543,0,40,0,0,144,1,0,1200.0
2025-02-14,18,11557.338447608434,0.16936189999978524,0,35,0,0,144,1,0,1200.0
2025-02-15,0,32986.8217818015,1.2786740999872563,0,43,0,0,144,1,0,1200.0
2025-02-15,6,10271.37667590595,0.15188320000015665,0,25,0,0,144,1,0,1200.0
2025-02-15,12,25342.207246495924,0.9601994999975432,0,44,0,0,144,1,0,1200.0
2025-02-15,18,34636.06418534301,0.3515476999891689,0,52,0,0,144,1,0,1200.0
2025-02-16,0,62688.24902486208,0.31861810000555124,0,28,0,0,144,1,0,1200.0
2025-02-16,6,9875.063314696778,0.23600279999664053,0,32,0,0,144,1,0,1200.0
2025-02-16,12,23335.334066145395,0.30033779999939725,0,45,0,0,144,1,0,1200.0
2025-02-16,18,32041.37972269878,0.5851123000029474,0,58,0,0,144,1,0,1200.0
2025-02-17,0,53765.29341423408,0.5259568000037689,0,27,0,0,144,1,0,1200.0
2025-02-17,6,9693.423422334135,0.918402099996456,0,38,0,0,144,1,0,1200.0
2025-02-17,12,18760.32041656918,0.1513221000059275,0,47,0,0,144,1,0,1200.0
2025-02-17,18,27726.81448833899,0.4686593999940669,0,60,0,0,144,1,0,1200.0
2025-02-18,0,48461.06867656302,0.24886520000291057,0,35,0,0,144,1,0,1200.0
2025-02-18,6,13773.130486378357,1.7836064000002807,0,96,0,0,144,1,0,1200.0
2025-02-18,12,25733.124885808378,0.8131735999922967,0,72,0,0,144,1,0,1200.0
2025-02-18,18,30580.91070863178,0.8159901999897556,0,57,0,0,144,1,0,1200.0
2025-02-19,0,49833.069298071765,0.1804785999993328,0,35,0,0,144,1,0,1200.0
2025-02-19,6,12003.585267613227,0.30649719999928493,0,58,0,0,144,1,0,1200.0
2025-02-19,12,21093.860529443522,0.8238697000051616,0,50,0,0,144,1,0,1200.0
2025-02-19,18,27974.74562654789,0.40641179999511223,0,59,0,0,144,1,0,1200.0
2025-02-20,0,51646.53633752281,0.3461712999996962,0,30,0,0,144,1,0,1200.0
