mode,days,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,E_start_kwh,E_end_kwh,E_min_kwh,E_max_kwh,mean_terminal_value,solver_time_s,max_residual_kwh,cost_delta_vs_fixed_v0_yuan,emergency_cost_delta_vs_fixed_v0_yuan
dynamic_v,14,521503.83590561117,450583.16397829726,70920.6719273139,16078.652825102232,156873.18071512194,230023.11466287833,189557.6682610673,7423.004868558481,3824.176663963111,1200.0,10800.0,0.4576411111111104,4.784760800132062,2.4016344468691386e-12,555.2379840649664,-1473.5163278435066
fixed_v_0,14,520948.5979215462,448554.4096663888,72394.18825515741,16799.408485908378,155541.93736798142,219957.14392817498,183416.92305010796,7423.004868558481,1587.8532371293236,1200.0,10800.0,0.0,6.276884200022323,2.1316282072803006e-12,0.0,0.0
fixed_v_0.3,14,520948.1994911474,448554.50927398854,72393.69021715884,16799.25968459423,155541.93736798147,219957.14392817498,183416.92305010796,7423.004868558481,1587.8532371293231,1200.0,10800.0,0.3,7.6805286000308115,4.94460028477306e-12,-0.3984303987817839,-0.49803799856454134
fixed_v_0.5,14,527195.892052569,459288.47329488577,67907.41875768318,14654.914616091097,165048.73668909018,255637.07000324441,204229.97208676385,7423.004868558481,10574.176663963113,1200.0,10800.0,0.5,4.467101000045659,3.637978807091713e-12,6247.294131022762,-4486.7694974742335
fixed_v_0.8,14,527806.7002691559,460012.08804781566,67794.61222134018,14603.263271611711,166477.83407325108,255887.98482106318,204229.97208676385,7423.004868558481,10800.0,1200.0,10800.0,0.8,5.079963599971961,3.637978807091713e-12,6858.102347609703,-4599.576033817226
fixed_v_1,14,527797.1210110759,460002.5087897357,67794.61222134018,14603.263271611711,166466.2523321315,255887.98482106318,204229.97208676385,7423.004868558481,10800.0,1200.0,10800.0,1.0,5.381181199976709,3.637978807091713e-12,6848.523089529714,-4599.576033817226
