date,E_start_kwh,E_end_kwh,plan_grid_kwh,plan_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,solver_objective_48h_yuan,solver_elapsed_s,solver_mip_gap,scenario_count_used,fallback,sampled_residual_days,sampled_residual_dates,training_cutoff
2025-02-01,6000.0,10207.635115496681,58799.90112519696,31142.37444088287,0.0,0.0,31142.37444088287,16628.80927639398,21084.443744855966,13291.52782938632,95845.1754767818,16.20848329999717,8.819309048674175e-07,30,main,"[19, 25, 29, 24, 29, 9, 25, 12, 12, 27, 28, 7, 7, 26, 24, 26, 24, 22, 10, 12, 17, 25, 12, 15, 12, 26, 5, 23, 28, 10]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30"", ""2025-01-25"", ""2025-01-30"", ""2025-01-10"", ""2025-01-26"", ""2025-01-13"", ""2025-01-13"", ""2025-01-28"", ""2025-01-29"", ""2025-01-08"", ""2025-01-08"", ""2025-01-27"", ""2025-01-25"", ""2025-01-27"", ""2025-01-25"", ""2025-01-23"", ""2025-01-11"", ""2025-01-13"", ""2025-01-18"", ""2025-01-26"", ""2025-01-13"", ""2025-01-16"", ""2025-01-13"", ""2025-01-27"", ""2025-01-06"", ""2025-01-24"", ""2025-01-29"", ""2025-01-11""]",2025-01-31
2025-02-02,10207.635115496681,10411.751127374195,101486.11149252369,65905.89469823518,32.2114270675919,70.17259386674894,65976.06729210193,19422.076058940405,18717.18157874271,14977.212668091834,143439.4735884417,16.546991700000945,0.0,30,main,"[11, 8, 4, 5, 22, 2, 12, 24, 25, 2, 9, 24, 30, 9, 19, 27, 18, 3, 22, 18, 25, 11, 3, 11, 18, 4, 14, 4, 15, 26]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05"", ""2025-01-06"", ""2025-01-23"", ""2025-01-03"", ""2025-01-13"", ""2025-01-25"", ""2025-01-26"", ""2025-01-03"", ""2025-01-10"", ""2025-01-25"", ""2025-01-31"", ""2025-01-10"", ""2025-01-20"", ""2025-01-28"", ""2025-01-19"", ""2025-01-04"", ""2025-01-23"", ""2025-01-19"", ""2025-01-26"", ""2025-01-12"", ""2025-01-04"", ""2025-01-12"", ""2025-01-19"", ""2025-01-05"", ""2025-01-15"", ""2025-01-05"", ""2025-01-16"", ""2025-01-27""]",2025-02-01
