date,max_real_balance_residual_kwh,max_real_state_residual_kwh,max_plan_state_residual_kwh,max_scenario_balance_residual_kwh,real_E_min_kwh,real_E_max_kwh,plan_E_min_kwh,plan_E_max_kwh,plan_terminal_gap_kwh,simultaneous_plan_periods,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-02-01,1.1368683772161603e-13,9.094947017729282e-13,8.526512829121202e-13,3.410605131648481e-13,2874.0533172054297,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,552.0416666666666
2025-02-02,0.0,9.094947017729282e-13,9.094947017729282e-13,3.410605131648481e-13,3179.331496674142,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,714.35385
