date,signal,mae_kw,rmse_kw,nmae,weights,training_cutoff
2025-02-01,load,338.65826392030766,369.0865314340567,0.106516956443412,"{""lag1"": 0.11013685502516629, ""mean7"": 0.08924918449407176, ""lag7"": 0.28332782206303964, ""gbdt"": 0.5172861384177223}",2025-01-31
2025-02-01,pv,74.43282442651213,130.16946588177532,0.0426070668808121,"{""lag1"": 0.26562114593825287, ""mean7"": 0.32690669688659785, ""lag7"": 0.2382829556382971, ""gbdt"": 0.16918920153685213}",2025-01-31
2025-02-02,load,183.2783528013412,223.12990319884605,0.0361418619929347,"{""lag1"": 0.10861133803491589, ""mean7"": 0.08730627010299657, ""lag7"": 0.33043202138626965, ""gbdt"": 0.47365037047581793}",2025-02-01
2025-02-02,pv,128.0740293655871,233.37978246061408,0.0709065363907647,"{""lag1"": 0.2621723223874098, ""mean7"": 0.3293381337097229, ""lag7"": 0.23759105550924975, ""gbdt"": 0.1708984883936176}",2025-02-01
2025-02-03,load,111.59005862629718,141.36074932721516,0.0218440381472378,"{""lag1"": 0.10332801741219284, ""mean7"": 0.08510013925148989, ""lag7"": 0.35879665898694274, ""gbdt"": 0.4527751843493746}",2025-02-02
2025-02-03,pv,86.07899625414532,147.05902622363604,0.0487390732798451,"{""lag1"": 0.26769206102225845, ""mean7"": 0.3299735413308261, ""lag7"": 0.23190420060448805, ""gbdt"": 0.17043019704242746}",2025-02-02
2025-02-04,load,136.81660768677023,166.46011735494784,0.0270081422192142,"{""lag1"": 0.09824343440530864, ""mean7"": 0.08192341103920478, ""lag7"": 0.38286975849837807, ""gbdt"": 0.4369633960571085}",2025-02-03
2025-02-04,pv,98.3714982697524,178.71613774021347,0.0584627745726744,"{""lag1"": 0.26515308715097796, ""mean7"": 0.33000542588921955, ""lag7"": 0.23033027534678766, ""gbdt"": 0.17451121161301472}",2025-02-03
2025-02-05,load,104.31331815225352,134.96357777102853,0.0205221524776446,"{""lag1"": 0.09457167361699323, ""mean7"": 0.07952621219687525, ""lag7"": 0.40095332077086226, ""gbdt"": 0.4249487934152693}",2025-02-04
2025-02-05,pv,92.66035544933273,170.2758775459729,0.0539210775513202,"{""lag1"": 0.26489495567190185, ""mean7"": 0.3286456189186436, ""lag7"": 0.23068700322485752, ""gbdt"": 0.17577242218459696}",2025-02-04
2025-02-06,load,122.93560097714676,151.7173760106662,0.0241341695581433,"{""lag1"": 0.09426848612102756, ""mean7"": 0.07924969744331294, ""lag7"": 0.39743104918436456, ""gbdt"": 0.4290507672512949}",2025-02-05
2025-02-06,pv,69.20947088360069,124.65789101608436,0.0395660686416619,"{""lag1"": 0.266199400502058, ""mean7"": 0.3262438757385259, ""lag7"": 0.22940117432938414, ""gbdt"": 0.178155549430032}",2025-02-05
2025-02-07,load,426.7441629323004,468.945329115652,0.1344630244317012,"{""lag1"": 0.09475411810745762, ""mean7"": 0.07966434414295717, ""lag7"": 0.39443729116598725, ""gbdt"": 0.43114424658359785}",2025-02-06
2025-02-07,pv,173.83000190524615,335.869200591953,0.0940407056787628,"{""lag1"": 0.2664588443167355, ""mean7"": 0.3271152570853519, ""lag7"": 0.22804022932897816, ""gbdt"": 0.17838566926893445}",2025-02-06
2025-02-08,load,160.156629619415,199.5051284319774,0.0507448465721429,"{""lag1"": 0.09587656073008241, ""mean7"": 0.08059656216374037, ""lag7"": 0.3948566420205419, ""gbdt"": 0.4286702350856354}",2025-02-07
2025-02-08,pv,126.19350101633876,234.2855618761529,0.0685684797664871,"{""lag1"": 0.26572378154149884, ""mean7"": 0.3257922506914073, ""lag7"": 0.23076310697823793, ""gbdt"": 0.17772086078885585}",2025-02-07
2025-02-09,load,267.70872354389985,313.0576480439866,0.0528598945479105,"{""lag1"": 0.09580677457225487, ""mean7"": 0.08045616506891377, ""lag7"": 0.3949492739340989, ""gbdt"": 0.42878778642473253}",2025-02-08
2025-02-09,pv,126.3923056602912,229.7574884854718,0.0722370954715002,"{""lag1"": 0.262265221211054, ""mean7"": 0.32400353106399304, ""lag7"": 0.2328484416180693, ""gbdt"": 0.18088280610688365}",2025-02-08
2025-02-10,load,116.12587400076136,148.55573425342857,0.0229426807090448,"{""lag1"": 0.09522352463696858, ""mean7"": 0.08007250164658394, ""lag7"": 0.3962124911833816, ""gbdt"": 0.4284914825330659}",2025-02-09
2025-02-10,pv,223.3995313717067,415.849529765169,0.1137112057309436,"{""lag1"": 0.2602509842389214, ""mean7"": 0.3222774643365952, ""lag7"": 0.23161637090465553, ""gbdt"": 0.1858551805198278}",2025-02-09
2025-02-11,load,114.94977226430744,143.72204145857293,0.0227171065523798,"{""lag1"": 0.0950923602546164, ""mean7"": 0.07990064722636718, ""lag7"": 0.3948137292479423, ""gbdt"": 0.43019326327107404}",2025-02-10
2025-02-11,pv,118.97735245387312,207.99392773217397,0.0617787575154279,"{""lag1"": 0.2605674509775563, ""mean7"": 0.3222884341598514, ""lag7"": 0.23332326516917162, ""gbdt"": 0.18382084969342072}",2025-02-10
2025-02-12,load,109.97630853769326,142.74077438209343,0.021748085135711,"{""lag1"": 0.09457176656557863, ""mean7"": 0.07945306374741447, ""lag7"": 0.39486722467337637, ""gbdt"": 0.43110794501363053}",2025-02-11
2025-02-12,pv,130.10271711497967,233.65328351975992,0.0677366705534682,"{""lag1"": 0.26160966724217927, ""mean7"": 0.32007015424609747, ""lag7"": 0.23138292288894513, ""gbdt"": 0.18693725562277816}",2025-02-11
2025-02-13,load,112.7460431371228,141.6378701769292,0.0223056525167386,"{""lag1"": 0.09403848929412564, ""mean7"": 0.07896917661176978, ""lag7"": 0.39526177181836997, ""gbdt"": 0.4317305622757347}",2025-02-12
2025-02-13,pv,240.5509941662087,404.7033463330911,0.115508821729495,"{""lag1"": 0.2635505726580541, ""mean7"": 0.3184353096228542, ""lag7"": 0.2276210906859659, ""gbdt"": 0.1903930270331258}",2025-02-12
2025-02-14,load,329.2706371537664,375.2311782035985,0.1041547454419355,"{""lag1"": 0.09397484342829579, ""mean7"": 0.07878675389676972, ""lag7"": 0.3937274285226635, ""gbdt"": 0.433510974152271}",2025-02-13
2025-02-14,pv,113.59587683513912,220.5618800106865,0.0591762874924424,"{""lag1"": 0.26800721235098757, ""mean7"": 0.3149193950459961, ""lag7"": 0.22459449409890653, ""gbdt"": 0.1924788985041098}",2025-02-13
