mode,days,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,E_start_kwh,E_end_kwh,E_min_kwh,E_max_kwh,mean_terminal_value,solver_time_s,max_residual_kwh,cost_delta_vs_fixed_v0_yuan,emergency_cost_delta_vs_fixed_v0_yuan
dynamic_v,14,644400.8720021264,607218.9607990498,37181.9112030766,8797.128513945852,207134.58594243223,224204.29804195973,183015.13430708298,5016.28099232843,3450.0,1200.0,10800.0,0.4587108551523124,5.475720200018259,7.048583938740194e-12,739.9887671052711,147.74747543975536
fixed_v_0,14,643660.8832350211,606626.7195073842,37034.16372763684,8737.155998254066,206613.62440756062,221704.29804195976,183015.134307083,5016.28099232843,1200.0,1200.0,10800.0,0.0,7.46814730000915,2.1827872842550278e-11,0.0,0.0
fixed_v_0.3,14,643641.7240935412,606607.5603659044,37034.16372763681,8737.15599825406,206593.13265068014,221704.29804195976,183015.134307083,5016.28099232843,1200.0,1200.0,10800.0,0.3,7.469106599979568,2.2737367544323206e-11,-19.159141479991376,-2.9103830456733704e-11
fixed_v_0.5,14,653832.0257000391,617511.7892303988,36320.236469640295,8445.104730795098,220265.90721970634,248002.3322024289,195678.21375485777,5016.28099232843,10798.142469116936,1200.0,10800.0,0.5,3.6326487999758683,8.71978045324795e-12,10171.142465017969,-713.9272579965473
fixed_v_0.8,14,655647.8626039359,619458.4368334075,36189.4257705283,8447.329088353961,224344.2007408551,248354.64764671132,195963.58926472656,5016.28099232843,10798.142469116936,1200.0,10800.0,0.8,3.1906162000377662,6.849631972727366e-12,11986.979368914734,-844.7379571085403
fixed_v_1,14,655693.7196581155,619446.9725698626,36246.74708825288,8459.556331895892,224344.2007408551,248354.64764671132,195963.58926472656,5016.28099232843,10798.142469116936,1200.0,10800.0,1.0,3.41792209999403,6.849631972727366e-12,12032.836423094384,-787.4166393839623
