date,t,price,load_kw,pv_kw,g0,g_final,up,down,c_plan,d_plan,c_exec,d_exec,h_real,w_real,soc_start,soc_end
2025-11-01,139,0.424,2498.495,0.0,469.207908454398,469.207908454398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.79207512106473,2802.207470314644,2802.207470314644
2025-11-01,140,0.422,2457.45,0.0,456.7667694782131,456.7667694782131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.19176947821313,2802.207470314644,2802.207470314644
2025-11-01,141,0.424,2345.8903,0.0,456.3836266962457,456.3836266962457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.40191002957903,2802.207470314644,2802.207470314644
2025-11-01,142,0.4271,2740.4002,0.0,479.61153225596723,479.61153225596723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.87816558930058,2802.207470314644,2802.207470314644
2025-11-01,143,0.4276,3406.47,0.0,568.8183719338116,568.8183719338116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0733719338115861,2802.207470314644,2802.207470314644
2025-11-02,0,0.4248,3476.668,0.0,1455.7771922390868,1455.7771922390868,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,42.99919223908694,2802.207470314644,3552.207470314644
2025-11-02,1,0.4245,3344.5516,0.0,1445.6299023344463,1445.6299023344463,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,54.871302334446455,3552.207470314644,4302.2074703146445
2025-11-02,2,0.4269,3350.43,0.0,1420.340739985046,1420.340739985046,0.0,0.0,833.3333333333338,0.0,833.3333333333333,0.0,0.0,28.602406651712727,4302.2074703146445,5052.2074703146445
2025-11-02,3,0.4272,3440.3935,0.0,1412.0426214177658,1412.0426214177658,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,5.31037141776585,5052.2074703146445,5802.2074703146445
2025-11-02,4,0.4271,3504.1368,0.0,1427.435861889817,1427.435861889817,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,10.079728556483701,5802.2074703146445,6552.2074703146445
2025-11-02,5,0.4285,3526.99,0.0,1439.325167629806,1439.325167629806,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,18.160167629806097,6552.2074703146445,7302.2074703146445
2025-11-02,6,0.4311,3557.2106,0.0,1459.0047456409834,1459.0047456409834,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,32.80297897431683,7302.2074703146445,8052.2074703146445
2025-11-02,7,0.4302,3483.6278,0.0,1460.341699516425,1460.341699516425,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,46.4037328497584,8052.2074703146445,8802.207470314645
2025-11-02,8,0.4279,3407.43,0.0,1457.9290756369746,1457.9290756369746,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,56.6907423036414,8802.207470314645,9552.207470314645
2025-11-02,9,0.4312,3553.3023,0.0,1182.9101717225676,1182.9101717225676,0.0,0.0,553.1028107614959,0.0,553.1028107614959,0.0,0.0,37.59031096107174,9552.207470314645,10049.99999999999
2025-11-02,10,0.4333,3640.8554,0.0,630.396693893514,630.396693893514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.587460560180716,10049.99999999999,10049.99999999999
2025-11-02,11,0.4311,3589.31,0.0,613.1884673490988,613.1884673490988,0.0,0.0,8.8838826638789e-12,0.0,8.8838826638789e-12,0.0,0.0,14.970134015756555,10049.99999999999,10049.999999999998
2025-11-02,12,0.4293,3593.411,0.0,589.1721192050115,589.1721192050115,0.0,0.0,0.0,0.0,0.0,0.0,9.729714128321802,0.0,10049.999999999998,10049.999999999998
2025-11-02,13,0.4324,3636.6549,0.0,606.1003394116407,606.1003394116407,0.0,0.0,0.0,0.0,0.0,0.0,0.008810588359324356,0.0,10049.999999999998,10049.999999999998
2025-11-02,14,0.4367,3675.85,0.0,622.3756026010627,622.3756026010627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.733935934396072,10049.999999999998,10049.999999999998
2025-11-02,15,0.4348,3703.2003,0.0,621.3217122822113,621.3217122822113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1216622822112186,10049.999999999998,10049.999999999998
2025-11-02,16,0.4335,3732.0751,0.0,610.7409705751148,610.7409705751148,0.0,0.0,0.0,0.0,0.0,0.0,11.27154609155184,0.0,10049.999999999998,10049.999999999998
2025-11-02,17,0.4357,3747.19,0.0,611.9132267883439,611.9132267883439,0.0,0.0,0.0,0.0,0.0,0.0,12.61843987832276,0.0,10049.999999999998,10049.999999999998
2025-11-02,18,0.4374,3702.0738,0.0,598.0772517305021,598.0772517305021,0.0,0.0,0.0,0.0,0.0,0.0,18.935048269497884,0.0,10049.999999999998,10049.999999999998
2025-11-02,19,0.4371,3566.4871,0.0,618.1679833851886,618.1679833851886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.753466718521963,10049.999999999998,10049.999999999998
2025-11-02,20,0.4356,3462.71,0.0,641.1809788166604,641.1809788166604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.06264548332706,10049.999999999998,10049.999999999998
2025-11-02,21,0.4353,3555.5683,0.0,624.5180509132858,624.5180509132858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.92333424661922,10049.999999999998,10049.999999999998
2025-11-02,22,0.436,3600.0991,0.0,625.5430164936218,625.5430164936218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.52649982695516,10049.999999999998,10049.999999999998
2025-11-02,23,0.4378,3529.23,0.0,613.5557649649722,613.5557649649722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3507649649722,10049.999999999998,10049.999999999998
2025-11-02,24,0.4401,3517.1359,0.0,610.242540082258,610.242540082258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.05322341559122,10049.999999999998,10049.999999999998
2025-11-02,25,0.4389,3573.7157,0.0,614.839788923371,614.839788923371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.220505590037646,10049.999999999998,10049.999999999998
2025-11-02,26,0.4364,3632.77,0.0,618.073416049056,618.073416049056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.611749382389348,10049.999999999998,10049.999999999998
2025-11-02,27,0.4393,3643.2503,0.0,624.0940854573968,624.0940854573968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.885702124063414,10049.999999999998,10049.999999999998
2025-11-02,28,0.4422,3733.3324,0.0,607.8610613654863,607.8610613654863,0.0,0.0,0.0,0.0,0.0,0.0,14.361005301180285,0.0,10049.999999999998,10049.999999999998
2025-11-02,29,0.4395,3869.28,0.0,626.6211368718484,626.6211368718484,0.0,0.0,0.0,0.0,0.0,0.0,18.258863128151575,0.0,10049.999999999998,10049.999999999998
2025-11-02,30,0.4333,3861.3321,0.0049,594.0353733169565,594.0353733169565,0.0,0.0,3.663242548807628e-12,0.0,0.0,0.0,49.51916001637686,0.0,10049.999999999998,10049.999999999998
2025-11-02,31,0.4439,3724.1997,0.0,604.3592594911154,604.3592594911154,0.0,0.0,0.0,0.0,0.0,0.0,16.340690508884677,0.0,10049.999999999998,10049.999999999998
2025-11-02,32,0.4301,3532.69,0.0,631.408832218542,631.408832218542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.62716555187535,10049.999999999998,10049.999999999998
2025-11-02,33,0.3713,3457.4491,0.0689,1434.107375802536,1434.107375802536,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,24.544009135869487,10049.999999999998,10799.999999999998
2025-11-02,34,0.5708,3985.5318,0.0,668.3707224321448,668.3707224321448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.115422432144783,10799.999999999998,10799.999999999998
2025-11-02,35,0.9099,4769.94,0.0,0.0,0.0,0.0,0.0,0.0,827.9505656198721,0.0,794.9899999999999,0.0,0.0,10799.999999999998,9916.677777777775
2025-11-02,36,0.9368,4899.8946,0.9599,12.500631652592574,12.500631652592574,0.0,0.0,0.0,833.3333333333334,0.0,803.9884850140741,0.0,0.0,9916.677777777775,9023.357238873248
2025-11-02,37,0.8758,4838.2169,0.0,11.262269112577314,11.262269112577314,0.0,0.0,0.0,833.3333333333334,0.0,795.1072142207561,0.0,0.0,9023.357238873248,8139.904778627963
2025-11-02,38,0.8759,4864.27,0.0,12.054841723880145,12.054841723880145,0.0,0.0,0.0,833.3333333333334,0.0,798.6568249427866,0.0,0.0,8139.904778627963,7252.508306469312
2025-11-02,39,0.8601,4792.2668,47.9582,0.0,0.0,0.0,0.0,0.0,752.8070680304185,0.0,752.8070680304185,37.911031969581586,0.0,7252.508306469312,6416.056008657735
2025-11-02,40,0.8442,4718.9298,227.9186,702.8292377978278,702.8292377978278,0.0,0.0,0.0,0.0,0.0,0.0,45.67262886883888,0.0,6416.056008657735,6416.056008657735
2025-11-02,41,0.8334,4716.12,528.825,686.8498418649973,686.8498418649973,0.0,0.0,0.0,0.0,0.0,0.0,11.032658135002677,0.0,6416.056008657735,6416.056008657735
2025-11-02,42,0.8092,4780.4424,846.3185,630.7748706862749,630.7748706862749,0.0,0.0,0.0,0.0,0.0,0.0,24.912445980391823,0.0,6416.056008657735,6416.056008657735
2025-11-02,43,0.7972,4994.5325,1140.4654,608.6928450378546,608.6928450378546,0.0,0.0,0.0,0.0,0.0,0.0,33.651671628812124,0.0,6416.056008657735,6416.056008657735
2025-11-02,44,0.7644,5042.78,1423.0875,580.6433511486954,580.6433511486954,0.0,0.0,0.0,0.0,0.0,0.0,22.63873218463786,0.0,6416.056008657735,6416.056008657735
2025-11-02,45,0.6899,4661.8146,1742.8852,476.3018205826994,476.3018205826994,0.0,0.0,0.0,0.0,0.0,0.0,10.186412750633849,0.0,6416.056008657735,6416.056008657735
