interval_end_h,price,load_kW,pv_kW,grid_kWh,charge_kWh,discharge_kWh,spill_kWh,SOC_end_kWh
0.16666666666666666,0.4248,3439.8466,0.0,1406.6411,833.3333333333334,0.0,0.0,6750.0
0.3333333333333333,0.4245,3437.9792,0.0,1406.3298666666667,833.3333333333334,0.0,0.0,7500.0
0.5,0.4269,3444.3031,0.0,1407.3838500000002,833.3333333333334,0.0,0.0,8250.0
0.6666666666666666,0.4272,3454.4437,0.0,1409.07395,833.3333333333334,0.0,0.0,9000.0
0.8333333333333334,0.4271,3458.8273,0.0,1409.80455,833.3333333333334,0.0,0.0,9750.0
1.0,0.4285,3459.8401,0.0,576.6400166666666,0.0,0.0,0.0,9750.0
1.1666666666666667,0.4311,3467.1582,0.0,577.8597,0.0,0.0,0.0,9750.0
1.3333333333333333,0.4302,3467.9632,0.0,577.9938666666667,0.0,0.0,0.0,9750.0
1.5,0.4279,3466.9683,0.0,911.1613833333333,333.3333333333333,0.0,0.0,10050.0
1.6666666666666667,0.4312,3482.4927,0.0,580.41545,0.0,0.0,0.0,10050.0
1.8333333333333333,0.4333,3495.0841,0.0,582.5140166666666,0.0,0.0,0.0,10050.0
2.0,0.4311,3498.4443,0.0,583.07405,0.0,0.0,0.0,10050.0
2.1666666666666665,0.4293,3505.2295,0.0,584.2049166666667,0.0,0.0,0.0,10050.0
2.3333333333333335,0.4324,3512.6387,0.0,585.4397833333334,0.0,0.0,0.0,10050.0
2.5,0.4367,3516.8685,0.0,586.14475,0.0,0.0,0.0,10050.0
2.6666666666666665,0.4348,3517.9246,0.0,586.3207666666666,0.0,0.0,0.0,10050.0
2.8333333333333335,0.4335,3518.5518,0.0,586.4253,0.0,0.0,0.0,10050.0
3.0,0.4357,3521.0976,0.0,586.8496,0.0,0.0,0.0,10050.0
3.1666666666666665,0.4374,3526.9261,0.0,587.8210166666667,0.0,0.0,0.0,10050.0
3.3333333333333335,0.4371,3537.2854,0.0,589.5475666666667,0.0,0.0,0.0,10050.0
3.5,0.4356,3544.8808,0.0,590.8134666666666,0.0,0.0,0.0,10050.0
3.6666666666666665,0.4353,3541.2787,0.0,590.2131166666667,0.0,0.0,0.0,10050.0
3.8333333333333335,0.436,3546.3976,0.0,591.0662666666666,0.0,0.0,0.0,10050.0
4.0,0.4378,3560.207,0.0,593.3678333333334,0.0,0.0,0.0,10050.0
4.166666666666667,0.4401,3561.9581,0.0,593.6596833333333,0.0,0.0,0.0,10050.0
4.333333333333333,0.4389,3556.7183,0.0,592.7863833333333,0.0,0.0,0.0,10050.0
4.5,0.4364,3560.0272,0.0,593.3378666666666,0.0,0.0,0.0,10050.0
4.666666666666667,0.4393,3580.654,0.5994,596.6757666666666,0.0,0.0,0.0,10050.0
4.833333333333333,0.4422,3586.916,0.2345,597.78025,0.0,0.0,0.0,10050.0
5.0,0.4395,3571.2635,0.2885,595.1625,0.0,0.0,0.0,10050.0
5.166666666666667,0.4333,3562.3171,18.6781,590.6065,0.0,0.0,0.0,10050.0
5.333333333333333,0.4439,3591.3809,54.4698,589.4851833333333,0.0,0.0,0.0,10050.0
5.5,0.4301,3579.7045,108.9718,578.45545,0.0,0.0,0.0,10050.0
5.666666666666667,0.3713,3486.119,184.1603,1383.6597833333335,833.3333333333334,0.0,0.0,10800.0
5.833333333333333,0.5708,3823.8994,277.0582,591.1401999999999,0.0,-0.0,0.0,10800.0
6.0,0.9099,4398.0727,388.5494,0.0,0.0,668.2538833333333,0.0,10057.495685185186
6.166666666666667,0.9368,4454.0123,521.2803,0.0,0.0,655.4553333333334,0.0,9329.211981481481
6.333333333333333,0.8758,4371.7919,672.7677,0.0,0.0,616.5040333333334,0.0,8644.2075
6.5,0.8759,4392.953,844.2261,0.0,0.0,591.4544833333334,0.0,7987.035851851852
6.666666666666667,0.8601,4384.5956,1039.6744,0.0,0.0,557.4868666666666,0.0,7367.606000000001
6.833333333333333,0.8442,4434.7757,1259.3375,0.0,0.0,529.2397,0.0,6779.561888888889
7.0,0.8334,4523.4561,1508.6318,0.0,0.0,502.4707166666667,0.0,6221.261092592593
7.166666666666667,0.8092,4524.0721,1791.4107,0.0,0.0,455.44356666666675,0.0,5715.212685185185
7.333333333333333,0.7972,4545.8867,2085.4865,0.0,0.0,410.0667,0.0,5259.583018518519
7.5,0.7644,4523.2418,2381.2611,0.0,0.0,356.99678333333327,0.0,4862.919925925926
7.666666666666667,0.6899,4383.3566,2683.1752,0.0,0.0,283.36356666666666,0.0,4548.071518518518
7.833333333333333,0.86,4910.4599,2986.3552,0.0,0.0,320.6841166666666,0.0,4191.755833333333
8.0,1.1617,5799.7327,3289.204,0.0,0.0,418.4214499999999,0.0,3726.8431111111104
8.166666666666666,1.1683,5884.826,3593.3613,0.0,0.0,381.9107833333333,0.0,3302.4977962962957
8.333333333333334,1.0956,5748.0713,3890.7332,0.0,0.0,309.5563499999999,0.0,2958.5462962962956
8.5,1.0849,5769.0581,4181.3417,0.0,0.0,264.61940000000004,0.0,2664.52474074074
8.666666666666666,1.061,5754.2105,4471.7657,0.0,0.0,213.74080000000004,0.0,2427.0349629629623
8.833333333333334,1.043,5824.1807,4752.8272,0.0,0.0,178.5589166666667,0.0,2228.6361666666658
9.0,1.036,5954.2601,5021.9074,0.0,0.0,155.39211666666674,0.0,2055.9782592592583
9.166666666666666,1.0147,5958.9696,5285.4126,0.0,0.0,112.25950000000012,0.0,1931.2454814814803
9.333333333333334,0.9922,5929.5554,5543.1742,0.0,0.0,64.39686666666664,0.0,1859.6934074074063
9.5,0.97,5923.7828,5788.4093,0.0,0.0,22.56224999999995,0.0,1834.6242407407397
9.666666666666666,0.9422,5907.586,6012.1304,0.0,17.42406666666663,0.0,0.0,1850.3059007407396
