month,load_kWh,pv_kWh,positive_net_kWh,surplus_pv_kWh,price_mean
1,113418.56325967742,38140.41346451613,77280.12034462365,2001.9705494623654,0.8596107750896058
2,108405.51660773809,47195.52831964286,66168.78944702381,4958.8011589285725,0.7695711805555555
3,104536.77588978496,55300.7221327957,58386.884659677424,9150.83090268817,0.7255331989247311
4,105431.44317722223,64840.45654388889,53745.02792277778,13154.041289444443,0.698846412037037
5,105640.26606451614,67356.0575172043,52286.801026881716,14002.592479569894,0.6912003360215054
6,115208.94310666667,56875.83756722222,63923.78406277778,5590.678523333334,0.7662756712962964
7,128094.20774569892,65358.102600000006,70502.73696344085,7766.631817741935,0.8300811827956989
8,121084.2492080645,69983.83423172042,65236.867986021505,14136.453009677418,0.7864659722222221
9,108861.85038777777,62582.388146111116,59230.72338722222,12951.261145555556,0.7202801851851852
10,104328.46779193549,56743.51324247312,59291.64122204301,11706.686672580645,0.7202710573476703
11,104104.11232055556,44505.03205444444,65061.03369611111,5461.95343,0.7610268287037038
12,112591.34150860216,36332.08550107527,77708.17248333333,1448.9164758064517,0.8617168234767024
