target,error_00,error_06,error_12
2025-01-01 13:00:00,785.5838999999996,52.387800000000425,68.61729999999989
2025-01-01 14:00:00,208.4915000000001,355.08920000000035,70.63289999999961
2025-01-01 15:00:00,245.31539999999995,260.6999999999998,38.19369999999981
2025-01-01 16:00:00,104.19640000000004,134.2369000000001,-21.58439999999996
2025-01-02 13:00:00,-141.63770000000022,553.1197999999995,-0.5502000000005864
2025-01-02 14:00:00,173.90250000000015,568.5375000000004,1.967000000000553
2025-01-02 15:00:00,447.8624999999997,202.68039999999974,-24.385400000000118
2025-01-02 16:00:00,177.0,95.72000000000003,-8.794099999999844
2025-01-03 13:00:00,-332.77790000000005,153.22749999999996,-31.510400000000118
2025-01-03 14:00:00,263.60729999999967,-150.53579999999965,40.812299999999595
2025-01-03 15:00:00,399.1124999999997,-62.32520000000022,-6.988100000000031
2025-01-03 16:00:00,-22.789800000000014,-142.8753999999999,41.01740000000018
2025-01-04 13:00:00,559.8539000000001,311.45640000000003,11.876000000000204
2025-01-04 14:00:00,-115.46129999999994,188.08280000000013,130.0542000000005
2025-01-04 15:00:00,-467.2242000000001,356.59979999999996,88.83309999999983
2025-01-04 16:00:00,-131.4982,125.47710000000006,60.12149999999997
2025-01-05 13:00:00,-416.91660000000047,-417.9261000000006,-20.675000000000182
2025-01-05 14:00:00,-186.67680000000018,-298.1214,52.640699999999924
2025-01-05 15:00:00,321.3696,112.80429999999978,-64.92930000000024
2025-01-05 16:00:00,36.322200000000066,5.430499999999938,-22.810799999999972
2025-01-06 13:00:00,147.89850000000024,271.72230000000036,-56.009900000000016
2025-01-06 14:00:00,207.33590000000004,468.4911999999995,-25.076600000000326
2025-01-06 15:00:00,-270.4183000000003,291.3538999999996,53.39099999999962
2025-01-06 16:00:00,-384.2087999999999,146.2125000000001,21.320900000000165
2025-01-07 13:00:00,1178.6755000000003,149.3755000000001,-58.8779999999997
2025-01-07 14:00:00,932.4318000000003,-106.96810000000005,-64.41280000000006
2025-01-07 15:00:00,614.8500000000004,-88.41799999999967,-39.16449999999986
2025-01-07 16:00:00,232.0856000000001,-113.2005999999999,-44.697999999999865
2025-01-08 13:00:00,-1308.6673,71.13680000000022,-17.01389999999992
2025-01-08 14:00:00,-1312.6024000000002,68.62870000000021,-11.008300000000418
2025-01-08 15:00:00,-1089.4779000000003,95.71379999999999,-68.85750000000007
2025-01-08 16:00:00,-397.56539999999995,27.75520000000006,13.903700000000072
2025-01-09 13:00:00,79.46500000000015,66.61340000000018,-40.22580000000016
2025-01-09 14:00:00,1024.4751000000006,32.51460000000043,-88.84369999999944
2025-01-09 15:00:00,170.24069999999983,71.81410000000005,-80.2147
2025-01-09 16:00:00,38.11959999999999,44.76869999999985,-40.46340000000009
