price,load_kw,pv_kw,net_load_kwh
1.3445,4251.9187,0.6007,708.553
1.3483,4256.6813,0.0,709.4468833333333
1.349,4267.3947,0.0,711.23245
1.3473,4269.975,0.0,711.6625
1.3482,4268.6702,0.0,711.4450333333332
1.3513,4282.2245,0.0,713.7040833333333
1.34,4291.7049,0.0,715.28415
1.3489,4291.3611,0.0,715.22685
1.3952,4293.9182,0.0,715.6530333333333
1.2226,4295.2135,0.0,715.8689166666666
0.9332,4302.0307,0.0,717.0051166666667
0.9068,4320.9618,0.0,720.1603
0.9371,4302.3292,0.0,717.0548666666666
0.9371,4322.6758,0.0,720.4459666666667
0.9871,4428.8083,0.0,738.1347166666666
0.7764,4030.1614,0.0,671.6935666666666
0.4209,3362.7419,0.0,560.4569833333333
0.3859,3309.3934,0.0,551.5655666666667
0.4368,3412.9563,0.0,568.8260499999999
0.4198,3381.9313,0.0,563.6552166666667
0.4186,3386.5592,0.0,564.4265333333333
0.4241,3400.4846,0.0,566.7474333333332
0.4237,3399.2426,0.0,566.5404333333333
0.4248,3406.9809,0.0,567.83015
0.424,3416.1518,0.0,569.3586333333333
0.422,3421.9811,0.0,570.3301833333333
0.424,3429.6923,0.0,571.6153833333333
0.4271,3439.061,0.0,573.1768333333333
0.4276,3444.7259,0.0,574.1209833333332
