mode,days,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,E_start_kwh,E_end_kwh,E_min_kwh,E_max_kwh,mean_terminal_value,solver_time_s,max_residual_kwh,cost_delta_vs_fixed_v0_yuan,emergency_cost_delta_vs_fixed_v0_yuan
dynamic_v,14,615695.3631120183,587854.9047267914,27840.458385226866,6790.765946394736,114134.58619188519,267324.3622246939,220441.87230273054,8516.546192033207,4173.058524557153,1232.3717811610845,10800.0,0.468990835711689,5.021713799942518,2.0321522242738865e-11,-473.14247124968097,-255.26766881160438
fixed_v_0,14,616168.505583268,588072.7795292295,28095.72605403847,6922.897084705493,113999.69711194395,265657.69555802725,220441.87230273054,8516.546192033207,2673.058524557153,1232.3717811610845,10800.0,0.0,5.908969999989495,2.8705926524708048e-12,0.0,0.0
fixed_v_0.3,14,616109.2564452005,588013.530391162,28095.726054038467,6922.8970847054925,113930.98652622274,265657.69555802725,220441.87230273054,8516.546192033207,2673.058524557149,1232.3717811610845,10800.0,0.3,5.798155000054976,2.8705926524708048e-12,-59.24913806747645,-3.637978807091713e-12
fixed_v_0.5,14,622630.4676339453,595495.2047129908,27135.262920954578,6462.371486492907,123316.56178648505,275209.8704608799,220864.8866461426,8516.546192033207,10800.0,1232.3717811610845,10800.0,0.5,2.529258700000355,2.97859514830634e-11,6461.962050677277,-960.4631330838929
fixed_v_0.8,14,623654.5257624647,596559.5748378715,27094.95092459322,6443.520559736373,125538.95228497047,275209.8704608799,220864.8866461426,8516.546192033207,10800.0,1232.3717811610845,10800.0,0.8,2.930516899912618,2.9558577807620168e-12,7486.0201791967265,-1000.7751294452501
fixed_v_1,14,623654.5257624647,596559.5748378715,27094.950924593217,6443.520559736371,125538.95228497047,275209.8704608799,220864.8866461426,8516.546192033207,10800.0,1232.3717811610845,10800.0,1.0,2.677402399946004,2.9558577807620168e-12,7486.0201791967265,-1000.7751294452537
