date,E_initial_kwh,dynamic_v_yuan_per_kwh,cost_48h_yuan,cost_24h_dynamic_yuan,cost_delta_24_minus_48_yuan,emergency_cost_48h_yuan,emergency_cost_24h_dynamic_yuan,emergency_cost_delta_yuan,E_end_48h_kwh,E_end_24h_dynamic_kwh,E_end_delta_kwh,inventory_approx_adjusted_delta_at_dynamic_v_yuan,shared_scenarios
2025-03-20,8110.222217026236,0.39540224151076475,44346.398760638906,42217.1657247235,-2129.2330359154075,2433.6025837810594,2515.3997635732485,81.79717979218913,6178.214281125497,1491.1828150662782,-4687.031466059219,-275.9702882041063,True
2025-06-21,8837.113811414798,0.4719999999999709,30059.132055811606,28968.016111101144,-1091.115944710462,7.443895388050313,7.443895388050313,0.0,7301.928378292797,5051.928378292795,-2250.000000000002,-29.11594471052649,True
2025-09-23,7440.977698589501,0.474555555555562,48706.55450715883,47621.97801261039,-1084.5764945484407,2854.253621075143,2854.2536210751227,-2.0463630789890885e-11,6757.410962441611,4507.4109624416105,-2250.000000000001,-16.82649454842567,True
2025-12-21,8684.114442267037,0.47200000000004366,65285.265022742606,64328.13237993265,-957.1326428099565,1823.770264507954,1868.2303274665119,44.460062958557955,8766.885392243086,6677.525759862212,-2089.3596323808742,29.04510367390742,True
