date,policy,total_cost_yuan,regular_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s,max_mip_gap,wall_time_s
2025-02-17,24h,65127.68712540483,47788.59433162055,50049.254535027576,-2260.6602034070206,17339.092793784275,3793.2683046997354,73,8455.445908656837,1.0220219995826483,0.0,0.04976220001117326
2025-02-18,24h,63119.16978754869,46945.95185407308,44572.8930562977,2373.0587977753844,16173.217933475617,3532.2322910190287,72,8555.638296114588,1.2462083988357335,0.0,0.051257000013720244
2025-02-19,24h,70085.19057928167,48054.81672543656,44933.86897204773,3120.947753388834,22030.373853845107,4928.829065396865,80,8339.355788222256,1.0297151994891465,0.0,0.04724410001654178
2025-02-20,24h,68461.23215178896,47047.4800100227,46408.880943265736,638.5990667569629,21413.75214176626,4578.114270457084,66,7218.000017276383,0.8879003988113254,0.0,0.04352060001110658
2025-02-21,24h,26923.345846441567,25009.621501237827,24038.578709150323,971.042792087504,1913.7243452037387,480.4056017560741,9,8763.957477550033,1.309752000728622,0.0,0.05573550000553951
2025-02-22,24h,26951.729370130604,21779.595773135206,20423.977706599628,1355.6180665355776,5172.133596995396,1272.5184691619652,22,9069.833972071923,1.3080239990958944,0.0,0.05713509998167865
2025-02-23,24h,81958.0984567189,41839.048242592144,40129.31488679597,1709.733355796173,40119.050214126764,8586.28685349633,96,8225.769098680179,1.2768407994881272,0.0,0.05632929998682812
2025-02-24,24h,63725.65257877815,46292.410225355336,44511.431420845525,1780.9788045098128,17433.242353422815,3666.253140943614,50,8561.25206326329,1.1445875993231311,0.0,0.05289759999141097
2025-02-25,24h,65050.31156753503,44485.35946193617,45742.06222657149,-1256.7027646353256,20564.95210559886,4479.612931804963,67,8426.272535079797,1.2616668012924492,0.0,0.05422059999546036
2025-02-26,24h,64486.71397769927,44959.60161342873,41421.12204750933,3538.4795659193996,19527.11236427054,4254.190845889356,66,8574.321011640612,1.2534983998630196,0.0,0.055540000001201406
2025-02-27,24h,64076.431389069985,44408.0297807412,42103.77359123459,2304.2561895066106,19668.401608328782,4125.23141183704,63,7934.816004090981,1.2656519991578534,0.0,0.05595249999896623
2025-02-28,24h,27616.528801029228,24287.6969630888,22823.533240938308,1464.163722150495,3328.831837940428,800.4342609422815,9,9724.462769248212,1.1273831992875785,0.0,0.052996399987023324
2025-03-01,24h,22720.55745860284,21340.697557312265,21587.855771409253,-247.15821409698805,1379.859901290576,333.4218718686099,9,9042.625590045413,1.1600928000407293,0.0,0.0542225000099279
2025-03-02,24h,74316.24410985196,44262.00459155954,42016.24541894491,2245.759172614626,30054.239518292423,6257.263543032179,94,8302.412027618848,1.2166344010038301,0.0,0.05753120000008494
2025-03-03,24h,65552.9264604244,49776.762906839314,49183.786306413385,592.9766004259309,15776.16355358508,3396.361085314932,58,8540.578253215634,1.2398759998613968,0.0,0.055489800026407465
2025-03-04,24h,58259.066454428816,45796.72448676582,43299.635534241854,2497.088952523971,12462.341967662996,2693.529978349906,60,8469.310334965645,1.2325608007377014,0.0,0.05513069999869913
2025-03-05,24h,57276.594883092395,43976.1989948135,45264.475274740886,-1288.276279927383,13300.395888278894,2779.2833047632193,56,8492.242010523518,1.1744496003957465,0.0,0.05360189999919385
2025-03-06,24h,57784.7869561155,44685.97743291548,42433.83882905169,2252.138603863793,13098.809523200018,2858.189872942562,51,5999.468363029426,1.205380801227875,0.0,0.053049400012241676
2025-03-07,24h,25605.0010213209,23870.425287825616,23991.476109164054,-121.05082133843848,1734.5757334952843,428.9802920974291,5,5241.378854937237,1.1748348001856357,0.0,0.05578230001265183
2025-03-08,24h,26934.727551698714,21458.148279096218,18098.939974703346,3359.208304392872,5476.579272602497,1402.338524128703,26,8513.303484391601,1.2002903991378844,0.0,0.05213799999910407
2025-03-09,24h,74675.6323136675,41112.367163476396,38107.2012993804,3005.165864095995,33563.2651501911,7322.621339150931,92,8275.49743397877,1.2030732014682144,0.0,0.055466199992224574
2025-03-10,24h,63712.384582882034,43693.46206133443,41376.691227693926,2316.7708336405085,20018.922521547604,4337.676597398198,65,8398.782869896157,1.1916540004312992,0.0,0.05243300000438467
2025-03-11,24h,61359.352314930395,43961.92804014474,37291.72373920753,6670.204300937208,17397.424274785655,3802.065338878012,60,8533.49264905501,1.112058000988327,0.0,0.05167210000217892
2025-03-12,24h,61242.886746778735,43955.06330504344,42335.782522856105,1619.2807821873366,17287.82344173529,3869.637368696159,61,8316.620581094216,1.2047004002379254,0.0,0.051615300006233156
2025-03-13,24h,62355.95271260475,42120.93334496886,41974.66976895528,146.26357601357586,20235.01936763589,4321.129210331231,74,4235.243428220376,1.1289383996045217,0.0,0.05324139998992905
2025-03-14,24h,24592.87681311656,21761.32278716607,20686.327055300884,1074.9957318651852,2831.5540259504896,685.1813162095347,7,5566.851641690312,1.153724399744533,0.0,0.05379279999760911
2025-03-15,24h,25792.214478256603,20448.219453105972,17334.11033819901,3114.1091149069603,5343.99502515063,1361.7757558396277,27,8264.721165739524,1.194346801028587,0.0,0.05370519999996759
