policy,days,total_cost_yuan,regular_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,mean_end_storage_kwh,min_end_storage_kwh,max_mip_gap,total_solver_time_s
24h,334,18728676.089872163,13211150.479605695,5517525.610266468,1263483.252646702,18182,7048.666217184662,1627.1044877981758,0.0,374.08010039885994
48h,334,18734826.65824382,13217033.815168578,5517792.843075242,1263565.0128727173,18183,7048.696460321672,1627.1044877981758,0.0,691.416795607307
