date,policy,total_cost_yuan,regular_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s,max_mip_gap,wall_time_s
2025-02-01,48h,32563.375064501095,30702.793255026096,30927.58046866341,-224.7872136373135,1860.5818094750011,451.8108952380954,8,10010.003765432097,2.327641199226491,0.0,0.09044810000341386
2025-02-02,48h,112834.96798737701,40869.3870044042,36221.097095391946,4648.289909012254,71965.58098297281,15385.771034343317,113,8026.455983611914,2.2323384006740525,0.0,0.086518000025535
2025-02-03,48h,71235.42929212959,54118.42161882099,55217.87246187859,-1099.4508430576002,17117.007673308595,3676.2372515942325,57,8560.556768800796,2.292490799794905,0.0,0.09067410000716336
2025-02-04,48h,66442.3864079749,56262.38097493488,57130.70350753166,-868.3225325967812,10180.005433040025,2175.518994170615,38,8623.007930167149,2.2133771998342127,0.0,0.09028379997471347
2025-02-05,48h,69359.80791559415,54212.542953030264,52379.86507087662,1832.677882153642,15147.264962563891,3157.1825640960096,58,8533.670789704798,2.1795228008413687,0.0,0.08772619999945164
2025-02-06,48h,69033.14312440564,54726.54323935543,56647.312405456905,-1920.7691661014742,14306.599885050207,2914.629957952923,47,8619.685351867647,2.233717200695537,0.0,0.08816469999146648
2025-02-07,48h,33394.6388037111,32840.17756716206,33955.205199315955,-1115.0276321538886,554.4612365490373,135.34616618516645,3,10291.805413196607,2.2509719990193844,0.0,0.08775180001975968
2025-02-08,48h,27753.6984343274,22308.672743524367,20712.589774517735,1596.0829690066323,5445.025690803033,1236.5531056981256,19,9017.309761487924,2.2651128008728847,0.0,0.09055229998193681
2025-02-09,48h,89351.51731086723,46642.053440710486,44574.108581878914,2067.9448588315736,42709.46387015674,9240.37755264248,102,8205.546588479916,2.0615796006750315,0.0,0.08396029999130405
2025-02-10,48h,69534.43598735137,51788.6014838442,49802.35742993772,1986.2440539064796,17745.83450350717,3828.0164760981725,70,8418.889301016154,2.1596652005100623,0.0,0.08817699999781325
2025-02-11,48h,71222.95114620864,49415.92438335482,49992.18328432877,-576.2589009739555,21807.02676285382,4538.382634136543,78,8480.059083320279,2.1825719999615103,0.0,0.08676619999459945
2025-02-12,48h,71079.76925276112,49584.578559250614,50244.888274873476,-660.3097156228582,21495.1906935105,4493.703979630215,72,8454.091954051282,2.094073199783452,0.0,0.08385249998536892
2025-02-13,48h,68215.66555124133,47505.71524490607,46244.11387225443,1261.6013726516364,20709.95030633526,4523.324753928349,70,8522.498030041956,2.2032468002289534,0.0,0.08726400000159629
2025-02-14,48h,29690.409227975673,26815.533816802406,26388.12076283405,427.4130539683592,2874.8754111732665,682.571152811971,11,8320.86424064224,2.24480159918312,0.0,0.09180019999621436
2025-02-15,48h,26489.828116029,22014.676496676446,21706.822923727763,307.8535729486832,4475.151619352551,1057.3669547053987,24,9018.05774013446,2.156864400138147,0.0,0.0869175000116229
2025-02-16,48h,90925.32990168713,44891.78508517945,44147.1336245944,744.651460585055,46033.54481650768,9838.25742409132,104,8221.405401037806,2.19145679846406,0.0,0.0884424000105355
2025-02-17,48h,65050.13880004975,47711.046006265475,50204.35118573773,-2493.305179472254,17339.092793784275,3793.2683046997354,73,8455.445908656837,2.1318120011128485,0.0,0.08480329997837543
2025-02-18,48h,63096.855021991716,46923.6370885161,44617.52258741167,2306.1145011044246,16173.217933475617,3532.2322910190287,72,8555.638296114588,2.0750436005182564,0.0,0.0838956999941729
2025-02-19,48h,70083.85994139864,48053.48608755352,44931.20769628165,3122.2783912718764,22030.373853845107,4928.829065396865,80,8339.355788222256,2.151467998861335,0.0,0.08417769998777658
2025-02-20,48h,67864.18642567843,46450.43428391217,46508.30501122483,-57.870727312661046,21413.75214176626,4578.114270457084,66,7218.000017276383,2.0005595991387963,0.0,0.08080779999727383
2025-02-21,48h,26750.87851717874,24837.154171975,24383.513367675972,453.64080429902754,1913.7243452037387,480.4056017560741,9,8763.957477550033,1.9688327995827422,0.0,0.08145950001198798
2025-02-22,48h,25758.579587165586,20586.445990170192,20322.82633030894,263.61965986125193,5172.133596995396,1272.5184691619652,22,9069.833972071923,2.0638764003524557,0.0,0.08039779998944141
2025-02-23,48h,81834.94507367894,41715.89485955219,39883.00812071606,1832.8867388361277,40119.050214126764,8586.28685349633,96,8225.769098680179,2.013292799703777,0.0,0.08199409997905605
2025-02-24,48h,63649.134086066675,46215.89173264386,44664.46840626848,1551.4233263753802,17433.242353422815,3666.253140943614,50,8561.25206326329,1.9842515996424481,0.0,0.08269320000545122
2025-02-25,48h,65047.65608060489,44482.70397500603,45736.75125271122,-1254.0472777051893,20564.95210559886,4479.612931804963,67,8426.272535079797,2.267607598914765,0.0,0.09015389997512102
2025-02-26,48h,64457.51429597811,44930.401931707565,41479.52141095167,3450.880520755896,19527.11236427054,4254.190845889356,66,8574.321011640612,2.1502043997170404,0.0,0.08763880000333302
2025-02-27,48h,63286.37974498767,43617.97813665889,41809.09407374022,1808.8840629186689,19668.401608328782,4125.23141183704,63,7934.816004090981,2.294164799968712,0.0,0.09162550000473857
2025-02-28,48h,27091.93206882209,23763.10023088166,22633.04578034664,1130.0544505350194,3328.831837940428,800.4342609422815,9,9724.462769248212,2.1026664002565667,0.0,0.08415510001941584
2025-03-01,48h,22158.79896964143,20778.939068350854,21030.738793486435,-251.79972513557956,1379.859901290576,333.4218718686099,9,9042.625590045413,2.09721599961631,0.0,0.08436889998847619
