policy,days,total_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,mean_end_storage_kwh,min_end_storage_kwh,solver_time_s
H24,334,16245477.760294857,15059188.528550062,415968.93408700556,770320.297657788,181777.13134324772,6316,10557.480192972824,7809.370622290193,654.1729491000078
H48,334,16080198.48507881,14865588.545402892,456819.7114236839,757790.2282522334,177604.72540496598,6249,5305.697623300015,1200.0,1949.1812983000473
