date,H24,H48,H24_minus_H48_yuan
2025-02-01,30996.42366944643,32432.20503920082,-1435.7813697543897
2025-02-02,68110.53564980999,66949.91318668847,1160.6224631215155
2025-02-03,70989.33919200108,70130.98294723318,858.3562447678996
2025-02-04,72817.85255869913,71720.91877677124,1096.933781927888
2025-02-05,74895.05236319588,75045.18542558809,-150.1330623922113
2025-02-06,68085.69003052608,65502.0078284009,2583.682202125179
2025-02-07,28486.22758510261,29974.598163867475,-1488.370578764865
2025-02-08,23716.114611147004,23938.525522213757,-222.4109110667523
2025-02-09,72527.62252177463,70469.45988650771,2058.162635266912
2025-02-10,61062.48936480315,60997.03818325331,65.45118154984084
2025-02-11,64252.83183251155,62878.05939942504,1374.7724330865094
2025-02-12,65747.5521518616,67011.79552086264,-1264.2433690010366
2025-02-13,58882.85881072157,56172.057140398516,2710.8016703230533
2025-02-14,22379.973186652212,23544.346637891525,-1164.373451239313
2025-02-15,22661.203503571574,24288.51518321154,-1627.3116796399663
2025-02-16,72957.93904441653,70395.84863633815,2562.0904080783803
2025-02-17,59888.580089708215,59988.039152355625,-99.45906264740916
2025-02-18,64114.13580459857,62038.73804519097,2075.3977594075986
2025-02-19,61870.94654022738,62738.38413552016,-867.4375952927803
2025-02-20,59965.09505836097,58347.911778266294,1617.1832800946722
2025-02-21,24765.225602392155,26877.583552781016,-2112.3579503888614
2025-02-22,21619.29421239514,22779.5320459314,-1160.2378335362591
2025-02-23,62097.4955053711,59252.33150169099,2845.164003680111
2025-02-24,57377.91875550071,55570.94708405113,1806.9716714495808
2025-02-25,56073.39637985205,56395.66050598206,-322.26412613000866
2025-02-26,55833.06295166956,55539.3970048739,293.66594679566333
2025-02-27,51833.58750832062,50309.86893605528,1523.7185722653376
2025-02-28,19849.912119914152,20756.74639383557,-906.8342739214168
2025-03-01,19813.620567107875,21068.775907911724,-1255.155340803849
2025-03-02,61987.099744807936,60257.04336405925,1730.0563807486833
2025-03-03,59776.418126634686,59278.173735674456,498.2443909602298
2025-03-04,55229.15135214048,55449.424032641036,-220.27268050055864
2025-03-05,57168.49742137202,56679.28710473842,489.2103166336019
2025-03-06,53309.64452852176,51243.02294559143,2066.621582930333
2025-03-07,21463.630366440077,23017.13969707331,-1553.5093306332346
2025-03-08,18226.300689828437,19269.254653572425,-1042.9539637439884
2025-03-09,53042.83893356156,50755.62024207973,2287.2186914818303
2025-03-10,54535.270852946494,55081.597124856,-546.3262719095073
2025-03-11,51893.69564699068,51624.244131164545,269.4515158261347
2025-03-12,48787.34816514104,48731.285582087316,56.062583053724666
2025-03-13,51519.23216578171,49344.04701611391,2175.185149667799
2025-03-14,16953.5612760231,18161.016608403985,-1207.4553323808832
2025-03-15,18133.14086450599,19733.985826456334,-1600.8449619503444
2025-03-16,51065.59734152992,49274.77469086653,1790.8226506633946
2025-03-17,46888.126979492015,45406.49299985152,1481.6339796404936
2025-03-18,48651.5427940497,49420.331699086455,-768.7889050367521
2025-03-19,46590.466752560125,45431.2326320702,1159.2341204899276
2025-03-20,50407.28930774675,48409.78237928668,1997.5069284600759
2025-03-21,16271.144587672356,17394.62909944193,-1123.4845117695731
2025-03-22,15827.464314732424,17145.37027040751,-1317.9059556750872
2025-03-23,48903.42755658558,46187.27747159727,2716.1500849883087
2025-03-24,45187.30087326696,45243.015704646255,-55.71483137929317
2025-03-25,48798.809607292205,48968.71994779107,-169.91034049886366
2025-03-26,42712.212070915004,43185.78149002288,-473.5694191078728
2025-03-27,45231.78983275363,42522.410743358545,2709.3790893950863
2025-03-28,17081.54942275221,17707.103758685847,-625.554335933637
2025-03-29,14550.82226225568,16257.573772233072,-1706.7515099773918
2025-03-30,43756.393992498066,41340.15541997926,2416.238572518807
2025-03-31,47413.08603851304,46879.59004788269,533.4959906303557
2025-04-01,48301.46070984503,47043.90914769599,1257.5515621490413
2025-04-02,46398.512434415345,48617.296659848194,-2218.78422543285
2025-04-03,44959.30197967243,42448.52858708456,2510.773392587871
2025-04-04,15440.124984551361,16333.889376216877,-893.7643916655161
2025-04-05,14638.568797651398,16006.762815192284,-1368.1940175408854
2025-04-06,45677.765581795924,44079.036894391225,1598.7286874046986
2025-04-07,40642.46082867079,39739.05814938856,903.402679282226
2025-04-08,44349.71976427363,44460.958601233804,-111.23883696017583
2025-04-09,46644.274143019946,46485.08878988999,159.18535312995664
2025-04-10,44699.54865091853,41145.90226276711,3553.646388151421
2025-04-11,15974.555918727092,17084.961692783952,-1110.4057740568605
2025-04-12,14701.50701951727,16210.61634515399,-1509.1093256367203
2025-04-13,44535.180785590695,41885.50176314538,2649.6790224453143
2025-04-14,44485.15912283588,43783.21100237702,701.9481204588592
2025-04-15,39344.14837177785,39569.015103861,-224.86673208315187
2025-04-16,43124.08044291942,42547.03696232195,577.0434805974655
2025-04-17,41835.3379863029,40428.14637710648,1407.1916091964158
