mode,days,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,E_start_kwh,E_end_kwh,E_min_kwh,E_max_kwh,mean_terminal_value,solver_time_s,max_residual_kwh
official_48h_cyclic,2,94014.88306343566,93862.94653412486,151.93652931079498,45.24672964934496,34181.3503611702,35886.66459244824,28531.427853216403,6000.0,6596.41162962963,6596.41162962963,10228.935168901504,,,
dynamic_v,2,105486.04986457463,105486.04986457463,0.0,0.0,49944.948054731445,28745.399934033303,25822.375599560244,6000.0,3179.331496674142,3179.331496674142,10800.0,0.4439999999999782,0.0627985000028275,9.094947017729282e-13
fixed_v_0,2,105002.23571228376,105002.23571228376,0.0,0.0,48751.55548005875,28745.399934033303,25822.375599560244,6000.0,3179.331496674142,2874.0533172054297,3179.331496674142,0.0,0.14582679999875836,9.094947017729282e-13
fixed_v_0.8,2,110270.53319790795,110270.53319790795,0.0,0.0,52810.87193992494,37212.809382173145,25822.375599560244,6000.0,10800.0,10800.0,10800.0,0.8,0.08802000002469867,9.094947017729282e-13
