date,mode,terminal_value_raw_yuan_per_kwh,terminal_value_used_yuan_per_kwh,E_start_kwh,E_plan_end_kwh,E_real_end_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,solver_elapsed_s,sampled_residual_days,max_residual_kwh
2025-02-01,fixed_v_0,,0.0,6000.0,1200.0,2874.0533172054297,28524.601025845626,0.0,28524.601025845626,0.0,17134.60980030812,12487.012862145433,12927.832432852916,0.09634320001350716,"[19, 25, 29]",8.242295734817162e-13
2025-02-01,fixed_v_0.8,,0.8,6000.0,10800.0,10800.0,33017.88435917896,0.0,33017.88435917896,0.0,18994.669041647485,21293.620287472735,12927.832432852916,0.030053599999519065,"[19, 25, 29]",8.242295734817162e-13
2025-02-01,dynamic_v,0.47544444444443795,0.47544444444443795,6000.0,10200.0,10800.0,32726.68435917896,0.0,32726.68435917896,0.0,18328.00237498082,21293.620287472735,12927.832432852916,0.02698429999873042,"[19, 25, 29]",8.242295734817162e-13
2025-02-02,fixed_v_0,,0.0,2874.0533172054297,1200.0,3179.331496674142,76477.63468643813,0.0,76477.63468643813,0.0,31616.94567975063,16258.387071887868,12894.543166707328,0.0494835999852512,"[11, 8, 4]",9.094947017729282e-13
2025-02-02,fixed_v_0.8,,0.8,10800.0,10800.0,10800.0,77252.64883872899,0.0,77252.64883872899,0.0,33816.20289827745,15919.189094700409,12894.543166707328,0.05796640002517961,"[11, 8, 4]",9.094947017729282e-13
2025-02-02,dynamic_v,0.41255555555551837,0.41255555555551837,10800.0,1200.0,3179.331496674142,72759.36550539566,0.0,72759.36550539566,0.0,31616.945679750625,7451.779646560567,12894.543166707328,0.035814200004097074,"[11, 8, 4]",9.094947017729282e-13
