date,mode,terminal_value_raw_yuan_per_kwh,terminal_value_used_yuan_per_kwh,finite_diff_E_low_kwh,finite_diff_E_high_kwh,finite_diff_J_low_yuan,finite_diff_J_high_yuan,E_start_kwh,E_plan_end_kwh,E_real_end_kwh,real_E_min_kwh,real_E_max_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,solver_elapsed_s,sampled_residual_days,sampled_residual_dates,training_cutoff,scenario_count,horizon_hours,max_residual_kwh,max_real_state_residual_kwh,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-02-01,fixed_v_0,,0.0,,,,,6000.0,1200.0,2874.0533172054297,2874.0533172054297,10800.0,28524.601025845626,0.0,28524.601025845626,0.0,17134.60980030812,12487.012862145433,12927.832432852916,0.09168549999594688,"[19, 25, 29]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30""]",2025-01-31,3,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,552.0416666666666
2025-02-01,fixed_v_0.8,,0.8,,,,,6000.0,10800.0,10800.0,2874.0533172054297,10800.0,33017.88435917896,0.0,33017.88435917896,0.0,18994.669041647485,21293.620287472735,12927.832432852916,0.03002019997802563,"[19, 25, 29]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30""]",2025-01-31,3,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,552.0416666666666
2025-02-01,dynamic_v,0.47544444444443795,0.47544444444443795,6000.0,6100.0,49480.89350638823,49433.34906194379,6000.0,10200.0,10800.0,2874.0533172054297,10800.0,32726.68435917896,0.0,32726.68435917896,0.0,18328.00237498082,21293.620287472735,12927.832432852916,0.027961999992839992,"[19, 25, 29]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30""]",2025-01-31,3,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,552.0416666666666
2025-02-02,fixed_v_0,,0.0,,,,,2874.0533172054297,1200.0,3179.331496674142,2874.0533172054297,10800.0,76477.63468643813,0.0,76477.63468643813,0.0,31616.94567975063,16258.387071887868,12894.543166707328,0.05206699998234399,"[11, 8, 4]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05""]",2025-02-01,3,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,714.35385
2025-02-02,fixed_v_0.8,,0.8,,,,,10800.0,10800.0,10800.0,3179.331496674142,10800.0,77252.64883872899,0.0,77252.64883872899,0.0,33816.20289827745,15919.189094700409,12894.543166707328,0.06108320000930689,"[11, 8, 4]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05""]",2025-02-01,3,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,714.35385
2025-02-02,dynamic_v,0.41255555555551837,0.41255555555551837,10700.0,10800.0,48979.83398140871,48938.57842585316,10800.0,1200.0,3179.331496674142,3179.331496674142,10800.0,72759.36550539566,0.0,72759.36550539566,0.0,31616.945679750625,7451.779646560567,12894.543166707328,0.03605070000048727,"[11, 8, 4]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05""]",2025-02-01,3,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,714.35385
