mode,days,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,E_start_kwh,E_end_kwh,E_min_kwh,E_max_kwh,mean_terminal_value,solver_time_s,max_residual_kwh
official_48h_cyclic,1,32114.79399062124,32114.79399062124,0.0,0.0,17407.497117293595,20861.075420926856,13091.429438939398,6000.0,10228.935168901504,10228.935168901504,10228.935168901504,,,
dynamic_v,1,32726.68435917896,32726.68435917896,0.0,0.0,18328.00237498082,21293.620287472735,12927.832432852916,6000.0,10800.0,10800.0,10800.0,0.47544444444443795,0.046499199990648776,8.242295734817162e-13
fixed_v_0,1,28524.601025845626,28524.601025845626,0.0,0.0,17134.60980030812,12487.012862145433,12927.832432852916,6000.0,2874.0533172054297,2874.0533172054297,2874.0533172054297,0.0,0.11830239999108016,8.242295734817162e-13
fixed_v_0.8,1,33017.88435917896,33017.88435917896,0.0,0.0,18994.669041647485,21293.620287472735,12927.832432852916,6000.0,10800.0,10800.0,10800.0,0.8,0.0448078999761492,8.242295734817162e-13
