date,mode,terminal_value_raw_yuan_per_kwh,terminal_value_used_yuan_per_kwh,finite_diff_E_low_kwh,finite_diff_E_high_kwh,finite_diff_J_low_yuan,finite_diff_J_high_yuan,finite_diff_low_mip_gap,finite_diff_high_mip_gap,finite_diff_low_solver_time_s,finite_diff_high_solver_time_s,E_start_kwh,E_plan_end_kwh,E_real_end_kwh,real_E_min_kwh,real_E_max_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,solver_elapsed_s,solver_mip_gap,sampled_residual_days,sampled_residual_dates,training_cutoff,scenario_count,horizon_hours,max_residual_kwh,max_real_state_residual_kwh,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-02-02,fixed_v_1,,1.0,,,,,,,,,10800.0,10800.0,10800.0,2096.4116296296297,10800.0,64086.10936965521,151.93652931079498,64238.04589896601,45.24672964934496,18141.923346418294,19061.72643737902,15439.998414277004,0.22418620000826195,0.0,"[11, 8, 4, 5, 22, 2, 12, 24, 25, 2]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05"", ""2025-01-06"", ""2025-01-23"", ""2025-01-03"", ""2025-01-13"", ""2025-01-25"", ""2025-01-26"", ""2025-01-03""]",2025-02-01,10,24,1.8189894035458565e-12,9.094947017729282e-13,0,0,0,833.3333333333333,769.6522535525422
2025-02-02,dynamic_v,0.41255555555551837,0.41255555555551837,10700.0,10800.0,48979.83398140871,48938.57842585316,0.0,0.0,0.0473993000050541,0.038648600020678714,10800.0,1200.0,2096.4116296296297,2096.4116296296297,10800.0,59304.18464300147,151.93652931079498,59456.12117231227,45.24672964934496,16461.72661163457,9391.072692523054,15439.998414277004,0.2525315000093542,0.0,"[11, 8, 4, 5, 22, 2, 12, 24, 25, 2]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05"", ""2025-01-06"", ""2025-01-23"", ""2025-01-03"", ""2025-01-13"", ""2025-01-25"", ""2025-01-26"", ""2025-01-03""]",2025-02-01,10,24,1.1368683772161603e-12,9.094947017729282e-13,0,0,0,833.3333333333333,769.6522535525422
2025-02-03,fixed_v_0,,0.0,,,,,,,,,2096.4116296296297,1200.0,1828.0298132396354,1828.0298132396354,10800.0,59073.27438919226,518.3353957623473,59591.609784954606,141.28565040069174,9182.043181716093,20888.738737304615,17161.422011967737,0.5573297000082675,0.0,"[12, 30, 7, 2, 14, 16, 31, 17, 5, 6]","[""2025-01-13"", ""2025-01-31"", ""2025-01-08"", ""2025-01-03"", ""2025-01-15"", ""2025-01-17"", ""2025-02-01"", ""2025-01-18"", ""2025-01-06"", ""2025-01-07""]",2025-02-02,10,24,1.7053025658242404e-12,9.094947017729282e-13,0,0,0,833.3333333333333,738.1149999999999
2025-02-03,fixed_v_0.3,,0.3,,,,,,,,,2096.4116296296297,1200.0,1828.0298132396354,1828.0298132396354,10800.0,59073.27438919226,518.3353957623473,59591.609784954606,141.28565040069174,9182.043181716086,20888.738737304615,17161.422011967737,0.8242209000163712,0.0,"[12, 30, 7, 2, 14, 16, 31, 17, 5, 6]","[""2025-01-13"", ""2025-01-31"", ""2025-01-08"", ""2025-01-03"", ""2025-01-15"", ""2025-01-17"", ""2025-02-01"", ""2025-01-18"", ""2025-01-06"", ""2025-01-07""]",2025-02-02,10,24,1.3642420526593924e-12,9.094947017729282e-13,0,0,0,833.3333333333333,738.1149999999999
2025-02-03,fixed_v_0.5,,0.5,,,,,,,,,10800.0,10800.0,10800.0,1828.0298132396354,10800.0,59555.47785214594,483.57996193042044,60039.05781407636,124.8265512924866,10061.550447520829,21186.940755515723,17161.422011967737,0.40908179999678396,1.0518871679266617e-08,"[12, 30, 7, 2, 14, 16, 31, 17, 5, 6]","[""2025-01-13"", ""2025-01-31"", ""2025-01-08"", ""2025-01-03"", ""2025-01-15"", ""2025-01-17"", ""2025-02-01"", ""2025-01-18"", ""2025-01-06"", ""2025-01-07""]",2025-02-02,10,24,1.4779288903810084e-12,9.094947017729282e-13,0,0,0,833.3333333333333,738.1149999999999
2025-02-03,fixed_v_0.8,,0.8,,,,,,,,,10800.0,10800.0,10800.0,1828.0298132396354,10800.0,59555.47785214594,483.57996193042044,60039.05781407636,124.8265512924866,10061.550447520829,21186.940755515723,17161.422011967737,0.3984555999923032,1.1144369968062627e-08,"[12, 30, 7, 2, 14, 16, 31, 17, 5, 6]","[""2025-01-13"", ""2025-01-31"", ""2025-01-08"", ""2025-01-03"", ""2025-01-15"", ""2025-01-17"", ""2025-02-01"", ""2025-01-18"", ""2025-01-06"", ""2025-01-07""]",2025-02-02,10,24,1.4779288903810084e-12,9.094947017729282e-13,0,0,0,833.3333333333333,738.1149999999999
2025-02-03,fixed_v_1,,1.0,,,,,,,,,10800.0,10800.0,10800.0,1828.0298132396354,10800.0,59555.47785214594,483.57996193042044,60039.05781407636,124.8265512924866,10061.550447520829,21186.940755515723,17161.422011967737,0.449169500003336,1.160440244381531e-08,"[12, 30, 7, 2, 14, 16, 31, 17, 5, 6]","[""2025-01-13"", ""2025-01-31"", ""2025-01-08"", ""2025-01-03"", ""2025-01-15"", ""2025-01-17"", ""2025-02-01"", ""2025-01-18"", ""2025-01-06"", ""2025-01-07""]",2025-02-02,10,24,1.4779288903810084e-12,9.094947017729282e-13,0,0,0,833.3333333333333,738.1149999999999
2025-02-03,dynamic_v,0.4790000000000145,0.4790000000000145,2096.4116296296297,2196.4116296296297,53265.9847701939,53218.0847701939,0.0,0.0,0.08348209998803213,0.0408739999984391,2096.4116296296297,6450.0,7078.029813239636,1828.0298132396354,10800.0,61587.17114637357,504.58285490833293,62091.7540012819,134.7149189845358,9378.004626060805,26722.07207063795,17161.422011967737,0.5863738000043668,0.0,"[12, 30, 7, 2, 14, 16, 31, 17, 5, 6]","[""2025-01-13"", ""2025-01-31"", ""2025-01-08"", ""2025-01-03"", ""2025-01-15"", ""2025-01-17"", ""2025-02-01"", ""2025-01-18"", ""2025-01-06"", ""2025-01-07""]",2025-02-02,10,24,3.637978807091713e-12,9.094947017729282e-13,0,0,0,833.3333333333333,738.1149999999999
2025-02-04,fixed_v_0,,0.0,,,,,,,,,1828.0298132396354,1200.0,2633.4341343103474,1828.0298132396354,10800.0,67879.49011636735,149.0251957237372,68028.51531209108,59.48324970250633,17991.226784380888,20377.193462818654,15780.662815919472,0.2259331000095699,0.0,"[27, 20, 23, 24, 19, 11, 11, 19, 2, 13]","[""2025-01-28"", ""2025-01-21"", ""2025-01-24"", ""2025-01-25"", ""2025-01-20"", ""2025-01-12"", ""2025-01-12"", ""2025-01-20"", ""2025-01-03"", ""2025-01-14""]",2025-02-03,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,749.4092794084954
2025-02-04,fixed_v_0.3,,0.3,,,,,,,,,1828.0298132396354,1200.0,2633.4341343103474,1828.0298132396354,10800.0,67879.49011636735,149.0251957237372,68028.51531209108,59.48324970250633,17991.226784380888,20377.193462818654,15780.662815919472,0.1809408999979496,0.0,"[27, 20, 23, 24, 19, 11, 11, 19, 2, 13]","[""2025-01-28"", ""2025-01-21"", ""2025-01-24"", ""2025-01-25"", ""2025-01-20"", ""2025-01-12"", ""2025-01-12"", ""2025-01-20"", ""2025-01-03"", ""2025-01-14""]",2025-02-03,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,749.4092794084954
