date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,tolerance_retry,status,terminal_soc
2025-02-01,0,43757.21873730563,0.3169616000086535,0,30,0,0,144,1,0,0,1200.0
2025-02-01,6,14167.412087623377,0.20269910000206437,0,27,0,0,144,1,0,0,1200.0
2025-02-01,12,35005.73866163702,0.16230779999750666,0,40,0,0,144,1,0,0,1200.0
2025-02-02,0,71951.91163828182,0.32745430000068154,0,28,0,0,144,1,0,0,1200.0
2025-02-02,6,14909.955774497208,0.47039619999122806,0,36,0,0,144,1,0,0,1200.0
2025-02-02,12,33481.92892146353,0.13372650000383146,0,42,0,0,144,1,0,0,1200.0
2025-02-03,0,62098.6689890343,0.4062110999948345,0,32,0,0,144,1,0,0,1200.0
2025-02-03,6,9967.847874304402,0.42356809999910183,0,24,0,0,144,1,0,0,1200.0
2025-02-03,12,26871.74660715165,0.12175700000079814,0,43,0,0,144,1,0,0,1200.0
2025-02-04,0,64328.21214400951,0.49033369999960996,0,31,0,0,144,1,0,0,1200.0
2025-02-04,6,10647.340118609694,0.5828608000010718,0,27,0,0,144,1,0,0,1200.0
2025-02-04,12,22842.478466188193,0.06110659999831114,0,44,0,0,144,1,0,0,1200.0
2025-02-05,0,59690.05836019193,0.7348331999965012,0,31,0,0,144,1,0,0,1200.0
2025-02-05,6,11500.981011663096,0.24093670000729617,0,42,0,0,144,1,0,0,1200.0
2025-02-05,12,28663.279255013367,0.15229899999394547,0,43,0,0,144,1,0,0,1200.0
2025-02-06,0,64080.58206084479,0.6630491000105394,0,32,0,0,144,1,0,0,1200.0
2025-02-06,6,7826.049287576436,0.06721000000834465,0,24,0,0,144,1,0,0,1200.0
2025-02-06,12,17402.729380529338,0.1817297000088729,0,46,0,0,144,1,0,0,1200.0
2025-02-07,0,32250.69584285706,0.5833421999996062,0,41,0,0,144,1,0,0,1200.0
2025-02-07,6,7596.675909953882,0.0629590000025928,0,21,0,0,144,1,0,0,1200.0
2025-02-07,12,10782.428446108002,0.36563059999025427,0,36,0,0,144,1,0,0,1200.0
2025-02-08,0,37638.72833438005,0.45158680000167806,0,37,0,0,144,1,0,0,1200.0
2025-02-08,6,16582.83151494894,0.16119030000118073,0,52,0,0,144,1,0,0,1200.0
2025-02-08,12,31428.287436805298,0.20560800000384916,0,44,0,0,144,1,0,0,1200.0
2025-02-09,0,71076.5251827314,0.28560980000474956,0,28,0,0,144,1,0,0,1200.0
2025-02-09,6,15767.50329295195,0.5914269000058994,0,42,0,0,144,1,0,0,1200.0
2025-02-09,12,30974.146901478325,0.20801339999889024,0,47,0,0,144,1,0,0,1200.0
2025-02-10,0,55424.30045729818,0.6487044999958016,0,30,0,0,144,1,0,0,1200.0
2025-02-10,6,8677.686358434561,0.16103499999735504,0,24,0,0,144,1,0,0,1200.0
2025-02-10,12,23810.47790173983,0.23096349999832455,0,83,0,0,144,1,0,0,1200.0
2025-02-11,0,55854.79548319679,0.20206909999251366,0,30,0,0,144,1,0,0,1200.0
2025-02-11,6,9988.86440447909,0.12406440000631846,0,25,0,0,144,1,0,0,1200.0
