date,H24,H48,H24_minus_H48_yuan
2025-02-01,34073.93036232675,35300.19127169399,-1226.2609093672436
2025-02-02,61973.428265508985,61314.88066387369,658.5476016352914
2025-02-03,65448.06808435828,65243.81793045136,204.25015390691988
2025-02-04,62567.93299842174,62288.1450522789,279.78794614283834
2025-02-05,61398.26407731483,61099.076240966104,299.1878363487267
2025-02-06,61607.98899289037,61489.80797872339,118.18101416698482
2025-02-07,33305.54632841066,33387.026245540306,-81.47991712964722
2025-02-08,27347.530468841596,26713.458655681272,634.0718131603244
2025-02-09,65293.0608948457,64580.08993229234,712.9709625533578
2025-02-10,56791.18895384021,56601.30898560067,189.87996823954018
2025-02-11,56751.82064562986,56598.97349470425,152.8471509256051
2025-02-12,58873.807525252654,58678.849852805804,194.95767244684976
2025-02-13,54006.737784873476,53638.94689577889,367.7908890945837
2025-02-14,27892.972043150992,27983.90403299531,-90.93198984431729
2025-02-15,26109.21533102734,25624.062824973546,485.15250605379333
2025-02-16,60017.800848835774,59352.239520926756,665.5613279090176
2025-02-17,56092.71115827751,55863.12814023186,229.58301804565417
2025-02-18,53877.89552113864,53632.58909809449,245.30642304415233
2025-02-19,54647.77260673727,54403.28439668454,244.48821005273203
2025-02-20,53491.32569520376,53340.19121964762,151.13447555614403
2025-02-21,28224.443685041748,28446.674788957513,-222.23110391576483
2025-02-22,24685.81291284618,24064.942097569317,620.8708152768631
2025-02-23,55830.201457932606,55278.21193262239,551.989525310215
2025-02-24,54060.303547614705,53963.939177682696,96.36436993200914
2025-02-25,51205.80445153284,50822.936089523966,382.86836200887046
2025-02-26,53874.91155192656,53618.871998824034,256.03955310252786
2025-02-27,49161.27280482411,48853.6306279079,307.6421769162116
2025-02-28,23822.409606698115,24041.723197651852,-219.31359095373773
2025-03-01,26279.09634714255,25841.920017466186,437.1763296763638
2025-03-02,56276.464702910955,55799.75136337975,476.71333953120484
2025-03-03,55224.10866820895,54905.0495668297,319.05910137925093
2025-03-04,53736.98721088052,53634.43613268909,102.5510781914345
2025-03-05,52675.42709576615,52405.24043235832,270.1866634078324
2025-03-06,51072.161842005866,50852.640908477115,219.5209335287509
2025-03-07,25847.787977166754,25464.308918849194,383.47905831756
2025-03-08,20715.928109430057,20417.335519074684,298.5925903553725
