date,policy,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s
2025-02-01,H24,39840.67215051838,-5795.41077799348,28.668989801845218,34073.93036232675,13.40925622163013,1,7436.403414605817,0.26940730000012536
2025-02-02,H24,58428.31689696823,3237.518905780581,307.59246276017046,61973.428265508985,118.2940963335343,5,8049.635378489832,0.16531450000002224
2025-02-03,H24,61869.378242706545,3086.8460131756274,491.8438284761098,65448.06808435828,126.89382311613736,6,8646.864122054405,0.1403519000000415
2025-02-04,H24,63579.54961158005,-2712.2329283263502,1700.6163151680444,62567.93299842174,414.1875599548194,18,9157.79502898777,0.12273530000004484
2025-02-05,H24,63131.38188638159,-2119.25627129884,386.1384622320758,61398.26407731483,83.04442400102394,5,9538.101579896202,0.2139054000001579
2025-02-06,H24,62161.25480397077,-1011.548806731442,458.28299565104516,61607.98899289037,108.64925619186778,9,10161.736737267685,0.16721560000007685
2025-02-07,H24,34909.06680780626,-2689.9035427974413,1086.3830634018416,33305.54632841066,174.9284126418682,8,10545.529538421602,0.19040140000004158
2025-02-08,H24,24185.49240329291,3160.955040297056,1.0830252516313137,27347.530468841596,0.502447344760526,1,10800.0,0.2028250000000753
2025-02-09,H24,53125.977839116706,11538.540653624415,628.5424021045823,65293.0608948457,250.01498719212566,14,10800.0,0.16501080000000456
2025-02-10,H24,54108.393047686186,1917.8633991942347,764.932506959792,56791.18895384021,283.78663844666914,18,10800.0,0.17420930000002954
2025-02-11,H24,57963.379799512506,-2268.1508075153433,1056.591653632694,56751.82064562986,223.99725612618766,13,10800.0,0.19057499999996708
2025-02-12,H24,60727.96418988207,-2857.3275155683777,1003.1708509389628,58873.807525252654,235.40664621706642,11,10800.0,0.19349319999992076
2025-02-13,H24,55128.33333249035,-1810.1290394301668,688.5334918132974,54006.737784873476,161.37020180421203,13,10800.0,0.12948180000000775
2025-02-14,H24,30435.18601625765,-3042.213168572233,499.9991954655797,27892.972043150992,79.0714917738984,4,10800.0,0.17332569999996394
2025-02-15,H24,26580.87898587416,-496.81064640833563,25.146991561516565,26109.21533102734,11.667699666473595,2,10800.0,0.17764339999996537
2025-02-16,H24,55522.51775627131,852.1722799569948,3643.1108126074682,60017.800848835774,914.9228648334893,29,10800.0,0.10793209999997089
2025-02-17,H24,54682.85040312128,-1963.593570435656,3373.454325591883,56092.71115827751,845.7970899014504,31,10800.0,0.13161379999996825
2025-02-18,H24,48952.27195630715,2716.565195488006,2209.058369343482,53877.89552113864,560.6823548565782,22,10800.0,0.1578045999999631
2025-02-19,H24,49171.25004738744,3365.350836345424,2111.1717230044073,54647.77260673727,582.5074682666258,23,10800.0,0.17298630000004778
2025-02-20,H24,51034.97314337287,1155.214231140261,1301.1383206906328,53491.32569520376,330.44813426727904,19,10800.0,0.12503259999994043
2025-02-21,H24,26983.486015594543,-225.67644363692875,1466.634113084136,28224.443685041748,228.4096665151211,7,10800.0,0.15918410000006133
2025-02-22,H24,23813.699981081714,868.6282805246392,3.484651239829026,24685.81291284618,1.5999316987277439,1,10800.0,0.1421503000000257
2025-02-23,H24,46952.68472497494,5850.878543983861,3026.6381889738022,55830.201457932606,951.9349129428372,34,10800.0,0.14332360000003064
2025-02-24,H24,51951.44055649273,-623.3167343194823,2732.1797254414573,54060.303547614705,587.4124397631881,21,10800.0,0.157161100000053
2025-02-25,H24,50210.408549162574,-1081.774148782464,2077.1700511527206,51205.80445153284,521.219795226568,34,10800.0,0.1616487999999663
2025-02-26,H24,45548.841097734345,8052.406846824821,273.6636073673932,53874.91155192656,126.22430274807255,7,10800.0,0.13788239999996676
2025-02-27,H24,46626.527076858474,949.9387046527343,1584.807023312906,49161.27280482411,369.9685947688158,17,10800.0,0.17306249999990087
2025-02-28,H24,24960.76557251608,-1900.0917079919873,761.7357421740251,23822.409606698115,117.29789023963417,6,10800.0,0.16448570000000018
2025-03-01,H24,28307.619516569583,-2554.404956400577,525.8817869735425,26279.09634714255,87.91818168086047,5,10800.0,0.20293660000015734
2025-03-02,H24,51184.40819216364,2091.7999964063574,3000.2565143409593,56276.464702910955,612.2543571758815,18,10800.0,0.1511592000000519
2025-03-03,H24,53949.9251896676,-1189.151993079025,2463.3354716203767,55224.10866820895,576.5778207382455,26,10800.0,0.13376860000005308
2025-03-04,H24,47846.34576783136,2377.5192875421008,3513.122155507066,53736.98721088052,832.2631533624076,25,10800.0,0.16544029999988652
2025-03-05,H24,50640.04387336429,-1563.6735548764345,3599.056777278294,52675.42709576615,807.6056199188099,22,10800.0,0.12441910000006828
2025-03-06,H24,47741.168076225236,700.0509140069547,2630.942851773673,51072.161842005866,570.4511693523878,17,10800.0,0.16608660000008513
2025-03-07,H24,29106.226303198862,-3614.2288305895354,355.790504557425,25847.787977166754,56.69606564550071,3,10800.0,0.16430030000003626
2025-03-08,H24,20409.16030157708,259.170018520605,47.59778933236867,20715.928109430057,21.808158966108692,5,10800.0,0.17743660000007822
2025-03-09,H24,44430.01259466358,4562.745157825009,4273.214604439174,53265.97235692777,1150.2338650021347,44,10800.0,0.1393951999999672
2025-03-10,H24,46069.8818106878,3807.6006721136905,2275.841323495245,52153.323806296736,601.6222834224598,26,10800.0,0.13079009999967184
2025-03-11,H24,41769.069984877104,9272.670183194447,972.7717739171285,52014.511941988676,233.99964358150996,17,10800.0,0.1522496999999703
2025-03-12,H24,46450.77098200269,732.5040040480148,1354.8126029674509,48538.087589018156,393.49272254031655,21,10800.0,0.15456809999989218
2025-03-13,H24,48863.344861017904,-644.9350077515587,534.0166036252302,48752.426456891575,135.43227794968217,14,10800.0,0.18660780000004706
2025-03-14,H24,22669.22664440624,-1522.8946629233296,738.1653124802971,21884.49729396321,115.78507118021099,5,10800.0,0.1777773999999681
2025-03-15,H24,18730.859703066348,1856.0337399384894,361.82681715548574,20948.72026016032,80.05382243618664,9,10800.0,0.16057980000005045
2025-03-16,H24,42352.75133044073,4430.066706714596,3837.8474176709924,50620.665454826325,957.9190072971209,33,10800.0,0.16441789999998946
2025-03-17,H24,44291.21970242784,725.9768087903105,815.5541792566332,45832.75069047479,179.62369848975953,14,10800.0,0.13368020000007164
