policy,days,total_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,mean_end_storage_kwh,min_end_storage_kwh,solver_time_s
H24,334,15475934.208784271,14364984.156951172,642015.3542052063,468934.6976278931,122903.67631315417,4917,10690.632782782879,7436.403414605817,55.352430700001946
H48,334,15375198.736404452,14250093.165440474,661845.0322322254,463260.53873175284,120180.37852563708,4821,8610.052968161623,3059.767290822638,133.37554520000026
